phase_key,label,n_rows,n_features,log_loss,roc_auc,f1_at_050,macro_f1_nested,naive_macro_f1,threshold_optimism,deployment_threshold,per_fold_thresholds,tn,fp,fn,tp,recall,best_iterations,pseudo_counts,pseudo_total,inner_splits,scale_pos_weight,traffic_mode,te_mode,pseudo_mode,elapsed_sec,timestamp,note,protocol,lgbm_params
P1,Phase 1: Baseline,255001,21,0.463424,0.633135,0.451613,0.571305,0.571305,0.0,0.22,"[0.22, 0.22, 0.22, 0.22, 0.22]",177994,32007,31707,13293,0.2954,"[2, 2, 2, 2, 2]",[],0,5,4.6667,-,none,-,20.1,2026-09-14T22:17:08+00:00,State/Carrier_Code/Day_of_Month/분 단위 유지. TE 없음.,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
P2,Phase 2: Tuned (Pruning),255001,14,0.463417,0.636461,0.451613,0.574556,0.574556,0.0,0.22,"[0.22, 0.22, 0.22, 0.22, 0.22]",178880,31121,31652,13348,0.296622,"[2, 2, 2, 2, 2]",[],0,5,4.6667,-,none,-,16.6,2026-09-14T22:17:25+00:00,노이즈 피처 Pruning + Cos 제거. TE 없음(원 docstring은 오류).,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
P3,Phase 3: Target Encoded,255001,15,0.463718,0.642371,0.451613,0.574406,0.574406,0.0,0.22,"[0.22, 0.22, 0.22, 0.22, 0.22]",180516,29485,32133,12867,0.285933,"[2, 2, 2, 2, 2]",[],0,5,4.6667,-,drop_original,-,17.5,2026-09-14T22:17:42+00:00,원본 범주 컬럼을 TE 수치로 완전 치환.,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
P4,Phase 4: Hybrid,255001,20,0.463517,0.630484,0.451613,0.5704,0.5704,0.0,0.22,"[0.22, 0.22, 0.22, 0.22, 0.22]",180111,29890,32391,12609,0.2802,"[2, 2, 2, 2, 2]",[],0,5,4.6667,-,hybrid,-,15.4,2026-09-14T22:17:58+00:00,원본 category dtype + TE 동시 투입. 하이퍼파라미터 기준 Phase.,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
P4_te0,Phase 4: Hybrid (inner_splits=0),255001,20,0.464354,0.607144,0.451613,0.555023,0.555023,0.0,0.24,"[0.24, 0.24, 0.24, 0.24, 0.24]",169404,40597,30825,14175,0.315,"[3, 3, 3, 3, 3]",[],0,0,4.6667,-,hybrid,-,14.5,2026-09-14T22:18:12+00:00,TE 내부 K-fold 도입의 단독 효과 분리용. 기존 5개 스크립트의 TE 방식.,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
P4_nospw,Phase 4: Hybrid (scale_pos_weight 미적용),255001,20,0.455271,0.625236,0.46103,0.567271,0.567657,0.000386,0.23,"[0.22, 0.23, 0.23, 0.22, 0.23]",173629,36372,30788,14212,0.315822,"[567, 54, 502, 562, 64]",[],0,5,-,-,hybrid,-,37.9,2026-09-14T22:18:50+00:00,진단용. spw 는 eval set 에도 적용되어 early stopping 을 2회차에 멈춘다.,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
P5_leaky,Phase 5: Pseudo-Labeling (누수 재현),255001,20,0.459439,0.637883,0.451613,0.573465,0.573465,0.0,0.23,"[0.23, 0.23, 0.23, 0.23, 0.23]",171201,38800,29445,15555,0.345667,"[3, 3, 3, 3, 3]","[91842, 91842, 91842, 91842, 91842]",459210,5,4.6667,-,hybrid,leaky,28.0,2026-09-14T22:19:18+00:00,teacher = 5개 fold 모델 예측 평균. 기존 구현 재현.,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
P5_honest,Phase 5: Pseudo-Labeling (정직),255001,20,0.461008,0.62222,0.451613,0.563003,0.563003,0.0,0.22,"[0.22, 0.22, 0.22, 0.22, 0.22]",167250,42751,29316,15684,0.348533,"[1, 2, 4, 3, 2]","[97946, 97764, 131135, 106693, 114292]",547830,5,4.6667,-,hybrid,honest,28.7,2026-09-14T22:19:47+00:00,fold 내부 teacher. 분위수도 fold별 재계산.,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
P6_legacy,Phase 6: Advanced (Traffic 레거시),255001,22,0.463144,0.634345,0.451613,0.572439,0.572439,0.0,0.22,"[0.22, 0.22, 0.22, 0.22, 0.22]",178423,31578,31722,13278,0.295067,"[2, 2, 2, 2, 2]",[],0,5,4.6667,legacy,hybrid,-,20.5,2026-09-14T22:20:07+00:00,Dep_Hour==-1 을 하나의 버킷으로 집계. 기존 구현 재현.,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
P6_fixed,Phase 6: Advanced (Traffic 결측 제외),255001,24,0.463233,0.63322,0.451613,0.56959,0.56959,0.0,0.22,"[0.22, 0.22, 0.22, 0.22, 0.22]",178714,31287,32075,12925,0.287222,"[2, 2, 2, 2, 2]",[],0,5,4.6667,exclude_missing,hybrid,-,21.0,2026-09-14T22:20:29+00:00,Dep_Hour==-1 행을 집계에서 제외 + 결측 플래그 분리 (AUDIT §3-8 수정).,"{""n_splits"": 5, ""shuffle"": true, ""seed"": 42, ""stopping_rounds"": 40, ""threshold_grid"": [0.1, 0.7, 0.01], ""metric_aggregation"": ""pooled_oof"", ""inner_holdout_frac"": 0.2, ""n_thresholds"": 61, ""inner_early_stopping"": true, ""nested_threshold"": true}","{""objective"": ""binary"", ""metric"": ""binary_logloss"", ""boosting_type"": ""gbdt"", ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 8, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""random_state"": 42, ""n_estimators"": 1000, ""verbose"": -1}"
