ID,Month,Day_of_Month,Tail_Number,Origin_Airport,Destination_Airport,Distance,Carrier_ID(DOT),Estimated_Departure_Time,Estimated_Arrival_Time,Airline,Carrier_Code(IATA)
TRAIN_123647,4,27,N801HC,HNL,MKK,54,20263,1722,1752,Empire Airlines Inc.,HA
TRAIN_239978,4,6,N800SK,MOT,MSP,449,20304,500,640,SkyWest Airlines Inc.,DL
TRAIN_333867,4,12,N206JQ,BOS,LGA,184,20452,1500,1625,Republic Airlines,
TRAIN_362238,4,6,N241PS,DCA,HPN,234,20397,1710,1828,Comair Inc.,AA
TRAIN_391595,4,14,N24715,STT,EWR,1634,19977,1415,1850,United Air Lines Inc.,UA
TRAIN_410954,4,10,N805HC,LNY,HNL,72,20263,1946,2018,Empire Airlines Inc.,HA
TRAIN_417233,4,10,N679NK,MCO,DFW,985,20416,1840,2039,Spirit Air Lines,NK
TRAIN_523603,4,18,N858RW,SDF,IAH,788,20452,915,1052,Republic Airlines,UA
TRAIN_639488,4,28,N469AW,ORD,GRR,137,20046,800,959,Air Wisconsin Airlines Corp,UA
TRAIN_687414,4,28,N805HC,LNY,HNL,72,20263,1620,1652,,HA
TRAIN_714403,4,26,N514AS,ANC,HNL,2777,19930,1620,2035,Alaska Airlines Inc.,AS
TRAIN_897754,4,10,N523NK,BOS,PBI,1197,20416,830,1156,Spirit Air Lines,NK
TRAIN_928914,4,6,N800SK,MOT,MSP,449,20304,500,640,SkyWest Airlines Inc.,
TRAIN_931479,4,1,N805HC,HNL,LNY,72,20263,1051,1125,Empire Airlines Inc.,HA
TRAIN_988219,4,19,N736YX,ELP,ORD,1236,20452,630,1043,,
