ID,Month,Day_of_Month,Estimated_Departure_Time,Estimated_Arrival_Time,Origin_Airport,Destination_Airport,Distance,Airline,Carrier_Code(IATA),Carrier_ID(DOT),Tail_Number,matched,route,carrier_group
TRAIN_003836,8,5,1425,1515,OGG,LIH,201,Hawaiian Airlines Inc.,HA,19690,N477HA,False,OGG->LIH,reporting carrier
TRAIN_006222,8,8,1340,1426,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N486HA,False,HNL->OGG,reporting carrier
TRAIN_006409,8,14,1000,1225,SFO,OGG,2338,Hawaiian Airlines Inc.,HA,19690,N380HA,False,SFO->OGG,reporting carrier
TRAIN_013626,8,22,810,844,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N487HA,False,LIH->HNL,reporting carrier
TRAIN_014410,8,27,1521,1615,ITO,HNL,216,Hawaiian Airlines Inc.,HA,19690,N493HA,False,ITO->HNL,reporting carrier
TRAIN_017053,8,11,730,1115,PHX,HNL,2917,Hawaiian Airlines Inc.,HA,19690,N590HA,False,PHX->HNL,reporting carrier
TRAIN_020625,8,11,717,752,LIH,HNL,102,Hawaiian Airlines Inc.,,19690,N488HA,False,LIH->HNL,reporting carrier
TRAIN_023597,8,6,900,1205,SEA,HNL,2677,Hawaiian Airlines Inc.,HA,19690,N383HA,False,SEA->HNL,reporting carrier
TRAIN_023712,8,13,1351,1443,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N492HA,False,HNL->KOA,reporting carrier
TRAIN_024252,8,6,1107,1154,OGG,LIH,201,,HA,19690,N476HA,False,OGG->LIH,reporting carrier
TRAIN_024784,8,27,2002,2039,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N477HA,False,OGG->HNL,reporting carrier
TRAIN_027739,8,23,1000,1225,SFO,OGG,2338,Hawaiian Airlines Inc.,HA,19690,N396HA,False,SFO->OGG,reporting carrier
TRAIN_027740,8,9,1450,1534,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N494HA,False,HNL->LIH,reporting carrier
TRAIN_032284,8,14,1222,1257,LIH,HNL,102,,HA,19690,N490HA,False,LIH->HNL,reporting carrier
TRAIN_033294,8,5,1245,2105,OGG,SAN,2541,Hawaiian Airlines Inc.,HA,19690,N580HA,False,OGG->SAN,reporting carrier
TRAIN_033523,8,7,1222,1257,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N475HA,False,LIH->HNL,reporting carrier
TRAIN_033533,8,21,1511,1607,HNL,ITO,216,Hawaiian Airlines Inc.,HA,19690,N480HA,False,HNL->ITO,reporting carrier
TRAIN_035737,8,10,1003,1040,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N477HA,False,LIH->HNL,reporting carrier
