dimension,value,eligible_rows,matched_rows,unmatched_rows,unmatched_rate
Carrier_ID(DOT),19393,12325,12325,0,0.0
Carrier_ID(DOT),19687,1109,1109,0,0.0
Carrier_ID(DOT),19690,745,745,0,0.0
Carrier_ID(DOT),19790,8270,8270,0,0.0
Carrier_ID(DOT),19805,8259,8259,0,0.0
Carrier_ID(DOT),19930,2287,2287,0,0.0
Carrier_ID(DOT),19977,5600,5600,0,0.0
Carrier_ID(DOT),20046,920,920,0,0.0
Carrier_ID(DOT),20225,5,5,0,0.0
Carrier_ID(DOT),20237,644,644,0,0.0
Carrier_ID(DOT),20263,63,63,0,0.0
Carrier_ID(DOT),20304,7257,7257,0,0.0
Carrier_ID(DOT),20363,2335,2335,0,0.0
Carrier_ID(DOT),20366,1306,1306,0,0.0
Carrier_ID(DOT),20368,919,919,0,0.0
Carrier_ID(DOT),20378,2032,2032,0,0.0
Carrier_ID(DOT),20397,2437,2437,0,0.0
Carrier_ID(DOT),20398,2725,2725,0,0.0
Carrier_ID(DOT),20409,2816,2816,0,0.0
Carrier_ID(DOT),20416,1657,1657,0,0.0
Carrier_ID(DOT),20427,1051,1051,0,0.0
Carrier_ID(DOT),20436,1175,1175,0,0.0
Carrier_ID(DOT),20445,493,493,0,0.0
Carrier_ID(DOT),20452,2754,2754,0,0.0
Carrier_ID(DOT),20500,742,742,0,0.0
Carrier_ID(DOT),21167,792,792,0,0.0
Airline,(missing),7742,7742,0,0.0
Airline,Air Wisconsin Airlines Corp,826,826,0,0.0
Airline,Alaska Airlines Inc.,2017,2017,0,0.0
Airline,Allegiant Air,823,823,0,0.0
Airline,American Airlines Inc.,7353,7353,0,0.0
Airline,Capital Cargo International,922,922,0,0.0
Airline,Comair Inc.,2149,2149,0,0.0
Airline,"Commutair Aka Champlain Enterprises, Inc.",438,438,0,0.0
Airline,Compass Airlines,704,704,0,0.0
Airline,Delta Air Lines Inc.,7382,7382,0,0.0
Airline,Empire Airlines Inc.,62,62,0,0.0
Airline,Endeavor Air Inc.,2070,2070,0,0.0
Airline,Envoy Air,2383,2383,0,0.0
Airline,ExpressJet Airlines Inc.,1168,1168,0,0.0
Airline,Frontier Airlines Inc.,1046,1046,0,0.0
Airline,"GoJet Airlines, LLC d/b/a United Express",677,677,0,0.0
Airline,Hawaiian Airlines Inc.,660,660,0,0.0
Airline,Horizon Air,1001,1001,0,0.0
Airline,JetBlue Airways,2518,2518,0,0.0
Airline,Mesa Airlines Inc.,1800,1800,0,0.0
Airline,Peninsula Airways Inc.,5,5,0,0.0
Airline,Republic Airlines,2458,2458,0,0.0
Airline,SkyWest Airlines Inc.,6464,6464,0,0.0
Airline,Southwest Airlines Co.,11007,11007,0,0.0
Airline,Spirit Air Lines,1465,1465,0,0.0
Airline,Trans States Airlines,582,582,0,0.0
Airline,United Air Lines Inc.,4996,4996,0,0.0
carrier_group,previously-absent operator,5819,5819,0,0.0
carrier_group,reporting carrier,64899,64899,0,0.0
route,ABE->ATL,9,9,0,0.0
route,ABE->BNA,1,1,0,0.0
route,ABE->CLT,14,14,0,0.0
route,ABE->DTW,11,11,0,0.0
route,ABE->FLL,1,1,0,0.0
route,ABE->ORD,13,13,0,0.0
route,ABE->PGD,2,2,0,0.0
route,ABE->PHL,6,6,0,0.0
route,ABE->PIE,1,1,0,0.0
route,ABE->SFB,3,3,0,0.0
route,ABI->DFW,21,21,0,0.0
route,ABQ->ATL,6,6,0,0.0
route,ABQ->AUS,1,1,0,0.0
route,ABQ->BWI,3,3,0,0.0
route,ABQ->DAL,25,25,0,0.0
route,ABQ->DEN,20,20,0,0.0
route,ABQ->DFW,18,18,0,0.0
route,ABQ->HOU,13,13,0,0.0
route,ABQ->IAH,15,15,0,0.0
route,ABQ->JFK,5,5,0,0.0
route,ABQ->LAS,14,14,0,0.0
route,ABQ->LAX,18,18,0,0.0
route,ABQ->MCI,5,5,0,0.0
route,ABQ->MCO,3,3,0,0.0
route,ABQ->MDW,3,3,0,0.0
route,ABQ->MSP,1,1,0,0.0
route,ABQ->OAK,13,13,0,0.0
route,ABQ->ORD,13,13,0,0.0
route,ABQ->PDX,5,5,0,0.0
route,ABQ->PHX,24,24,0,0.0
route,ABQ->SAN,8,8,0,0.0
route,ABQ->SAT,3,3,0,0.0
route,ABQ->SEA,3,3,0,0.0
route,ABQ->SFO,10,10,0,0.0
route,ABQ->SJC,1,1,0,0.0
route,ABQ->SLC,9,9,0,0.0
route,ABQ->SNA,7,7,0,0.0
route,ABR->MSP,8,8,0,0.0
route,ABY->ATL,8,8,0,0.0
route,ACT->DFW,12,12,0,0.0
route,ACV->DEN,1,1,0,0.0
route,ACV->LAX,4,4,0,0.0
route,ACV->SFO,10,10,0,0.0
route,ACY->FLL,10,10,0,0.0
route,ACY->MCO,6,6,0,0.0
route,ACY->MYR,1,1,0,0.0
route,ACY->PBI,3,3,0,0.0
route,ACY->RSW,4,4,0,0.0
route,ACY->TPA,5,5,0,0.0
route,ADK->ANC,2,2,0,0.0
route,ADQ->ANC,10,10,0,0.0
route,AEX->ATL,12,12,0,0.0
route,AEX->DFW,7,7,0,0.0
route,AEX->IAH,3,3,0,0.0
route,AGS->ATL,20,20,0,0.0
route,AGS->CLT,18,18,0,0.0
route,AGS->DFW,2,2,0,0.0
route,ALB->ATL,4,4,0,0.0
route,ALB->BWI,20,20,0,0.0
route,ALB->CLT,4,4,0,0.0
route,ALB->DCA,12,12,0,0.0
route,ALB->DEN,1,1,0,0.0
route,ALB->DTW,14,14,0,0.0
route,ALB->EWR,12,12,0,0.0
route,ALB->FLL,4,4,0,0.0
route,ALB->IAD,7,7,0,0.0
route,ALB->MCO,9,9,0,0.0
route,ALB->MDW,4,4,0,0.0
route,ALB->MSP,1,1,0,0.0
route,ALB->ORD,27,27,0,0.0
route,ALB->PGD,1,1,0,0.0
route,ALB->PHL,17,17,0,0.0
route,ALB->PIE,4,4,0,0.0
route,ALB->TPA,8,8,0,0.0
route,ALO->ORD,6,6,0,0.0
route,ALW->SEA,11,11,0,0.0
route,AMA->DAL,11,11,0,0.0
route,AMA->DEN,7,7,0,0.0
route,AMA->DFW,21,21,0,0.0
route,AMA->HOU,1,1,0,0.0
route,AMA->IAH,9,9,0,0.0
route,AMA->LAS,2,2,0,0.0
route,AMA->PHX,1,1,0,0.0
route,ANC->ADQ,9,9,0,0.0
route,ANC->BET,5,5,0,0.0
route,ANC->CDV,3,3,0,0.0
route,ANC->DEN,5,5,0,0.0
route,ANC->DUT,1,1,0,0.0
route,ANC->FAI,14,14,0,0.0
route,ANC->HNL,6,6,0,0.0
route,ANC->JNU,9,9,0,0.0
route,ANC->KOA,1,1,0,0.0
route,ANC->LAX,3,3,0,0.0
route,ANC->MSP,2,2,0,0.0
route,ANC->OGG,3,3,0,0.0
route,ANC->OME,5,5,0,0.0
route,ANC->ORD,4,4,0,0.0
route,ANC->OTZ,5,5,0,0.0
route,ANC->PDX,9,9,0,0.0
route,ANC->PHX,2,2,0,0.0
route,ANC->SCC,3,3,0,0.0
route,ANC->SEA,61,61,0,0.0
route,APN->DTW,8,8,0,0.0
route,APN->PLN,7,7,0,0.0
route,ART->PHL,10,10,0,0.0
route,ASE->ATL,3,3,0,0.0
route,ASE->DEN,20,20,0,0.0
route,ASE->DFW,6,6,0,0.0
route,ASE->IAH,7,7,0,0.0
route,ASE->LAX,23,23,0,0.0
route,ASE->MSP,3,3,0,0.0
route,ASE->ORD,8,8,0,0.0
route,ASE->PHX,2,2,0,0.0
route,ASE->SFO,6,6,0,0.0
route,ASE->SLC,4,4,0,0.0
route,ATL->ABE,5,5,0,0.0
route,ATL->ABQ,3,3,0,0.0
route,ATL->ABY,9,9,0,0.0
route,ATL->AEX,19,19,0,0.0
route,ATL->AGS,17,17,0,0.0
route,ATL->ALB,8,8,0,0.0
route,ATL->ASE,1,1,0,0.0
route,ATL->ATW,5,5,0,0.0
route,ATL->AUS,33,33,0,0.0
route,ATL->AVL,35,35,0,0.0
route,ATL->AVP,4,4,0,0.0
route,ATL->BDL,24,24,0,0.0
route,ATL->BHM,22,22,0,0.0
route,ATL->BMI,8,8,0,0.0
route,ATL->BNA,30,30,0,0.0
route,ATL->BOS,56,56,0,0.0
route,ATL->BQK,8,8,0,0.0
route,ATL->BTR,17,17,0,0.0
route,ATL->BTV,5,5,0,0.0
route,ATL->BUF,10,10,0,0.0
route,ATL->BUR,2,2,0,0.0
route,ATL->BWI,70,70,0,0.0
route,ATL->BZN,2,2,0,0.0
route,ATL->CAE,27,27,0,0.0
route,ATL->CAK,12,12,0,0.0
route,ATL->CHA,33,33,0,0.0
route,ATL->CHO,16,16,0,0.0
route,ATL->CHS,19,19,0,0.0
route,ATL->CID,10,10,0,0.0
route,ATL->CLE,25,25,0,0.0
route,ATL->CLT,46,46,0,0.0
route,ATL->CMH,35,35,0,0.0
route,ATL->COS,4,4,0,0.0
route,ATL->CRW,16,16,0,0.0
route,ATL->CSG,10,10,0,0.0
route,ATL->CVG,21,21,0,0.0
route,ATL->DAB,11,11,0,0.0
route,ATL->DAL,33,33,0,0.0
route,ATL->DAY,15,15,0,0.0
route,ATL->DCA,68,68,0,0.0
route,ATL->DEN,50,50,0,0.0
route,ATL->DFW,61,61,0,0.0
route,ATL->DHN,12,12,0,0.0
route,ATL->DSM,12,12,0,0.0
route,ATL->DTW,53,53,0,0.0
route,ATL->ECP,22,22,0,0.0
route,ATL->ELM,1,1,0,0.0
route,ATL->ELP,12,12,0,0.0
route,ATL->EVV,12,12,0,0.0
route,ATL->EWN,6,6,0,0.0
route,ATL->EWR,52,52,0,0.0
route,ATL->EYW,12,12,0,0.0
route,ATL->FAR,2,2,0,0.0
route,ATL->FAY,13,13,0,0.0
route,ATL->FLL,76,76,0,0.0
route,ATL->FNT,7,7,0,0.0
route,ATL->FSD,1,1,0,0.0
route,ATL->FSM,9,9,0,0.0
route,ATL->FWA,15,15,0,0.0
route,ATL->GNV,15,15,0,0.0
route,ATL->GPT,12,12,0,0.0
route,ATL->GRB,8,8,0,0.0
route,ATL->GRR,19,19,0,0.0
route,ATL->GSO,17,17,0,0.0
route,ATL->GSP,37,37,0,0.0
route,ATL->GTR,11,11,0,0.0
route,ATL->HDN,1,1,0,0.0
route,ATL->HHH,6,6,0,0.0
route,ATL->HNL,3,3,0,0.0
route,ATL->HOU,43,43,0,0.0
route,ATL->HPN,15,15,0,0.0
route,ATL->HSV,28,28,0,0.0
route,ATL->IAD,37,37,0,0.0
route,ATL->IAH,45,45,0,0.0
route,ATL->ICT,1,1,0,0.0
route,ATL->ILM,22,22,0,0.0
route,ATL->IND,38,38,0,0.0
route,ATL->ISP,1,1,0,0.0
route,ATL->JAN,28,28,0,0.0
route,ATL->JAX,38,38,0,0.0
route,ATL->JFK,30,30,0,0.0
route,ATL->LAS,41,41,0,0.0
route,ATL->LAX,60,60,0,0.0
route,ATL->LEX,20,20,0,0.0
route,ATL->LFT,10,10,0,0.0
route,ATL->LGA,85,85,0,0.0
route,ATL->LIT,17,17,0,0.0
route,ATL->LNK,3,3,0,0.0
route,ATL->MCI,39,39,0,0.0
route,ATL->MCO,95,95,0,0.0
route,ATL->MDT,11,11,0,0.0
route,ATL->MDW,36,36,0,0.0
route,ATL->MEM,30,30,0,0.0
route,ATL->MGM,15,15,0,0.0
route,ATL->MIA,62,62,0,0.0
route,ATL->MKE,24,24,0,0.0
route,ATL->MLB,14,14,0,0.0
route,ATL->MLI,9,9,0,0.0
route,ATL->MLU,10,10,0,0.0
route,ATL->MOB,11,11,0,0.0
route,ATL->MSN,5,5,0,0.0
route,ATL->MSP,41,41,0,0.0
route,ATL->MSY,40,40,0,0.0
route,ATL->MTJ,1,1,0,0.0
route,ATL->MYR,18,18,0,0.0
route,ATL->OAJ,16,16,0,0.0
route,ATL->OAK,3,3,0,0.0
route,ATL->OKC,19,19,0,0.0
route,ATL->OMA,12,12,0,0.0
route,ATL->ONT,3,3,0,0.0
route,ATL->ORD,77,77,0,0.0
route,ATL->ORF,20,20,0,0.0
route,ATL->PBI,29,29,0,0.0
route,ATL->PDX,10,10,0,0.0
route,ATL->PHF,7,7,0,0.0
route,ATL->PHL,65,65,0,0.0
route,ATL->PHX,27,27,0,0.0
route,ATL->PIA,8,8,0,0.0
route,ATL->PIT,28,28,0,0.0
route,ATL->PNS,24,24,0,0.0
route,ATL->PVD,10,10,0,0.0
route,ATL->PWM,2,2,0,0.0
route,ATL->RDU,54,54,0,0.0
route,ATL->RIC,30,30,0,0.0
route,ATL->RNO,1,1,0,0.0
route,ATL->ROA,17,17,0,0.0
route,ATL->ROC,14,14,0,0.0
route,ATL->RST,1,1,0,0.0
route,ATL->RSW,22,22,0,0.0
route,ATL->SAN,24,24,0,0.0
route,ATL->SAT,28,28,0,0.0
route,ATL->SAV,29,29,0,0.0
route,ATL->SBN,13,13,0,0.0
route,ATL->SDF,27,27,0,0.0
route,ATL->SEA,26,26,0,0.0
route,ATL->SFO,33,33,0,0.0
route,ATL->SGF,13,13,0,0.0
route,ATL->SHV,16,16,0,0.0
route,ATL->SJC,14,14,0,0.0
route,ATL->SJU,10,10,0,0.0
route,ATL->SLC,27,27,0,0.0
route,ATL->SMF,7,7,0,0.0
route,ATL->SNA,10,10,0,0.0
route,ATL->SRQ,20,20,0,0.0
route,ATL->STL,36,36,0,0.0
route,ATL->STT,6,6,0,0.0
route,ATL->STX,1,1,0,0.0
route,ATL->SYR,10,10,0,0.0
route,ATL->TLH,26,26,0,0.0
route,ATL->TPA,70,70,0,0.0
