month,run,complete_rows,matched_rows,match_rate,unmatched_rows,resolved_to_one_year,unresolved_both_years,rows_2018,rows_2019,share_2018,missing_key_rows,missing_key_no_candidate,missing_key_unique,missing_key_multiple
1,baseline_recovery_v2_bts_marketing_m01_20260918,54730,54724,0.9998903709117486,6,54719,5,27521,27198,0.5029514428260751,22926,2,22838,86
2,baseline_recovery_v2_bts_marketing_m02_20260917,42362,42362,1.0,0,42352,10,16627,25725,0.39259066868152626,17498,0,17432,66
3,baseline_recovery_v2_bts_marketing_m03_20260918,51194,51194,1.0,0,51181,13,21213,29968,0.4144702135558117,21144,0,21061,83
4,baseline_recovery_v2_bts_marketing_m04_20260918,58549,58549,1.0,0,58534,15,30015,28519,0.5127788977346499,24481,0,24397,84
5,baseline_recovery_v2_bts_marketing_m05_20260918,52768,52768,1.0,0,52751,17,22090,30661,0.4187598339367974,21765,0,21684,81
6,baseline_recovery_v2_bts_marketing_m06_20260918,51042,51042,1.0,0,51021,21,20283,30738,0.3975421885106133,21265,0,21164,101
7,baseline_recovery_v2_bts_marketing_m07_20260917,54896,54896,1.0,0,54881,15,23337,31544,0.42522913212222807,22647,0,22563,84
8,baseline_recovery_v2_bts_marketing_m08_20260918,63256,62845,0.9935025926394334,411,62832,13,31355,31477,0.49902915711739243,26002,163,25735,104
9,baseline_recovery_v2_bts_marketing_m09_20260918,67769,67769,1.0,0,67764,5,39412,28352,0.5816067528481199,27797,0,27687,110
10,baseline_recovery_v2_bts_marketing_m10_20260918,71750,71750,1.0,0,71743,7,41566,30177,0.579373597424139,29759,0,29606,153
11,baseline_recovery_v2_bts_marketing_m11_20260917,68283,68283,1.0,0,68271,12,39854,28417,0.5837617729343352,28427,0,28299,128
12,baseline_recovery_v2_bts_marketing_m12_20260918,70718,70718,1.0,0,70710,8,40452,30258,0.5720831565549427,28972,0,28842,130
