ID,Month,Day_of_Month,Tail_Number,Origin_Airport,Destination_Airport,Distance,Carrier_ID(DOT),Estimated_Departure_Time,Estimated_Arrival_Time,Airline,Carrier_Code(IATA)
TRAIN_026479,11,15,N917EV,ABR,MSP,257,20304,500,620,,DL
TRAIN_153932,11,9,N79279,GUM,SPN,129,19977,730,811,United Air Lines Inc.,UA
TRAIN_343097,11,22,N952JB,DEN,JFK,1626,20409,2359,535,JetBlue Airways,B6
TRAIN_533283,11,11,N396HA,HNL,LAX,2556,19690,800,1525,Hawaiian Airlines Inc.,HA
TRAIN_556541,11,17,N14562,CLL,IAH,74,20366,600,645,,UA
TRAIN_565219,11,24,N315AS,MCI,SEA,1489,19930,600,806,Alaska Airlines Inc.,AS
TRAIN_635289,11,2,N538EG,ORD,ROC,528,20398,1155,1431,Envoy Air,AA
TRAIN_763512,11,11,N396HA,LAX,HNL,2556,19690,1705,2105,Hawaiian Airlines Inc.,
TRAIN_812111,11,5,N304JB,BOS,DCA,399,20409,1616,1758,JetBlue Airways,B6
TRAIN_860226,11,9,N79279,SPN,GUM,129,19977,915,955,United Air Lines Inc.,UA
TRAIN_954731,11,24,N831UA,PHL,IAH,1325,19977,600,841,United Air Lines Inc.,UA
TRAIN_959806,11,18,N307DX,ATL,LGA,762,19790,930,1138,,DL
