dimension,value,eligible_rows,matched_rows,unmatched_rows,unmatched_rate
Carrier_ID(DOT),19393,11868,11868,0,0.0
Carrier_ID(DOT),19687,968,0,968,1.0
Carrier_ID(DOT),19690,676,676,0,0.0
Carrier_ID(DOT),19790,8177,8177,0,0.0
Carrier_ID(DOT),19805,8066,8066,0,0.0
Carrier_ID(DOT),19930,2174,2174,0,0.0
Carrier_ID(DOT),19977,5347,5347,0,0.0
Carrier_ID(DOT),20046,894,0,894,1.0
Carrier_ID(DOT),20225,9,0,9,1.0
Carrier_ID(DOT),20237,611,0,611,1.0
Carrier_ID(DOT),20263,69,0,69,1.0
Carrier_ID(DOT),20304,6809,6806,3,0.00044059333235424436
Carrier_ID(DOT),20363,2070,2067,3,0.0014492753623188692
Carrier_ID(DOT),20366,1384,1383,1,0.0007225433526011349
Carrier_ID(DOT),20368,849,849,0,0.0
Carrier_ID(DOT),20378,1978,1978,0,0.0
Carrier_ID(DOT),20397,2583,2583,0,0.0
Carrier_ID(DOT),20398,2598,2593,5,0.0019245573518090753
Carrier_ID(DOT),20409,2621,2621,0,0.0
Carrier_ID(DOT),20416,1644,1644,0,0.0
Carrier_ID(DOT),20427,966,0,966,1.0
Carrier_ID(DOT),20436,1234,1234,0,0.0
Carrier_ID(DOT),20445,482,0,482,1.0
Carrier_ID(DOT),20452,2711,2711,0,0.0
Carrier_ID(DOT),20500,727,0,727,1.0
Carrier_ID(DOT),21167,768,0,768,1.0
Airline,(missing),7394,6804,590,0.07979442791452529
Airline,Air Wisconsin Airlines Corp,817,0,817,1.0
Airline,Alaska Airlines Inc.,1938,1938,0,0.0
Airline,Allegiant Air,754,754,0,0.0
Airline,American Airlines Inc.,7190,7190,0,0.0
Airline,Capital Cargo International,848,0,848,1.0
Airline,Comair Inc.,2298,2298,0,0.0
Airline,"Commutair Aka Champlain Enterprises, Inc.",438,0,438,1.0
Airline,Compass Airlines,684,0,684,1.0
Airline,Delta Air Lines Inc.,7262,7262,0,0.0
Airline,Empire Airlines Inc.,56,0,56,1.0
Airline,Endeavor Air Inc.,1871,1869,2,0.001068947087119243
Airline,Envoy Air,2286,2282,4,0.0017497812773403787
Airline,ExpressJet Airlines Inc.,1244,1243,1,0.000803858520900369
Airline,Frontier Airlines Inc.,1084,1084,0,0.0
Airline,"GoJet Airlines, LLC d/b/a United Express",663,0,663,1.0
Airline,Hawaiian Airlines Inc.,603,603,0,0.0
