year,level,incomplete_rows,rows_with_these_keys,candidate_rows,candidate_rate
2007,L0_full,28427,0,0,
2007,L1_drop_distance,28427,0,0,
2007,L2_drop_dot,28427,8361,0,0.0
2007,L3_drop_distance_dot,28427,8361,0,0.0
2007,L4_drop_arrival_time,28427,8444,0,0.0
2007,L5_drop_both_times,28427,17876,81,0.004531215036921011
2007,L6_day_tail_route,28427,28427,198,0.006965209132163084
2007,L7_day_tail,28427,28427,11296,0.39736869877229397
2007,L8_tail_only,28427,28427,12002,0.4222042424455623
2007,L9_day_route_times,28427,8361,21,0.002511661284535343
2007,L10_day_route_dep,28427,17847,673,0.03770941894996358
2007,L11_day_route,28427,28427,24241,0.8527456291553804
2007,L12_tail_route_times_any_day,28427,8361,1,0.00011960291831120679
2007,L13_dot_only,28427,17876,14459,0.8088498545535914
2013,L0_full,28427,0,0,
2013,L1_drop_distance,28427,0,0,
2013,L2_drop_dot,28427,8361,0,0.0
2013,L3_drop_distance_dot,28427,8361,0,0.0
2013,L4_drop_arrival_time,28427,8444,2,0.00023685457129322596
2013,L5_drop_both_times,28427,17876,119,0.006656970239427165
2013,L6_day_tail_route,28427,28427,279,0.009814612868047983
2013,L7_day_tail,28427,28427,12988,0.45688957681077846
2013,L8_tail_only,28427,28427,14196,0.4993843880817533
2013,L9_day_route_times,28427,8361,20,0.002392058366224136
2013,L10_day_route_dep,28427,17847,635,0.035580209559029526
2013,L11_day_route,28427,28427,24769,0.871319520174482
2013,L12_tail_route_times_any_day,28427,8361,1,0.00011960291831120679
2013,L13_dot_only,28427,17876,14459,0.8088498545535914
2018,L0_full,28427,0,0,
2018,L1_drop_distance,28427,0,0,
2018,L2_drop_dot,28427,8361,4417,0.5282860901806004
2018,L3_drop_distance_dot,28427,8361,4417,0.5282860901806004
2018,L4_drop_arrival_time,28427,8444,4500,0.5329227854097585
2018,L5_drop_both_times,28427,17876,9668,0.5408368762586708
2018,L6_day_tail_route,28427,28427,15396,0.5415977767615295
2018,L7_day_tail,28427,28427,24554,0.8637562880360221
2018,L8_tail_only,28427,28427,25474,0.8961198860238505
2018,L9_day_route_times,28427,8361,4450,0.5322329864848703
2018,L10_day_route_dep,28427,17847,10075,0.5645206477279094
2018,L11_day_route,28427,28427,27253,0.9587012347416188
2018,L12_tail_route_times_any_day,28427,8361,4425,0.5292429135270901
2018,L13_dot_only,28427,17876,16433,0.9192772432311479
2019,L0_full,28427,0,0,
2019,L1_drop_distance,28427,0,0,
2019,L2_drop_dot,28427,8361,3259,0.38978591077622293
2019,L3_drop_distance_dot,28427,8361,3259,0.38978591077622293
2019,L4_drop_arrival_time,28427,8444,3276,0.3879677877783041
2019,L5_drop_both_times,28427,17876,7222,0.40400537032893263
2019,L6_day_tail_route,28427,28427,11487,0.4040876631371583
2019,L7_day_tail,28427,28427,23902,0.8408203468533436
2019,L8_tail_only,28427,28427,25286,0.8895064551306856
2019,L9_day_route_times,28427,8361,3312,0.3961248654467169
2019,L10_day_route_dep,28427,17847,7815,0.4378887207934107
2019,L11_day_route,28427,28427,27366,0.9626763288422978
2019,L12_tail_route_times_any_day,28427,8361,3266,0.3906231312044014
2019,L13_dot_only,28427,17876,16433,0.9192772432311479
