ID,Month,Day_of_Month,Estimated_Departure_Time,Estimated_Arrival_Time,Origin_Airport,Destination_Airport,Distance,Airline,Carrier_Code(IATA),Carrier_ID(DOT),Tail_Number,candidate_years
TRAIN_026479,11,15,500,620,ABR,MSP,257,,DL,20304,N917EV,"2018,2019"
TRAIN_153932,11,9,730,811,GUM,SPN,129,United Air Lines Inc.,UA,19977,N79279,"2018,2019"
TRAIN_343097,11,22,2359,535,DEN,JFK,1626,JetBlue Airways,B6,20409,N952JB,"2018,2019"
TRAIN_533283,11,11,800,1525,HNL,LAX,2556,Hawaiian Airlines Inc.,HA,19690,N396HA,"2018,2019"
TRAIN_556541,11,17,600,645,CLL,IAH,74,,UA,20366,N14562,"2018,2019"
TRAIN_565219,11,24,600,806,MCI,SEA,1489,Alaska Airlines Inc.,AS,19930,N315AS,"2018,2019"
TRAIN_635289,11,2,1155,1431,ORD,ROC,528,Envoy Air,AA,20398,N538EG,"2018,2019"
TRAIN_763512,11,11,1705,2105,LAX,HNL,2556,Hawaiian Airlines Inc.,,19690,N396HA,"2018,2019"
TRAIN_812111,11,5,1616,1758,BOS,DCA,399,JetBlue Airways,B6,20409,N304JB,"2018,2019"
TRAIN_860226,11,9,915,955,SPN,GUM,129,United Air Lines Inc.,UA,19977,N79279,"2018,2019"
TRAIN_954731,11,24,600,841,PHL,IAH,1325,United Air Lines Inc.,UA,19977,N831UA,"2018,2019"
TRAIN_959806,11,18,930,1138,ATL,LGA,762,,DL,19790,N307DX,"2018,2019"
