ID,Month,Day_of_Month,Estimated_Departure_Time,Estimated_Arrival_Time,Cancelled,Diverted,Origin_Airport,Origin_Airport_ID,Origin_State,Destination_Airport,Destination_Airport_ID,Destination_State,Distance,Airline,Carrier_Code(IATA),Carrier_ID(DOT),Tail_Number,Origin_Airport_ID__2018,Origin_State__2018,Destination_Airport_ID__2018,Destination_State__2018,Cancelled__2018,Diverted__2018,flight_no__2018,Origin_Airport_ID__2019,Origin_State__2019,Destination_Airport_ID__2019,Destination_State__2019,Cancelled__2019,Diverted__2019,flight_no__2019
TRAIN_026479,11,15,500,620,0,0,ABR,10141,,MSP,13487,Minnesota,257,,DL,20304,N917EV,10141,SD,13487,MN,0.0,0.0,7365,10141,SD,13487,MN,0.0,0.0,4255
TRAIN_153932,11,9,730,811,0,0,GUM,12016,,SPN,14955,U.S. Pacific Trust Territories and Possessions,129,United Air Lines Inc.,UA,19977,N79279,12016,TT,14955,TT,0.0,0.0,174,12016,TT,14955,TT,0.0,0.0,174
TRAIN_343097,11,22,2359,535,0,0,DEN,11292,Colorado,JFK,12478,New York,1626,JetBlue Airways,B6,20409,N952JB,11292,CO,12478,NY,0.0,0.0,98,11292,CO,12478,NY,0.0,0.0,98
TRAIN_533283,11,11,800,1525,0,0,HNL,12173,Hawaii,LAX,12892,California,2556,Hawaiian Airlines Inc.,HA,19690,N396HA,12173,HI,12892,CA,0.0,0.0,10,12173,HI,12892,CA,0.0,0.0,10
TRAIN_556541,11,17,600,645,0,0,CLL,11049,Texas,IAH,12266,Texas,74,,UA,20366,N14562,11049,TX,12266,TX,0.0,0.0,4129,11049,TX,12266,TX,0.0,0.0,4129
TRAIN_565219,11,24,600,806,0,0,MCI,13198,Missouri,SEA,14747,Washington,1489,Alaska Airlines Inc.,AS,19930,N315AS,13198,MO,14747,WA,0.0,0.0,683,13198,MO,14747,WA,0.0,0.0,341
TRAIN_635289,11,2,1155,1431,0,0,ORD,13930,Illinois,ROC,14576,,528,Envoy Air,AA,20398,N538EG,13930,IL,14576,NY,0.0,0.0,3686,13930,IL,14576,NY,0.0,0.0,3686
TRAIN_763512,11,11,1705,2105,0,0,LAX,12892,California,HNL,12173,Hawaii,2556,Hawaiian Airlines Inc.,,19690,N396HA,12892,CA,12173,HI,0.0,0.0,9,12892,CA,12173,HI,0.0,0.0,9
TRAIN_812111,11,5,1616,1758,0,0,BOS,10721,Massachusetts,DCA,11278,Virginia,399,JetBlue Airways,B6,20409,N304JB,10721,MA,11278,VA,0.0,0.0,755,10721,MA,11278,VA,0.0,0.0,989
TRAIN_860226,11,9,915,955,0,0,SPN,14955,U.S. Pacific Trust Territories and Possessions,GUM,12016,U.S. Pacific Trust Territories and Possessions,129,United Air Lines Inc.,UA,19977,N79279,14955,TT,12016,TT,0.0,0.0,117,14955,TT,12016,TT,0.0,0.0,117
TRAIN_954731,11,24,600,841,0,0,PHL,14100,Pennsylvania,IAH,12266,Texas,1325,United Air Lines Inc.,UA,19977,N831UA,14100,PA,12266,TX,0.0,0.0,2113,14100,PA,12266,TX,0.0,0.0,2113
TRAIN_959806,11,18,930,1138,0,0,ATL,10397,Georgia,LGA,12953,New York,762,,DL,19790,N307DX,10397,GA,12953,NY,0.0,0.0,1239,10397,GA,12953,NY,0.0,0.0,2277
