Month,Day_of_Month,n,doy,residual,cycle_class,anomaly,z
1,1,2549,1,43.9677419354839,0,-6.837886560588906,-0.04666113232828785
1,2,2945,2,439.9677419354839,1,432.3738745125842,2.9504810287739933
1,3,2716,3,210.9677419354839,2,133.89124423963136,0.913661993323049
1,4,2437,4,-68.0322580645161,3,-205.42347867186575,-1.4017916262155161
1,5,2361,5,-144.0322580645161,4,-3.366882311237134,-0.022975306721800495
1,6,2354,6,-151.0322580645161,5,38.563556067588365,0.26315429142833213
1,7,2761,7,255.9677419354839,6,199.55079758950728,1.3617169705923668
1,8,2531,8,25.9677419354839,0,-24.837886560588906,-0.16949153825371838
1,9,2498,9,-7.0322580645161,1,-14.62612548741578,-0.09980738504086475
1,10,2597,10,91.9677419354839,2,14.891244239631362,0.10161653192714717
1,11,2678,11,172.9677419354839,3,35.57652132813425,0.24277103089719257
1,12,2394,12,-111.0322580645161,4,29.633117688762866,0.20221377080815547
1,13,2153,13,-352.0322580645161,5,-162.43644393241163,-1.1084519080723088
1,14,2500,14,-5.0322580645161,6,-61.44920241049271,-0.41932391532637575
1,15,2680,15,174.9677419354839,0,124.16211343941109,0.8472712663512342
1,16,2460,16,-45.0322580645161,1,-52.626125487415784,-0.3591160197723292
1,17,2615,17,109.9677419354839,2,32.89124423963136,0.2244469378525777
1,18,2704,18,198.9677419354839,3,61.57652132813425,0.4201927283450367
1,19,2206,19,-299.0322580645161,4,-158.36688231123713,-1.0806815799685634
1,20,2056,20,-449.0322580645161,5,-259.43644393241163,-1.7703713177815732
1,21,2569,21,63.9677419354839,6,7.55079758950729,0.051525974054441266
1,22,2445,22,-60.0322580645161,0,-110.83788656058891,-0.7563479221196643
1,23,2505,23,-0.032258064516099694,1,-7.626125487415782,-0.0520400049587529
1,24,2623,24,117.9677419354839,2,40.89124423963136,0.2790382293749913
1,25,2707,25,201.9677419354839,3,64.57652132813425,0.4406644626659417
1,26,2415,26,-90.0322580645161,4,50.633117688762866,0.3455159110544911
1,27,2308,27,-197.0322580645161,5,-7.436443932411635,-0.050745634825545886
1,28,2437,28,-68.0322580645161,6,-124.44920241049272,-0.8492303360653826
1,29,2486,29,-19.0322580645161,0,-69.83788656058891,-0.4765675530672947
1,30,2418,30,-87.0322580645161,1,-94.62612548741578,-0.6457203002650004
1,31,2548,31,42.9677419354839,2,-34.10875576036864,-0.2327551286476359
2,1,2222,32,84.14285714285734,3,-53.248363464492314,-0.3633621166226919
2,2,1925,33,-212.85714285714266,4,-72.1917671038637,-0.4926302254356511
2,3,1725,34,-412.85714285714266,5,-223.2613287250382,-1.5235155352637457
2,4,2082,35,-55.85714285714266,6,-112.27408720311928,-0.7661484281147959
2,5,2126,36,-11.857142857142662,0,-62.66277135321547,-0.4276052023182164
2,6,2130,37,-7.857142857142662,1,-15.451010280042343,-0.10543632581420005
2,7,2223,38,85.14285714285734,2,8.0663594470048,0.05504412251200171
2,8,2254,39,116.14285714285734,3,-21.248363464492314,-0.14499695053303768
2,9,1818,40,-319.85714285714266,4,-179.1917671038637,-1.2227887495479326
2,10,1973,41,-164.85714285714266,5,24.738671274961803,0.16881450193107478
2,11,2133,42,-4.857142857142662,6,-61.27408720311927,-0.4181289446594093
2,12,2121,43,-16.857142857142662,0,-67.66277135321548,-0.4617247595197249
2,13,2217,44,79.14285714285734,1,71.54898971995766,0.4882439694920475
2,14,2216,45,78.14285714285734,2,1.0663594470047997,0.007276742429889843
2,15,2314,46,176.14285714285734,3,38.751636535507686,0.2644377358850641
2,16,2000,47,-137.85714285714266,4,2.8082328961363032,0.01916313258697608
2,17,1982,48,-155.85714285714266,5,33.7386712749618,0.23022970489379005
2,18,2317,49,179.14285714285734,6,122.72591279688072,0.8374707603561026
2,19,2311,50,173.14285714285734,0,122.33722864678452,0.8348184141375973
2,20,2221,51,83.14285714285734,1,75.54898971995766,0.5155396152532543
2,21,2330,52,192.14285714285734,2,115.0663594470048,0.7852026466242832
2,22,2368,53,230.14285714285734,3,92.75163653550769,0.6329289536613556
2,23,1938,54,-199.85714285714266,4,-59.1917671038637,-0.40391937671172906
2,24,2023,55,-114.85714285714266,5,74.7386712749618,0.5100100739461596
2,25,2249,56,111.14285714285734,6,54.72591279688073,0.3734447824155874
2,26,2222,57,84.14285714285734,0,33.33722864678453,0.22749029595074638
2,27,2140,58,2.1428571428573377,1,-5.451010280042344,-0.0371972114111831
2,28,2280,59,142.14285714285734,2,65.0663594470048,0.44400707460919836
3,1,2483,60,149.51612903225805,3,12.124908424908398,0.08273930131334283
3,2,2024,61,-309.48387096774195,4,-168.81849521446298,-1.1520024608284911
3,3,2242,62,-91.48387096774195,5,98.11194316436251,0.6695072113895231
3,4,2405,63,71.51612903225805,6,15.09918468628144,0.10303549911994409
3,5,2429,64,95.51612903225805,0,44.71050053618524,0.30510049611048956
3,6,2446,65,112.51612903225805,1,104.92226160935837,0.715980221338428
3,7,2250,66,-83.48387096774195,2,-160.5603686635945,-1.0956497365825604
3,8,2464,67,130.51612903225805,3,-6.875091575091602,-0.04691501605238939
3,9,2178,68,-155.48387096774195,4,-14.818495214462985,-0.1011200990220299
3,10,2344,69,10.51612903225805,5,200.11194316436251,1.365546178300296
3,11,2340,70,6.51612903225805,6,-49.90081531371856,-0.3405187444996661
3,12,2391,71,57.51612903225805,0,6.7105005361852434,0.04579186137902515
3,13,2233,72,-100.48387096774195,1,-108.07773839064163,-0.7375129154458332
3,14,2433,73,99.51612903225805,2,22.43963133640551,0.15312605699265
3,15,2454,74,120.51612903225805,3,-16.875091575091602,-0.11515413045540634
3,16,2314,75,-19.48387096774195,4,121.18150478553702,0.8269318568590007
3,17,2297,76,-36.48387096774195,5,153.11194316436251,1.0448223406061163
3,18,2388,77,54.51612903225805,6,-1.9008153137185602,-0.01297099536518474
3,19,2301,78,-32.48387096774195,0,-83.28949946381476,-0.5683601682481275
3,20,2351,79,17.51612903225805,1,9.922261609358369,0.06770863450976689
3,21,2234,80,-99.48387096774195,2,-176.5603686635945,-1.2048323196273873
3,22,2571,81,237.51612903225805,3,100.1249084249084,0.6832435080598921
3,23,2155,82,-178.48387096774195,4,-37.818495214462985,-0.2580700621489689
3,24,2255,83,-78.48387096774195,5,111.11194316436251,0.7582180601134452
3,25,2359,84,25.51612903225805,6,-30.90081531371856,-0.2108644271339339
3,26,2478,85,144.51612903225805,0,93.71050053618524,0.6394721566852726
3,27,2268,86,-65.48387096774195,1,-73.07773839064163,-0.4986760150352738
3,28,2397,87,63.51612903225805,2,-13.560368663594488,-0.09253475485821104
3,29,2327,88,-6.48387096774195,3,-143.8750915750916,-0.9817908833737217
3,30,2159,89,-174.48387096774195,4,-33.818495214462985,-0.2307744163877621
3,31,2368,90,34.51612903225805,5,224.11194316436251,1.5293200528675368
4,1,2894,91,126.33333333333348,6,69.91638898735687,0.477103246675408
4,2,2794,92,26.333333333333485,0,-24.47229516273932,-0.1669967749314567
4,3,2841,93,73.33333333333348,1,65.73946591043381,0.4486002935055326
4,4,2850,94,82.33333333333348,2,5.256835637480947,0.03587218084639189
4,5,2828,95,60.333333333333485,3,-77.05788727401617,-0.5258361985346374
4,6,2621,96,-146.66666666666652,4,-6.00129091338755,-0.040952277720443915
4,7,2549,97,-218.66666666666652,5,-29.07085253456205,-0.1983769231899215
4,8,2821,98,53.333333333333485,6,-3.083611012643125,-0.021042288466615718
4,9,2861,99,93.33333333333348,0,42.52770483726068,0.2902052915687569
4,10,2778,100,10.333333333333485,1,2.739465910433803,0.01869387276652573
4,11,2890,101,122.33333333333348,2,45.25683563748095,0.3088286384584597
4,12,2943,102,175.33333333333348,3,37.94211272598383,0.2589136171000576
4,13,2623,103,-144.66666666666652,4,-4.00129091338755,-0.027304454839840522
4,14,2568,104,-199.66666666666652,5,-10.07085253456205,-0.0687226058241893
4,15,2837,105,69.33333333333348,6,12.916388987356875,0.08814029457821142
4,16,2879,106,111.33333333333348,0,60.52770483726068,0.41303569749418745
4,17,2759,107,-8.666666666666515,1,-16.260534089566196,-0.11096044459920648
4,18,2822,108,54.333333333333485,2,-22.743164362519053,-0.15519733948205558
4,19,3011,109,243.33333333333348,3,105.94211272598383,0.7229395950405729
4,20,2588,110,-179.66666666666652,4,-39.00129091338755,-0.2661413552503999
4,21,2490,111,-277.6666666666665,5,-88.07085253456205,-0.6009876981677216
4,22,2837,112,69.33333333333348,6,12.916388987356875,0.08814029457821142
4,23,2718,113,-49.666666666666515,0,-100.47229516273933,-0.6856140443943857
4,24,2769,114,1.333333333333485,1,-6.260534089566197,-0.04272133019618953
4,25,2828,115,60.333333333333485,2,-16.743164362519053,-0.11425387084024541
4,26,2888,116,120.33333333333348,3,-17.057887274016167,-0.11640151211653563
4,27,2593,117,-174.66666666666652,4,-34.00129091338755,-0.2320217980488914
4,28,2441,118,-326.6666666666665,5,-137.07085253456205,-0.9353593587425046
4,29,2903,119,135.33333333333348,6,78.91638898735687,0.5385184496381232
4,30,2806,120,38.333333333333485,0,-12.472295162739321,-0.08510983764783635
5,1,2333,121,-71.29032258064535,1,-78.88419000354503,-0.5382987266241236
5,2,2454,122,49.70967741935465,2,-27.36682027649789,-0.18674875796947438
5,3,2541,123,136.70967741935465,3,-0.681543187995004,-0.0046507903576187976
5,4,2242,124,-162.29032258064535,4,-21.624946827366387,-0.14756672205118135
5,5,2207,125,-197.29032258064535,5,-7.694508448540887,-0.05250664422949621
5,6,2526,126,121.70967741935465,6,65.29273307337803,0.4455518281879892
5,7,2357,127,-47.29032258064535,0,-98.09595107671817,-0.6693980827996925
5,8,2399,128,-5.290322580645352,1,-12.884190003545033,-0.0879205715642117
5,9,2520,129,115.70967741935465,2,38.63317972350211,0.26362939709043753
5,10,2583,130,178.70967741935465,3,41.318456812004996,0.28195349013505244
5,11,2223,131,-181.29032258064535,4,-40.62494682736639,-0.27722103941691356
5,12,2239,132,-165.29032258064535,5,24.305491551459113,0.16585852186015804
5,13,2456,133,51.70967741935465,6,-4.707266926621962,-0.03212197263312941
5,14,2391,134,-13.290322580645352,0,-64.09595107671817,-0.43738509382943486
5,15,2292,135,-112.29032258064535,1,-119.88419000354503,-0.8180790956764931
5,16,2542,136,137.70967741935465,2,60.63317972350211,0.4137554487770749
5,17,2659,137,254.70967741935465,3,117.318456812005,0.8005707595979813
5,18,2165,138,-239.29032258064535,4,-98.62494682736639,-0.6730079029544119
5,19,2363,139,-41.29032258064535,5,148.3054915514591,1.0120235404575684
5,20,2518,140,113.70967741935465,6,57.29273307337804,0.39096053666557573
5,21,2553,141,148.70967741935465,0,97.90404892328183,0.6680885594994398
5,22,2400,142,-4.290322580645352,1,-11.884190003545033,-0.08109666012391
5,23,2552,143,147.70967741935465,2,70.63317972350211,0.4819945631800918
5,24,2659,144,254.70967741935465,3,117.318456812005,0.8005707595979813
5,25,2169,145,-235.29032258064535,4,-94.62494682736639,-0.6457122571932051
5,26,1997,146,-407.29032258064535,5,-217.6945084485409,-1.4855280466928522
5,27,2336,147,-68.29032258064535,6,-124.70726692662197,-0.850991345469333
5,28,2328,148,-76.29032258064535,0,-127.09595107671817,-0.8672915145684417
5,29,2493,149,88.70967741935465,1,81.11580999645497,0.5535271038241477
5,30,2556,150,151.70967741935465,2,74.63317972350211,0.5092902089412986
5,31,2480,151,75.70967741935465,3,-61.681543187995004,-0.42090938821602225
6,1,2098,152,-312.2333333333331,4,-171.56795758005416,-1.1707645485197276
6,2,2191,153,-219.23333333333312,5,-29.637519201228656,-0.2022438063394254
6,3,2334,154,-76.23333333333312,6,-132.65027767930974,-0.9051937474150383
6,4,2314,155,-96.23333333333312,0,-147.03896182940593,-1.0033808537977675
6,5,2311,156,-99.23333333333312,1,-106.8272007562328,-0.728979357375863
6,6,2376,157,-34.23333333333312,2,-111.30983102918566,-0.7595684293781086
6,7,2412,158,1.7666666666668789,3,-135.62455394068277,-0.9254899452216396
6,8,2238,159,-172.23333333333312,4,-31.567957580054156,-0.2154169468774902
6,9,2385,160,-25.23333333333312,5,164.36248079877134,1.1215950130791035
6,10,2434,161,23.76666666666688,6,-32.65027767930973,-0.22280260338486876
6,11,2465,162,54.76666666666688,0,3.9610381705940725,0.02702977368778859
6,12,2436,163,25.76666666666688,1,18.172799243767198,0.12400957266184899
6,13,2565,164,154.76666666666688,2,77.69016897081434,0.5301508328389118
6,14,2494,165,83.76666666666688,3,-53.62455394068277,-0.3659292071169006
6,15,2279,166,-131.23333333333312,4,9.432042419945844,0.06436342217487934
6,16,2301,167,-109.23333333333312,5,80.36248079877134,0.5483864520937611
6,17,2430,168,19.76666666666688,6,-36.65027767930973,-0.25009824914607554
6,18,2573,169,162.76666666666688,0,111.96103817059407,0.7640122092403717
6,19,2544,170,133.76666666666688,1,126.1727992437672,0.8609920082144321
6,20,2469,171,58.76666666666688,2,-18.30983102918566,-0.12494466543005099
6,21,2526,172,115.76666666666688,3,-21.624553940682773,-0.1475640410272463
6,22,2273,173,-137.23333333333312,4,3.4320424199458444,0.023419953533069162
6,23,2420,174,9.766666666666879,5,199.36248079877134,1.360431913489663
6,24,2540,175,129.76666666666688,6,73.34972232069026,0.500532009287111
6,25,2581,176,170.76666666666688,0,119.96103817059407,0.8186035007627852
6,26,2458,177,47.76666666666688,1,40.172799243767194,0.27413562434848626
6,27,2560,178,149.76666666666688,2,72.69016897081434,0.4960312756374033
6,28,2597,179,186.76666666666688,3,49.37544605931723,0.3369336712341741
6,29,2321,180,-89.23333333333312,4,51.432042419945844,0.35096770266755056
6,30,2382,181,-28.23333333333312,5,161.36248079877134,1.1011232787581984
7,1,2379,182,-122.38709677419365,6,-178.80404112017027,-1.2201429417721048
7,2,2410,183,-91.38709677419365,0,-142.19272527026646,-0.9703105646994473
7,3,2239,184,-262.38709677419365,1,-269.98096419709333,-1.8423261902482277
7,4,2006,185,-495.38709677419365,2,-572.4635944700462,-3.906440871460379
7,5,2329,186,-172.38709677419365,3,-309.7783173815433,-2.113899803937323
7,6,2366,187,-135.38709677419365,4,5.278278979085314,0.03601850831048423
7,7,2438,188,-63.38709677419365,5,126.20871735791081,0.8612371102444508
7,8,2703,189,201.61290322580635,6,145.19595887982973,0.9908043648856447
7,9,2545,190,43.61290322580635,0,-7.1927252702664575,-0.049082520258718385
7,10,2516,191,14.612903225806349,1,7.019035802906667,0.047897278715342
7,11,2482,192,-19.38709677419365,2,-96.46359447004619,-0.6582590258767715
7,12,2677,193,175.61290322580635,3,38.2216826184567,0.26082137728766713
7,13,2333,194,-168.38709677419365,4,-27.721721020914686,-0.18917056921947173
7,14,2388,195,-113.38709677419365,5,76.20871735791081,0.520041538229366
7,15,2592,196,90.61290322580635,6,34.19595887982974,0.2333501950121565
7,16,2586,197,84.61290322580635,0,33.80727472973354,0.23069784879365113
7,17,2502,198,0.6129032258063489,1,-6.980964197093333,-0.04763748144888173
7,18,2707,199,205.61290322580635,2,128.5364055299538,0.8771210481911099
7,19,2675,200,173.61290322580635,3,36.2216826184567,0.24717355440706373
7,20,2482,201,-19.38709677419365,4,121.27827897908531,0.8275922353854809
7,21,2588,202,86.61290322580635,5,276.2087173579108,1.8848238262897052
7,22,2504,203,2.612903225806349,6,-53.80404112017026,-0.3671540117343927
7,23,2668,204,166.61290322580635,0,115.80727472973354,0.7902585868983901
7,24,2593,205,91.61290322580635,1,84.01903580290667,0.5733384596185725
7,25,2624,206,122.61290322580635,2,45.53640552995381,0.3107363986460692
7,26,2636,207,134.61290322580635,3,-2.778317381543303,-0.018958991764702397
7,27,2352,208,-149.38709677419365,4,-8.721721020914686,-0.05951625185373951
7,28,2365,209,-136.38709677419365,5,53.208717357910814,0.363091575102427
7,29,2644,210,142.61290322580635,6,86.19595887982973,0.5881935899078446
7,30,2679,211,177.61290322580635,0,126.80727472973354,0.8653216127417088
7,31,2535,212,33.61290322580635,1,26.019035802906668,0.17755159608107424
8,1,3083,213,203.70967741935465,2,126.63317972350211,0.8641336038369868
8,2,3090,214,210.70967741935465,3,73.318456812005,0.5003186562247067
8,3,2671,215,-208.29032258064535,4,-67.62494682736639,-0.46146664830505935
8,4,2782,216,-97.29032258064535,5,92.30549155145911,0.6298844998006734
8,5,2935,217,55.70967741935465,6,-0.707266926621962,-0.004826326871922627
8,6,2979,218,99.70967741935465,0,48.90404892328184,0.3337168989246568
8,7,2869,219,-10.290322580645352,1,-17.884190003545033,-0.12204012876572018
8,8,3056,220,176.70967741935465,2,99.63317972350211,0.679887994948841
8,9,3125,221,245.70967741935465,3,108.318456812005,0.739155556635266
8,10,2778,222,-101.29032258064535,4,39.37505317263361,0.2686918758072221
8,11,2746,223,-133.29032258064535,5,56.30549155145911,0.3842236879498123
8,12,2945,224,65.70967741935465,6,9.292733073378038,0.06341278753109433
8,13,3071,225,191.70967741935465,0,140.90404892328183,0.9615167514324128
8,14,2981,226,101.70967741935465,1,94.11580999645497,0.6422379525480698
8,15,3085,227,205.70967741935465,2,128.6331797235021,0.8777814267175902
8,16,3094,228,214.70967741935465,3,77.318456812005,0.5276143019859134
8,17,2800,229,-79.29032258064535,4,61.37505317263361,0.4188179274938594
8,18,2686,230,-193.29032258064535,5,-3.694508448540887,-0.025210998468289426
8,19,2954,231,74.70967741935465,6,18.292733073378038,0.12482799049380959
8,20,2955,232,75.70967741935465,0,24.90404892328184,0.1699430243574161
8,21,2937,233,57.70967741935465,1,50.11580999645496,0.34198584917479513
8,22,2794,234,-85.29032258064535,2,-162.3668202764979,-1.1079768024102032
8,23,3005,235,125.70967741935465,3,-11.681543187995004,-0.07971381620093745
8,24,2626,236,-253.29032258064535,4,-112.62494682736639,-0.7685426631186356
8,25,2528,237,-351.29032258064535,5,-161.6945084485409,-1.1033890060359572
8,26,2738,238,-141.29032258064535,6,-197.70726692662197,-1.3491368806113566
8,27,2886,239,6.709677419354648,0,-44.09595107671816,-0.3009068650234009
8,28,2762,240,-117.29032258064535,1,-124.88419000354503,-0.8521986528780016
8,29,2887,241,7.709677419354648,2,-69.36682027649789,-0.4733530384621456
8,30,2858,242,-21.290322580645352,3,-158.681543187995,-1.0828287979252866
8,31,2552,243,-327.29032258064535,4,-186.6249468273664,-1.2735121097009612
9,1,2488,244,-697.5333333333333,5,-507.93751920122884,-3.466120648235728
9,2,2828,245,-357.5333333333333,6,-413.9502776793099,-2.8247600355719067
9,3,3206,246,20.466666666666697,0,-30.33896182940611,-0.2070303887145608
9,4,3170,247,-15.533333333333303,1,-23.127200756232984,-0.1578179698226123
9,5,3121,248,-64.5333333333333,2,-141.60983102918584,-0.9663329460192513
9,6,3185,249,-0.533333333333303,3,-137.92455394068296,-0.9411849415343347
9,7,3029,250,-156.5333333333333,4,-15.867957580054338,-0.1082815372647548
9,8,2828,251,-357.5333333333333,5,-167.93751920122884,-1.1459907585331512
