year,jan1_weekday,추수감사절_날짜,추수감사절_z,블랙프라이데이_날짜,블랙프라이데이_z,노동절_날짜,노동절_z,현충일_날짜,현충일_z,마틴루서킹의날_날짜,마틴루서킹의날_z,대통령의날_날짜,대통령의날_z,저조_개수,z_합
2013,화,11/28,-3.85,11/29,-2.62,9/2,-2.82,5/27,-0.85,1/21,0.05,2/18,0.84,3,-9.25
2019,화,11/28,-3.85,11/29,-2.62,9/2,-2.82,5/27,-0.85,1/21,0.05,2/18,0.84,3,-9.25
2014,수,11/27,1.42,11/28,-3.85,9/1,-3.47,5/26,-1.49,1/20,-1.77,2/17,0.23,2,-8.93
2025,수,11/27,1.42,11/28,-3.85,9/1,-3.47,5/26,-1.49,1/20,-1.77,2/17,0.23,2,-8.93
2007,월,11/22,-4.93,11/23,-3.12,9/3,-0.21,5/28,-0.87,1/15,0.85,2/19,0.83,2,-7.45
2018,월,11/22,-4.93,11/23,-3.12,9/3,-0.21,5/28,-0.87,1/15,0.85,2/19,0.83,2,-7.45
2006,일,11/23,-3.12,11/24,1.87,9/4,-0.16,5/29,0.55,1/16,-0.36,2/20,0.52,1,-0.7
2017,일,11/23,-3.12,11/24,1.87,9/4,-0.16,5/29,0.55,1/16,-0.36,2/20,0.52,1,-0.7
2023,일,11/23,-3.12,11/24,1.87,9/4,-0.16,5/29,0.55,1/16,-0.36,2/20,0.52,1,-0.7
2009,목,11/26,1.01,11/27,1.42,9/7,-0.11,5/25,-0.65,1/19,-1.08,2/16,0.02,0,0.61
2015,목,11/26,1.01,11/27,1.42,9/7,-0.11,5/25,-0.65,1/19,-1.08,2/16,0.02,0,0.61
2026,목,11/26,1.01,11/27,1.42,9/7,-0.11,5/25,-0.65,1/19,-1.08,2/16,0.02,0,0.61
2010,금,11/25,1.31,11/26,1.01,9/6,-0.94,5/31,-0.42,1/18,0.42,2/15,0.26,0,1.64
2021,금,11/25,1.31,11/26,1.01,9/6,-0.94,5/31,-0.42,1/18,0.42,2/15,0.26,0,1.64
2005,토,11/24,1.87,11/25,1.31,9/5,-0.97,5/30,0.51,1/17,0.22,2/21,0.79,0,3.73
2011,토,11/24,1.87,11/25,1.31,9/5,-0.97,5/30,0.51,1/17,0.22,2/21,0.79,0,3.73
2022,토,11/24,1.87,11/25,1.31,9/5,-0.97,5/30,0.51,1/17,0.22,2/21,0.79,0,3.73
