   fold 1/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 31.9s
   fold 2/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 34.2s
   fold 3/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 33.4s
   fold 4/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 30.9s
   fold 5/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 30.9s
   fold 1/5 | P6_fixed seed 42 arm split | n_estimators 50 | 32.6s
   fold 2/5 | P6_fixed seed 42 arm split | n_estimators 50 | 32.0s
   fold 3/5 | P6_fixed seed 42 arm split | n_estimators 50 | 32.3s
   fold 4/5 | P6_fixed seed 42 arm split | n_estimators 50 | 32.0s
   fold 5/5 | P6_fixed seed 42 arm split | n_estimators 50 | 31.0s
   fold 1/5 | P6_clean seed 42 arm shared | n_estimators 50 | 34.1s
   fold 2/5 | P6_clean seed 42 arm shared | n_estimators 50 | 33.8s
   fold 3/5 | P6_clean seed 42 arm shared | n_estimators 50 | 34.8s
   fold 4/5 | P6_clean seed 42 arm shared | n_estimators 50 | 34.0s
   fold 5/5 | P6_clean seed 42 arm shared | n_estimators 50 | 32.3s
   fold 1/5 | P6_clean seed 42 arm split | n_estimators 50 | 31.3s
   fold 2/5 | P6_clean seed 42 arm split | n_estimators 50 | 33.7s
   fold 3/5 | P6_clean seed 42 arm split | n_estimators 50 | 34.0s
   fold 4/5 | P6_clean seed 42 arm split | n_estimators 50 | 33.2s
   fold 5/5 | P6_clean seed 42 arm split | n_estimators 50 | 33.2s
   fold 1/5 | P6_fixed seed 1 arm shared | n_estimators 50 | 32.0s
   fold 2/5 | P6_fixed seed 1 arm shared | n_estimators 50 | 33.1s
   fold 3/5 | P6_fixed seed 1 arm shared | n_estimators 50 | 34.5s
   fold 4/5 | P6_fixed seed 1 arm shared | n_estimators 50 | 32.2s
   fold 5/5 | P6_fixed seed 1 arm shared | n_estimators 75 | 31.0s
   fold 1/5 | P6_fixed seed 1 arm split | n_estimators 50 | 30.4s
   fold 2/5 | P6_fixed seed 1 arm split | n_estimators 50 | 30.3s
   fold 3/5 | P6_fixed seed 1 arm split | n_estimators 50 | 30.3s
   fold 4/5 | P6_fixed seed 1 arm split | n_estimators 75 | 30.4s
   fold 5/5 | P6_fixed seed 1 arm split | n_estimators 50 | 30.8s
   fold 1/5 | P6_clean seed 1 arm shared | n_estimators 50 | 32.0s
   fold 2/5 | P6_clean seed 1 arm shared | n_estimators 50 | 32.2s
   fold 3/5 | P6_clean seed 1 arm shared | n_estimators 50 | 31.8s
   fold 4/5 | P6_clean seed 1 arm shared | n_estimators 50 | 31.5s
   fold 5/5 | P6_clean seed 1 arm shared | n_estimators 75 | 31.8s
   fold 1/5 | P6_clean seed 1 arm split | n_estimators 50 | 30.9s
   fold 2/5 | P6_clean seed 1 arm split | n_estimators 75 | 31.1s
   fold 3/5 | P6_clean seed 1 arm split | n_estimators 50 | 30.7s
   fold 4/5 | P6_clean seed 1 arm split | n_estimators 75 | 31.1s
   fold 5/5 | P6_clean seed 1 arm split | n_estimators 75 | 31.0s
   fold 1/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 30.5s
   fold 2/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 33.0s
   fold 3/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 32.5s
   fold 4/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 33.0s
   fold 5/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 32.6s
   fold 1/5 | P6_fixed seed 7 arm split | n_estimators 50 | 32.2s
   fold 2/5 | P6_fixed seed 7 arm split | n_estimators 50 | 32.0s
   fold 3/5 | P6_fixed seed 7 arm split | n_estimators 50 | 31.7s
   fold 4/5 | P6_fixed seed 7 arm split | n_estimators 50 | 32.3s
   fold 5/5 | P6_fixed seed 7 arm split | n_estimators 50 | 32.3s
   fold 1/5 | P6_clean seed 7 arm shared | n_estimators 75 | 32.0s
   fold 2/5 | P6_clean seed 7 arm shared | n_estimators 75 | 31.9s
   fold 3/5 | P6_clean seed 7 arm shared | n_estimators 75 | 32.1s
   fold 4/5 | P6_clean seed 7 arm shared | n_estimators 75 | 32.0s
   fold 5/5 | P6_clean seed 7 arm shared | n_estimators 50 | 32.1s
   fold 1/5 | P6_clean seed 7 arm split | n_estimators 75 | 31.0s
   fold 2/5 | P6_clean seed 7 arm split | n_estimators 75 | 31.0s
   fold 3/5 | P6_clean seed 7 arm split | n_estimators 50 | 30.9s
   fold 4/5 | P6_clean seed 7 arm split | n_estimators 75 | 31.4s
   fold 5/5 | P6_clean seed 7 arm split | n_estimators 50 | 31.4s
>> saved: baseline_recovery_v2_calibration_20260917_summary.csv (+ folds/scores/calibration_bins/manifest)
