bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,arm,calibrator
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,shared,none
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,shared,none
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,shared,none
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,shared,none
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,shared,none
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,shared,none
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,shared,none
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,shared,none
8,0.8,0.9,0,,,P6_fixed,42,shared,none
9,0.9,1.0,0,,,P6_fixed,42,shared,none
0,0.0,0.1,37749,0.08350265293341226,0.08127367612387083,P6_fixed,42,shared,platt
1,0.1,0.2,134637,0.1490343994788118,0.1476191537244591,P6_fixed,42,shared,platt
2,0.2,0.3,65843,0.23942088857040497,0.2469358929574898,P6_fixed,42,shared,platt
3,0.3,0.4,14047,0.3367394694139932,0.33644194489926676,P6_fixed,42,shared,platt
4,0.4,0.5,2316,0.4357905644367908,0.38212435233160624,P6_fixed,42,shared,platt
5,0.5,0.6,366,0.5361910173558335,0.4644808743169399,P6_fixed,42,shared,platt
6,0.6,0.7,39,0.6295701305474266,0.41025641025641024,P6_fixed,42,shared,platt
7,0.7,0.8,4,0.7340994781590535,0.25,P6_fixed,42,shared,platt
8,0.8,0.9,0,,,P6_fixed,42,shared,platt
9,0.9,1.0,0,,,P6_fixed,42,shared,platt
0,0.0,0.1,35567,0.076310908099268,0.08069277701239913,P6_fixed,42,shared,isotonic
1,0.1,0.2,138499,0.1481971776569352,0.1474306673694395,P6_fixed,42,shared,isotonic
2,0.2,0.3,63379,0.24760938653946798,0.24866280629230503,P6_fixed,42,shared,isotonic
3,0.3,0.4,16517,0.33586791553627143,0.33420112611249014,P6_fixed,42,shared,isotonic
4,0.4,0.5,972,0.42789646989371,0.4125514403292181,P6_fixed,42,shared,isotonic
5,0.5,0.6,12,0.5169789927025606,0.25,P6_fixed,42,shared,isotonic
6,0.6,0.7,50,0.6539877408484712,0.5,P6_fixed,42,shared,isotonic
7,0.7,0.8,0,,,P6_fixed,42,shared,isotonic
8,0.8,0.9,1,0.8613158818825837,1.0,P6_fixed,42,shared,isotonic
9,0.9,1.0,4,0.9768707703726585,0.25,P6_fixed,42,shared,isotonic
