phase_key,seed,arm,calibrator,fold,n_estimators,threshold,n_inner_train,n_inner_holdout,n_calibration_rows,n_selection_rows,uncalibrated_threshold,elapsed_sec
P6_fixed,42,shared,none,0,50,0.22,163200,40800,40800,40800,0.22,30.7
P6_fixed,42,shared,platt,0,50,0.23,163200,40800,40800,40800,0.22,31.3
P6_fixed,42,shared,isotonic,0,50,0.22,163200,40800,40800,40800,0.22,31.9
P6_fixed,42,shared,none,1,50,0.23,163200,40801,40801,40801,0.23,33.1
P6_fixed,42,shared,platt,1,50,0.24,163200,40801,40801,40801,0.23,33.7
P6_fixed,42,shared,isotonic,1,50,0.23,163200,40801,40801,40801,0.23,34.2
P6_fixed,42,shared,none,2,50,0.22,163200,40801,40801,40801,0.22,32.2
P6_fixed,42,shared,platt,2,50,0.23,163200,40801,40801,40801,0.22,32.8
P6_fixed,42,shared,isotonic,2,50,0.23,163200,40801,40801,40801,0.22,33.4
P6_fixed,42,shared,none,3,50,0.23,163200,40801,40801,40801,0.23,29.8
P6_fixed,42,shared,platt,3,50,0.23,163200,40801,40801,40801,0.23,30.4
P6_fixed,42,shared,isotonic,3,50,0.25,163200,40801,40801,40801,0.23,30.9
P6_fixed,42,shared,none,4,50,0.23,163200,40801,40801,40801,0.23,29.8
P6_fixed,42,shared,platt,4,50,0.24,163200,40801,40801,40801,0.23,30.3
P6_fixed,42,shared,isotonic,4,50,0.24,163200,40801,40801,40801,0.23,30.9
P6_fixed,42,split,none,0,50,0.22,163200,40800,20400,20400,0.22,31.8
P6_fixed,42,split,platt,0,50,0.22,163200,40800,20400,20400,0.22,32.2
P6_fixed,42,split,isotonic,0,50,0.23,163200,40800,20400,20400,0.22,32.6
P6_fixed,42,split,none,1,50,0.22,163200,40801,20401,20400,0.22,31.2
P6_fixed,42,split,platt,1,50,0.22,163200,40801,20401,20400,0.22,31.7
P6_fixed,42,split,isotonic,1,50,0.21,163200,40801,20401,20400,0.22,32.0
P6_fixed,42,split,none,2,50,0.22,163200,40801,20401,20400,0.22,31.5
P6_fixed,42,split,platt,2,50,0.23,163200,40801,20401,20400,0.22,31.9
P6_fixed,42,split,isotonic,2,50,0.24,163200,40801,20401,20400,0.22,32.3
P6_fixed,42,split,none,3,50,0.22,163200,40801,20401,20400,0.22,31.2
P6_fixed,42,split,platt,3,50,0.22,163200,40801,20401,20400,0.22,31.6
P6_fixed,42,split,isotonic,3,50,0.26,163200,40801,20401,20400,0.22,32.0
P6_fixed,42,split,none,4,50,0.23,163200,40801,20401,20400,0.23,30.2
P6_fixed,42,split,platt,4,50,0.24,163200,40801,20401,20400,0.23,30.7
P6_fixed,42,split,isotonic,4,50,0.26,163200,40801,20401,20400,0.23,31.0
P6_clean,42,shared,none,0,50,0.22,163200,40800,40800,40800,0.22,32.9
P6_clean,42,shared,platt,0,50,0.22,163200,40800,40800,40800,0.22,33.5
P6_clean,42,shared,isotonic,0,50,0.24,163200,40800,40800,40800,0.22,34.1
P6_clean,42,shared,none,1,50,0.23,163200,40801,40801,40801,0.23,32.6
P6_clean,42,shared,platt,1,50,0.23,163200,40801,40801,40801,0.23,33.3
