phase_key,arm,seed,group,brier,ece_10,log_loss,macro_f1,roc_auc,recall,precision,calibration_bias,calibrator,n
P6_fixed,shared,42,overall,-1.730191894180888e-05,-0.0020005091371984,-8.940309801253044e-05,-0.00018206189966729625,-1.6650079443958354e-05,-0.011933333333333296,0.002086166735863315,0.0019209646170548,platt,255001
P6_fixed,shared,42,both_observed,-1.698882992520745e-05,-0.0020841424983677,-8.473385065882466e-05,-0.00032163142845809123,-1.8686459795524968e-05,-0.012657164459130232,0.0019077523834394317,0.0019371775277601344,platt,202507
P6_fixed,shared,42,departure_missing,-1.3266188813115809e-05,-0.002249536995316199,-0.00012512383582213848,0.0012898926271205369,-3.5126511644278935e-05,-0.007285974499089298,0.0038268688735622614,0.0018760479759267002,platt,24810
P6_fixed,shared,42,arrival_missing,-4.135683484560171e-05,-0.0015851428703835,-0.00014460375472419296,-0.00048683108920211104,5.872879699464484e-05,-0.011877569666514376,0.0015295217193797006,0.0019576176683986,platt,24653
P6_fixed,shared,42,both_missing,0.00012439938748520785,-0.0008762847271115998,0.00034000568493630645,0.0007510821296642378,-0.0008759495845758192,-0.0019267822736031004,0.008096604052928696,0.0009072880361882,platt,3031
P6_fixed,split,42,overall,-1.870666032341428e-05,-0.0019774088500878998,-8.85671749391026e-05,1.7597957054582558e-05,-7.389594441020719e-06,0.004977777777777803,-0.0006479654515479938,0.0018127262781031,platt,255001
P6_fixed,split,42,both_observed,-1.5715694503898314e-05,-0.0019790035920693003,-7.861410062531826e-05,-0.0004169231331210277,-1.1971556310053089e-05,0.004368401892974105,-0.0012628783153931233,0.0018279156641933891,platt,202507
P6_fixed,split,42,departure_missing,-3.6832960234295387e-05,-0.002101454111336099,-0.0001767928576825173,0.0029914005615665484,7.958663924001463e-05,0.010018214936247716,0.0036447732120369336,0.0017695973029599001,platt,24810
P6_fixed,split,42,arrival_missing,-3.757522813011005e-05,-0.0018363150474020994,-0.0001197288642285077,0.00017165512313799258,-6.455323360454734e-05,0.0043398812243033436,-0.00033027156234338717,0.0018440109271482999,platt,24653
P6_fixed,split,42,both_missing,8.330217758889535e-05,-0.000861782601960499,0.0002220699398244319,0.00549590088991303,-7.363499134782625e-05,0.009633911368015391,0.011604641856742703,0.0008964651139363993,platt,3031
P6_clean,shared,42,overall,-2.619566953682151e-05,-0.0022120739787114003,-0.00011336474666628904,-3.849468549987911e-05,-1.8676948099205504e-05,0.01542222222222217,-0.0029254882442861785,0.0017802646597894999,platt,255001
P6_clean,shared,42,both_observed,-2.3749290539304413e-05,-0.0022070575025975995,-0.00010018578188430993,-0.00016283423398111285,-2.4254707511550677e-05,0.015009380863039379,-0.0029495077891433796,0.00179165237955485,platt,202507
P6_clean,shared,42,departure_missing,-2.9859989268188336e-05,-0.0022200945886300012,-0.00017353198716046903,0.0009720907214029184,-3.183688595054246e-05,0.017987249544626605,-0.0017449767783740966,0.0017466218753754003,platt,24810
P6_clean,shared,42,arrival_missing,-5.8717446260792006e-05,-0.0031437664220125994,-0.00020625887315600666,-0.00016239906797954617,6.68852614151838e-05,0.016674280493375992,-0.0035925857318139798,0.0018281893472752997,platt,24653
P6_clean,shared,42,both_missing,0.00010487073180739936,0.000997004633067301,0.00025418243772729054,0.0024097024371908526,-0.0004778604126014496,0.011560693641618505,-0.006008359456635304,0.0009050080428967,platt,3031
P6_clean,split,42,overall,-2.769784300429845e-05,-0.0021823921640797004,-0.0001152956090267887,-0.0007527851834976396,3.1547997918490722e-06,-0.004933333333333401,-0.000457853118810303,0.0016758693326197997,platt,255001
P6_clean,split,42,both_observed,-2.4254779969895557e-05,-0.0021503067054325998,-0.00010167474706418433,-0.0006381346771763274,-1.1431301805142624e-06,-0.004844445689003385,-0.00029119743238648077,0.0016883310479855998,platt,202507
P6_clean,split,42,departure_missing,-4.4120528084279353e-05,-0.0022703431605585007,-0.0002049921918306219,-0.0007502131109401455,7.837115042430565e-05,-0.005009107468123941,-0.00040973141899319776,0.0016305355125470003,platt,24810
P6_clean,split,42,arrival_missing,-5.200068049029949e-05,-0.0030235594759605994,-0.00017343125499241774,-0.001910709852988135,-4.38353633429589e-05,-0.0061671996345363245,-0.0022889182545014486,0.0017196090968083998,platt,24653
P6_clean,split,42,both_missing,7.43609836152126e-05,0.0010339309973588003,0.00018172531010829385,0.0014543036471423854,0.00010815139354214409,0.0,0.007082833133253308,0.0008585915615513999,platt,3031
P6_fixed,shared,1,overall,-6.261960789705201e-06,-0.0012146469340108,-3.641881464461205e-05,-0.0004144029258108528,-9.826408232660455e-07,0.0,-0.0007423844221681741,0.0020928210008629,platt,255001
P6_fixed,shared,1,both_observed,-5.043473784716035e-06,-0.0007731655439468001,-3.0462856194124477e-05,-7.48211299639312e-05,-3.669802117411969e-06,0.0005040463722663091,-0.00021696036857959955,0.0020965499355054293,platt,202507
P6_fixed,shared,1,departure_missing,4.519315127599066e-06,-0.0004828614054773993,-3.3224949205268306e-05,-0.0018208909021657504,-4.243059581165998e-05,-0.00022768670309653016,-0.003265241170530897,0.0020741182143542,platt,24810
P6_fixed,shared,1,arrival_missing,-3.145158098258327e-05,-0.0016882217613360994,-9.950140701753263e-05,-0.0014175985055554507,7.92438822291297e-05,-0.003197807217907689,-0.0019587002733070236,0.0021549373030328,platt,24653
P6_fixed,shared,1,both_missing,2.896209172259523e-05,-0.0027645419756355,5.259869451190724e-05,-0.004711280571446763,-0.0003305904299055751,-0.005780346820809204,-0.014705882352941207,0.0014915433922272998,platt,3031
P6_fixed,split,1,overall,-3.6740643852006816e-06,-0.0012577409962176004,-2.883684572124734e-05,-2.1337313374392153e-05,-2.946959511829217e-05,0.008044444444444465,-0.0013308804881208003,0.0020579128435879997,platt,255001
P6_fixed,split,1,both_observed,-2.823689799702489e-06,-0.0008984622994229999,-2.2445688450500878e-05,-0.00022259701394355957,-6.461027518445128e-05,0.007364677550334597,-0.0015268213363169858,0.0020657601122458505,platt,202507
P6_fixed,split,1,departure_missing,3.005982704196164e-06,0.0004124305312099008,-4.415213659070272e-05,0.0008313560613589788,0.0001426024860025077,0.010473588342440776,-0.00028471823753617453,0.0020173838911197997,platt,24810
P6_fixed,split,1,arrival_missing,-1.7180918654408073e-05,-0.0019462472812405004,-6.744018353055381e-05,0.0004587380535372443,5.7455757658364526e-05,0.011420740063956214,-0.0010022758097515405,0.0020903186271359,platt,24653
P6_fixed,split,1,both_missing,-5.308606184722953e-06,1.1475964746399461e-05,-1.6495582762676708e-05,0.0028170872041533013,0.0011352061166132188,0.00578034682080919,0.0038347093583672165,0.0016017916607600005,platt,3031
P6_clean,shared,1,overall,-8.498818540203512e-06,-0.0006448156440169999,-4.646682111952849e-05,-0.0007586608607078604,6.023357560613896e-06,-4.444444444440254e-05,-0.0013469176428438923,0.00200861235522,platt,255001
