phase_key,seed,arm,calibrator,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_clean,42,shared,none,overall,255001,45000,0.1764698961964855,0.17448527446651846,-0.001984621729967051,0.5769259579486619,0.4472250784831184,0.6443165863231339,0.1397929100396355,0.00552735498920834,173448,36553,29789,15211,0.2938528707209644,0.3380222222222222,0.17406107589963857,0.6619777777777778,0.26016368563260533
P6_clean,42,shared,none,both_observed,202507,35711,0.17634452142395077,0.17449616151519495,-0.0018483599087558145,0.5766715141840453,0.44693619047257505,0.644563452011498,0.1396725491920005,0.005025414655583836,137431,29365,23555,12156,0.29276751523325545,0.3403993167371398,0.1760533825751217,0.6596006832628601,0.2613242999007442
P6_clean,42,shared,none,departure_missing,24810,4392,0.17702539298669892,0.17422255563986605,-0.0028028373468328704,0.5766922837248574,0.4481267815330699,0.6461279945852983,0.1403148304684514,0.009486281128838106,16916,3502,2927,1465,0.29494664787598146,0.33356102003642984,0.17151532961112745,0.6664389799635702,0.2591293833131802
P6_clean,42,shared,none,arrival_missing,24653,4378,0.177584878108141,0.17533904689595473,-0.0022458312121862722,0.5832856485250657,0.4477276896563524,0.6481134796277093,0.14007910393763193,0.0077634513828043605,16766,3509,2843,1535,0.3043219666931007,0.3506167199634536,0.17307028360049323,0.6493832800365463,0.25765626901391314
P6_clean,42,shared,none,both_missing,3031,519,0.17123061695809963,0.1689640929488731,-0.002266524009226528,0.5128892349897619,0.45505738413408264,0.5704080912582994,0.1412345234232666,0.007610650121778101,2335,177,464,55,0.23706896551724138,0.10597302504816955,0.07046178343949044,0.8940269749518305,0.21148135928736392
P6_clean,42,shared,platt,overall,255001,45000,0.1764698961964855,0.17626553912630794,-0.00020435707017757432,0.576887463263162,0.4471117137364521,0.6442979093750347,0.13976671437009877,0.0033152810104969516,171236,38765,29095,15905,0.29092738247667826,0.35344444444444445,0.1845943590744806,0.6465555555555556,0.26611660346430016
P6_clean,42,shared,platt,both_observed,202507,35711,0.17634452142395077,0.17628781389474982,-5.670752920095001e-05,0.5765086799500642,0.4468360046906907,0.6445391973039865,0.13964879990146128,0.002818357152986213,135695,31101,23019,12692,0.28981800744411207,0.35540869760017924,0.18646130602652342,0.6445913023998208,0.26725002098692885
P6_clean,42,shared,platt,departure_missing,24810,4392,0.17702539298669892,0.1759691775152415,-0.0010562154714574279,0.5776643744462603,0.4479532495459094,0.6460961576993478,0.14028497047918329,0.007266186540208168,16696,3722,2848,1544,0.2932016710976073,0.35154826958105645,0.1822901361543736,0.6484517304189436,0.26481257557436516
P6_clean,42,shared,platt,arrival_missing,24653,4378,0.177584878108141,0.17716723624323008,-0.00041764186491091704,0.5831232494570862,0.44752143078319645,0.6481803648891244,0.1400203864913711,0.004619684960791703,16536,3739,2770,1608,0.3007293809612867,0.3672910004568296,0.18441430332922318,0.6327089995431704,0.2640246623129031
P6_clean,42,shared,platt,both_missing,3031,519,0.17123061695809963,0.16986910099176983,-0.0013615159663298015,0.5152989374269528,0.45531156657180993,0.5699302308456979,0.14133939415507404,0.008607654754845477,2309,203,458,61,0.23106060606060605,0.11753371868978806,0.08081210191082802,0.882466281310212,0.21807984163642363
P6_clean,42,shared,isotonic,overall,255001,45000,0.1764698961964855,0.1762531286551974,-0.00021676754128810427,0.5761653261089772,0.4480520718922772,0.6437520884821183,0.1397723792103715,0.001933985256670339,176036,33965,30658,14342,0.2968927898648229,0.3187111111111111,0.16173732506035685,0.6812888888888889,0.2534225355978996
P6_clean,42,shared,isotonic,both_observed,202507,35711,0.17634452142395077,0.17624925640865036,-9.526501530041087e-05,0.5761397626466538,0.4480318063588453,0.6441352142755368,0.13965892216218756,0.0017813587353693876,139491,27305,24231,11480,0.2959907180611061,0.3214695752009185,0.16370296649799757,0.6785304247990815,0.2544899682480112
P6_clean,42,shared,isotonic,departure_missing,24810,4392,0.17702539298669892,0.17606856794996464,-0.0009568250367342768,0.5746040113543005,0.44765525059802996,0.6452946264599917,0.14021079563161265,0.0038773440284943198,17172,3246,3025,1367,0.29633644049425534,0.31124772313296906,0.15897737290625918,0.688752276867031,0.25276098347440545
P6_clean,42,shared,isotonic,arrival_missing,24653,4378,0.177584878108141,0.17727520704807467,-0.0003096710600663244,0.5820975491566361,0.44765402490979683,0.6470115401579133,0.14005916849252373,0.002329648234707562,17018,3257,2934,1444,0.30716868751329507,0.32983097304705344,0.1606411837237978,0.6701690269529466,0.25112562365635016
P6_clean,42,shared,isotonic,both_missing,3031,519,0.17123061695809963,0.16970935086197028,-0.0015212660961293478,0.5115758615666441,0.4558917620763854,0.5655704257329749,0.1414314088615398,0.011638334576827497,2355,157,468,51,0.24519230769230768,0.09826589595375723,0.0625,0.9017341040462428,0.20620257340811612
