   fold 1/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 11.4s
   fold 2/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 11.5s
   fold 3/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 11.0s
   fold 4/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 10.8s
   fold 5/5 | P6_fixed seed 42 arm shared | n_estimators 50 | 11.5s
   fold 1/5 | P6_fixed seed 42 arm split | n_estimators 50 | 11.0s
   fold 2/5 | P6_fixed seed 42 arm split | n_estimators 50 | 11.9s
   fold 3/5 | P6_fixed seed 42 arm split | n_estimators 50 | 12.2s
   fold 4/5 | P6_fixed seed 42 arm split | n_estimators 50 | 12.3s
   fold 5/5 | P6_fixed seed 42 arm split | n_estimators 50 | 11.9s
   fold 1/5 | P6_clean seed 42 arm shared | n_estimators 50 | 12.1s
   fold 2/5 | P6_clean seed 42 arm shared | n_estimators 50 | 12.2s
   fold 3/5 | P6_clean seed 42 arm shared | n_estimators 50 | 12.5s
   fold 4/5 | P6_clean seed 42 arm shared | n_estimators 50 | 12.5s
   fold 5/5 | P6_clean seed 42 arm shared | n_estimators 50 | 12.7s
   fold 1/5 | P6_clean seed 42 arm split | n_estimators 50 | 11.8s
   fold 2/5 | P6_clean seed 42 arm split | n_estimators 50 | 12.1s
   fold 3/5 | P6_clean seed 42 arm split | n_estimators 50 | 12.4s
   fold 4/5 | P6_clean seed 42 arm split | n_estimators 50 | 12.1s
   fold 5/5 | P6_clean seed 42 arm split | n_estimators 50 | 12.7s
   fold 1/5 | P6_fixed seed 1 arm shared | n_estimators 50 | 12.3s
   fold 2/5 | P6_fixed seed 1 arm shared | n_estimators 50 | 12.3s
   fold 3/5 | P6_fixed seed 1 arm shared | n_estimators 50 | 12.3s
   fold 4/5 | P6_fixed seed 1 arm shared | n_estimators 50 | 12.5s
   fold 5/5 | P6_fixed seed 1 arm shared | n_estimators 75 | 12.1s
   fold 1/5 | P6_fixed seed 1 arm split | n_estimators 50 | 11.4s
   fold 2/5 | P6_fixed seed 1 arm split | n_estimators 50 | 11.8s
   fold 3/5 | P6_fixed seed 1 arm split | n_estimators 50 | 11.9s
   fold 4/5 | P6_fixed seed 1 arm split | n_estimators 75 | 12.9s
   fold 5/5 | P6_fixed seed 1 arm split | n_estimators 50 | 13.2s
   fold 1/5 | P6_clean seed 1 arm shared | n_estimators 50 | 12.9s
   fold 2/5 | P6_clean seed 1 arm shared | n_estimators 50 | 13.5s
   fold 3/5 | P6_clean seed 1 arm shared | n_estimators 50 | 13.8s
   fold 4/5 | P6_clean seed 1 arm shared | n_estimators 50 | 13.3s
   fold 5/5 | P6_clean seed 1 arm shared | n_estimators 75 | 13.3s
   fold 1/5 | P6_clean seed 1 arm split | n_estimators 50 | 14.0s
   fold 2/5 | P6_clean seed 1 arm split | n_estimators 75 | 14.5s
   fold 3/5 | P6_clean seed 1 arm split | n_estimators 50 | 13.7s
   fold 4/5 | P6_clean seed 1 arm split | n_estimators 75 | 13.4s
   fold 5/5 | P6_clean seed 1 arm split | n_estimators 75 | 12.8s
   fold 1/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 11.8s
   fold 2/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 13.1s
   fold 3/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 12.8s
   fold 4/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 12.0s
   fold 5/5 | P6_fixed seed 7 arm shared | n_estimators 50 | 12.0s
   fold 1/5 | P6_fixed seed 7 arm split | n_estimators 50 | 11.1s
   fold 2/5 | P6_fixed seed 7 arm split | n_estimators 50 | 12.4s
   fold 3/5 | P6_fixed seed 7 arm split | n_estimators 50 | 12.1s
   fold 4/5 | P6_fixed seed 7 arm split | n_estimators 50 | 12.5s
   fold 5/5 | P6_fixed seed 7 arm split | n_estimators 50 | 12.3s
   fold 1/5 | P6_clean seed 7 arm shared | n_estimators 75 | 11.5s
   fold 2/5 | P6_clean seed 7 arm shared | n_estimators 75 | 12.3s
   fold 3/5 | P6_clean seed 7 arm shared | n_estimators 75 | 13.3s
   fold 4/5 | P6_clean seed 7 arm shared | n_estimators 75 | 13.6s
   fold 5/5 | P6_clean seed 7 arm shared | n_estimators 50 | 13.7s
   fold 1/5 | P6_clean seed 7 arm split | n_estimators 75 | 12.2s
   fold 2/5 | P6_clean seed 7 arm split | n_estimators 75 | 12.8s
   fold 3/5 | P6_clean seed 7 arm split | n_estimators 50 | 12.6s
   fold 4/5 | P6_clean seed 7 arm split | n_estimators 75 | 12.4s
   fold 5/5 | P6_clean seed 7 arm split | n_estimators 50 | 12.0s
>> saved: baseline_recovery_v2_calibration_local_20260917_summary.csv (+ folds/scores/calibration_bins/manifest)
