table,measure,compared,n_differing,max_abs_diff,identical,verdict,note
scores,n,180,0,0.0,True,동일,
scores,positives,180,0,0.0,True,동일,
scores,macro_f1,180,0,0.0,True,동일,
scores,log_loss,180,6,1.6653345369377348e-16,False,거의 같음,
scores,roc_auc,180,0,0.0,True,동일,
scores,brier,180,4,1.1102230246251565e-16,False,거의 같음,
scores,ece_10,180,3,1.0061396160665481e-16,False,거의 같음,
scores,calibration_bias,180,6,1.0001765041178778e-16,False,거의 같음,
scores,precision,180,0,0.0,True,동일,
scores,recall,180,0,0.0,True,동일,
scores,fpr,180,0,0.0,True,동일,
scores,fnr,180,0,0.0,True,동일,
scores,tn,180,0,0.0,True,동일,
scores,fp,180,0,0.0,True,동일,
scores,fn,180,0,0.0,True,동일,
scores,tp,180,0,0.0,True,동일,
folds,n_estimators,180,0,0.0,True,동일,
folds,threshold,180,0,0.0,True,동일,
folds,uncalibrated_threshold,180,0,0.0,True,동일,
folds,n_inner_train,180,0,0.0,True,동일,
folds,n_inner_holdout,180,0,0.0,True,동일,
