phase_key,seed,arm,calibrator,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,42,shared,none,overall,255001,45000,0.1764698961964855,0.17433356565460503,-0.0021363305418804768,0.576536114963472,0.44733370206084616,0.6439163612448406,0.13983821652460954,0.00566599414126189,172482,37519,29527,15473,0.29198746980676327,0.34384444444444445,0.17866105399498097,0.6561555555555556,0.26292445911976814
P6_fixed,42,shared,none,both_observed,202507,35711,0.17634452142395077,0.1744244663480242,-0.0019200550759265744,0.5771103811111157,0.4469665927736343,0.6444469402852009,0.1396976056840159,0.005221987164571617,136748,30048,23304,12407,0.292238841125898,0.34742796337263027,0.1801482049929255,0.6525720366273697,0.26345755949177063
P6_fixed,42,shared,none,departure_missing,24810,4392,0.17702539298669892,0.17385262367113624,-0.003172769315562679,0.5736748703566878,0.4484429696501189,0.6457598297138083,0.14043456352435776,0.011309509079144993,16751,3667,2906,1486,0.2883757034737046,0.3383424408014572,0.17959643451856205,0.6616575591985429,0.26493349455864573
P6_fixed,42,shared,none,arrival_missing,24653,4378,0.177584878108141,0.17506154949374328,-0.0025233286143977185,0.579038999731366,0.44813619148023104,0.6460985794345566,0.14018045657140113,0.007771059698200053,16638,3637,2845,1533,0.2965183752417795,0.3501598903608954,0.179383477188656,0.6498401096391047,0.2629294609175354
P6_fixed,42,shared,none,both_missing,3031,519,0.17123061695809963,0.16627588116148484,-0.00495473579661479,0.5041650911624904,0.4562540253467148,0.5617816753187781,0.14156770070764688,0.014686753072069477,2345,167,472,47,0.21962616822429906,0.0905587668593449,0.06648089171974522,0.9094412331406551,0.21082151105245794
P6_fixed,42,shared,platt,overall,255001,45000,0.1764698961964855,0.17625453027165985,-0.00021536592482565564,0.5763540530638047,0.44724429896283363,0.6438997111653967,0.13982091460566773,0.0036654850040634453,174147,35854,30064,14936,0.2940736365426265,0.3319111111111111,0.1707325203213318,0.6680888888888888,0.25850094705510956
P6_fixed,42,shared,platt,both_observed,202507,35711,0.17634452142395077,0.17636164387578437,1.712245183360661e-05,0.5767887496826576,0.4468818589229755,0.6444282538254054,0.13968061685409078,0.0031378446662039604,138108,28688,23756,11955,0.2941465935093374,0.33477079891350003,0.17199453224297945,0.6652292010865,0.2589737638698909
P6_fixed,42,shared,platt,departure_missing,24810,4392,0.17702539298669892,0.17572867164706293,-0.0012967213396359867,0.5749647629838084,0.44831784581429684,0.645724703202164,0.1404212973355447,0.009059972083828806,16896,3522,2938,1454,0.2922025723472669,0.33105646630236796,0.17249485747869528,0.668943533697632,0.260378879484079
P6_fixed,42,shared,platt,arrival_missing,24653,4378,0.177584878108141,0.17701916716214183,-0.0005657109459991649,0.5785521686421639,0.4479915877255068,0.6461573082315513,0.1401390997365555,0.006185916827816596,16787,3488,2897,1481,0.2980478969611592,0.338282320694381,0.17203452527743526,0.661717679305619,0.25899484849714033
P6_fixed,42,shared,platt,both_missing,3031,519,0.17123061695809963,0.16718316919767306,-0.004047447760426565,0.5049161732921547,0.4565940310316512,0.5609057257342023,0.14169210009513203,0.013810468344957859,2356,156,473,46,0.22772277227722773,0.08863198458574181,0.06210191082802548,0.9113680154142582,0.20752226987792807
