bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,arm,calibrator
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,shared,none
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,shared,none
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,shared,none
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,shared,none
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,shared,none
5,0.5,0.6,0,,,P6_fixed,42,shared,none
6,0.6,0.7,0,,,P6_fixed,42,shared,none
7,0.7,0.8,0,,,P6_fixed,42,shared,none
8,0.8,0.9,0,,,P6_fixed,42,shared,none
9,0.9,1.0,0,,,P6_fixed,42,shared,none
0,0.0,0.1,6,0.09655128000249229,0.16666666666666666,P6_fixed,42,shared,platt
1,0.1,0.2,410,0.17528221590082121,0.17560975609756097,P6_fixed,42,shared,platt
2,0.2,0.3,82,0.22453111804792314,0.2073170731707317,P6_fixed,42,shared,platt
3,0.3,0.4,3,0.33360649682058413,0.0,P6_fixed,42,shared,platt
4,0.4,0.5,0,,,P6_fixed,42,shared,platt
5,0.5,0.6,0,,,P6_fixed,42,shared,platt
6,0.6,0.7,0,,,P6_fixed,42,shared,platt
7,0.7,0.8,0,,,P6_fixed,42,shared,platt
8,0.8,0.9,0,,,P6_fixed,42,shared,platt
9,0.9,1.0,0,,,P6_fixed,42,shared,platt
0,0.0,0.1,49,0.03687990807939135,0.04081632653061224,P6_fixed,42,shared,isotonic
1,0.1,0.2,210,0.1378935469299486,0.18571428571428572,P6_fixed,42,shared,isotonic
2,0.2,0.3,186,0.23636017969103032,0.20430107526881722,P6_fixed,42,shared,isotonic
3,0.3,0.4,45,0.312623324637988,0.2,P6_fixed,42,shared,isotonic
4,0.4,0.5,5,0.40929211573455493,0.2,P6_fixed,42,shared,isotonic
5,0.5,0.6,3,0.5,0.0,P6_fixed,42,shared,isotonic
6,0.6,0.7,0,,,P6_fixed,42,shared,isotonic
