phase_key,seed,arm,calibrator,fold,n_estimators,threshold,n_inner_train,n_inner_holdout,n_calibration_rows,n_selection_rows,uncalibrated_threshold,elapsed_sec
P6_fixed,42,shared,none,0,10,0.23,320,80,80,80,0.23,0.9
P6_fixed,42,shared,platt,0,10,0.2,320,80,80,80,0.23,1.0
P6_fixed,42,shared,isotonic,0,10,0.21,320,80,80,80,0.23,1.2
P6_fixed,42,shared,none,1,10,0.17,320,81,81,81,0.17,0.8
P6_fixed,42,shared,platt,1,10,0.19,320,81,81,81,0.17,1.0
P6_fixed,42,shared,isotonic,1,10,0.21,320,81,81,81,0.17,1.1
P6_fixed,42,shared,none,2,10,0.18,320,81,81,81,0.18,0.8
P6_fixed,42,shared,platt,2,10,0.19,320,81,81,81,0.18,1.0
P6_fixed,42,shared,isotonic,2,10,0.14,320,81,81,81,0.18,1.1
P6_fixed,42,shared,none,3,25,0.21,320,81,81,81,0.21,0.9
P6_fixed,42,shared,platt,3,25,0.22,320,81,81,81,0.21,1.0
P6_fixed,42,shared,isotonic,3,25,0.24,320,81,81,81,0.21,1.1
P6_fixed,42,shared,none,4,10,0.2,320,81,81,81,0.2,0.8
P6_fixed,42,shared,platt,4,10,0.19,320,81,81,81,0.2,1.0
P6_fixed,42,shared,isotonic,4,10,0.16,320,81,81,81,0.2,1.1
P6_fixed,42,split,none,0,25,0.26,320,80,40,40,0.26,0.9
P6_fixed,42,split,platt,0,25,0.2,320,80,40,40,0.26,1.0
P6_fixed,42,split,isotonic,0,25,0.2,320,80,40,40,0.26,1.2
P6_fixed,42,split,none,1,10,0.17,320,81,41,40,0.17,1.0
P6_fixed,42,split,platt,1,10,0.24,320,81,41,40,0.17,1.1
P6_fixed,42,split,isotonic,1,10,0.22,320,81,41,40,0.17,1.3
P6_fixed,42,split,none,2,25,0.18,320,81,41,40,0.18,1.0
P6_fixed,42,split,platt,2,25,0.21,320,81,41,40,0.18,1.1
P6_fixed,42,split,isotonic,2,25,0.21,320,81,41,40,0.18,1.3
P6_fixed,42,split,none,3,10,0.21,320,81,41,40,0.21,1.0
P6_fixed,42,split,platt,3,10,0.23,320,81,41,40,0.21,1.2
P6_fixed,42,split,isotonic,3,10,0.37,320,81,41,40,0.21,1.3
P6_fixed,42,split,none,4,10,0.2,320,81,41,40,0.2,1.0
P6_fixed,42,split,platt,4,10,0.21,320,81,41,40,0.2,1.2
P6_fixed,42,split,isotonic,4,10,0.21,320,81,41,40,0.2,1.3
P6_clean,42,shared,none,0,10,0.25,320,80,80,80,0.25,1.1
P6_clean,42,shared,platt,0,10,0.19,320,80,80,80,0.25,1.2
P6_clean,42,shared,isotonic,0,10,0.22,320,80,80,80,0.25,1.3
P6_clean,42,shared,none,1,10,0.2,320,81,81,81,0.2,1.1
P6_clean,42,shared,platt,1,10,0.19,320,81,81,81,0.2,1.2
P6_clean,42,shared,isotonic,1,10,0.21,320,81,81,81,0.2,1.4
P6_clean,42,shared,none,2,25,0.17,320,81,81,81,0.17,1.1
P6_clean,42,shared,platt,2,25,0.2,320,81,81,81,0.17,1.2
P6_clean,42,shared,isotonic,2,25,0.18,320,81,81,81,0.17,1.3
P6_clean,42,shared,none,3,10,0.21,320,81,81,81,0.21,0.9
P6_clean,42,shared,platt,3,10,0.24,320,81,81,81,0.21,1.1
P6_clean,42,shared,isotonic,3,10,0.17,320,81,81,81,0.21,1.2
P6_clean,42,shared,none,4,10,0.28,320,81,81,81,0.28,0.9
P6_clean,42,shared,platt,4,10,0.19,320,81,81,81,0.28,1.0
P6_clean,42,shared,isotonic,4,10,0.22,320,81,81,81,0.28,1.2
P6_clean,42,split,none,0,10,0.19,320,80,40,40,0.19,0.9
P6_clean,42,split,platt,0,10,0.18,320,80,40,40,0.19,1.0
P6_clean,42,split,isotonic,0,10,0.44,320,80,40,40,0.19,1.2
P6_clean,42,split,none,1,10,0.2,320,81,41,40,0.2,1.0
P6_clean,42,split,platt,1,10,0.2,320,81,41,40,0.2,1.1
P6_clean,42,split,isotonic,1,10,0.25,320,81,41,40,0.2,1.3
P6_clean,42,split,none,2,25,0.17,320,81,41,40,0.17,0.9
P6_clean,42,split,platt,2,25,0.2,320,81,41,40,0.17,1.0
P6_clean,42,split,isotonic,2,25,0.24,320,81,41,40,0.17,1.2
P6_clean,42,split,none,3,10,0.24,320,81,41,40,0.24,0.9
P6_clean,42,split,platt,3,10,0.25,320,81,41,40,0.24,1.0
P6_clean,42,split,isotonic,3,10,0.32,320,81,41,40,0.24,1.2
P6_clean,42,split,none,4,10,0.27,320,81,41,40,0.27,0.9
P6_clean,42,split,platt,4,10,0.19,320,81,41,40,0.27,1.0
P6_clean,42,split,isotonic,4,10,0.22,320,81,41,40,0.27,1.2
