attribute,value,n,observed_rate,mean_probability
Month,9,25160,0.14161367249602544,0.1641504828334641
Month,10,26403,0.14524864598719842,0.1635829302859792
Month,11,25090,0.160263053009167,0.1641365266524778
Month,4,21351,0.16270900660390614,0.17358210179516986
Month,3,18721,0.16601677260830083,0.17587156479894678
Month,1,19879,0.16841893455405202,0.17371848909011664
Month,12,25513,0.1812017402892643,0.16674392511054906
Month,5,18895,0.19206139190261973,0.184584486959473
Month,8,22063,0.1977972170602366,0.18753861602987834
Month,7,19529,0.20687183163500436,0.18772245379358457
Month,2,14820,0.20843454790823213,0.1772124023349843
Month,6,17577,0.2222222222222222,0.18790403190486904
Airline,Hawaiian Airlines Inc.,2969,0.08757157292017514,0.09679799089435015
Airline,Delta Air Lines Inc.,23904,0.13102409638554216,0.14813832986657163
Airline,Horizon Air,3472,0.14228110599078342,0.14752633340231422
Airline,Endeavor Air Inc.,5999,0.15185864310718453,0.1616496783993871
Airline,Alaska Airlines Inc.,7630,0.15570117955439056,0.16081643314556873
Airline,Air Wisconsin Airlines Corp,3469,0.1585471317382531,0.16660390832051036
Airline,Capital Cargo International,2471,0.16025900445163901,0.1646940066318399
Airline,Republic Airlines,8697,0.1623548350005749,0.17241408515598394
Airline,Spirit Air Lines,6437,0.16327481746155043,0.16831463149533232
Airline,SkyWest Airlines Inc.,22060,0.16518585675430644,0.16532879149988017
Airline,Mesa Airlines Inc.,6279,0.17375378244943462,0.1697202820587066
Airline,Comair Inc.,6317,0.17508310907076144,0.16919103369213104
Airline,(결측),27540,0.17556281771968046,0.17178704251434823
Airline,"GoJet Airlines, LLC d/b/a United Express",2450,0.17795918367346938,0.17053391957271447
Airline,Compass Airlines,2310,0.17965367965367965,0.171248995428445
Airline,United Air Lines Inc.,21393,0.18141448137241153,0.1832796213008218
Airline,Envoy Air,6979,0.18226106892104887,0.17749622679324786
Airline,Southwest Airlines Co.,46144,0.18815013869625521,0.1833732070905162
Airline,American Airlines Inc.,20870,0.18826066123622426,0.18342060456321257
Airline,Allegiant Air,3434,0.19306930693069307,0.181695522358653
Airline,ExpressJet Airlines Inc.,5077,0.19676974591294072,0.18549164244432204
Airline,Trans States Airlines,2315,0.21987041036717062,0.1947269061297511
Airline,JetBlue Airways,10186,0.2433732574121343,0.21632462637544356
Airline,Frontier Airlines Inc.,4255,0.254524089306698,0.20831096423047937
Origin_Airport,HNL,2057,0.07826932425862908,0.09815568051676181
Origin_Airport,PDX,2927,0.12538435257943287,0.14484034935767923
Origin_Airport,SLC,3473,0.13820904117477684,0.1531610834072379
Origin_Airport,MCI,2012,0.1426441351888668,0.15729880844278585
Origin_Airport,MSP,4656,0.14432989690721648,0.15443990649138253
Origin_Airport,SJC,2369,0.15111861544955676,0.16126169939440604
Origin_Airport,SAN,3325,0.15278195488721805,0.161298157336862
Origin_Airport,DTW,5042,0.15331217770725902,0.15893235575626713
Origin_Airport,ATL,11309,0.15377133256698206,0.16061474933284384
Origin_Airport,AUS,2281,0.1600175361683472,0.16406402744915619
Origin_Airport,IAD,3373,0.1612807589682775,0.16633300609769822
Origin_Airport,SEA,6186,0.16359521500161656,0.1597689636896289
Origin_Airport,IAH,6499,0.16494845360824742,0.1687834133457733
Origin_Airport,TPA,2599,0.1685263562908811,0.17231744176430483
Origin_Airport,CLT,6581,0.1704908068682571,0.17159301229773286
Origin_Airport,LAX,8047,0.1762147384118305,0.17471657660041828
Origin_Airport,PHL,4164,0.17795389048991356,0.17439117342939206
Origin_Airport,DCA,4162,0.18068236424795772,0.1786011805834044
Origin_Airport,LAS,5931,0.18276850446804924,0.18080981147630168
Origin_Airport,PHX,5556,0.18430525557955363,0.18102618941114082
Origin_Airport,RDU,2139,0.18513323983169705,0.17643068939018175
Origin_Airport,MIA,2337,0.18741976893453144,0.17995523309913417
Origin_Airport,MCO,4944,0.1913430420711974,0.19004791971745394
Origin_Airport,BNA,2650,0.1932075471698113,0.18802024230199446
Origin_Airport,OAK,2037,0.1958762886597938,0.18288465153504727
Origin_Airport,BWI,3902,0.19887237314197848,0.19230825806254925
Origin_Airport,FLL,3493,0.20068708846263955,0.19580238414299328
Origin_Airport,DEN,10031,0.2019738809689961,0.1926478522607862
Origin_Airport,STL,2465,0.20243407707910752,0.19053050521135176
Origin_Airport,JFK,4036,0.20490584737363726,0.19382800217971577
Origin_Airport,BOS,5010,0.2055888223552894,0.1967498387757391
Origin_Airport,DFW,7701,0.20620698610570057,0.19189581628102828
Origin_Airport,SFO,6160,0.20633116883116884,0.19158029132549564
Origin_Airport,ORD,12355,0.2158640226628895,0.20143654337198902
Origin_Airport,LGA,4831,0.2194162699234113,0.20019216424435274
Origin_Airport,DAL,2771,0.2223024178996752,0.20254450362814158
Origin_Airport,HOU,2101,0.2327463112803427,0.20829719382865763
Origin_Airport,EWR,5584,0.24820916905444126,0.22117341236854204
