group,attribute,value,n,share,reference_share,share_ratio
양쪽 시각 결측,Month,10,327,0.10788518640712635,0.10327544233038857,1.044635432903698
양쪽 시각 결측,Month,11,316,0.10425602111514351,0.09854474166325115,1.0579562070537365
양쪽 시각 결측,Month,12,312,0.10293632464533158,0.10011999585199524,1.028129533659786
양쪽 시각 결측,Month,9,304,0.10029693170570769,0.09920644718454177,1.0109920731173592
양쪽 시각 결측,Month,8,269,0.08874958759485319,0.08659947557368387,1.024828233738435
양쪽 시각 결측,Month,4,238,0.07852193995381063,0.08343909099438537,0.9410689763997354
양쪽 시각 결측,Month,7,232,0.0765423952490927,0.07640723530544623,1.001768941686035
양쪽 시각 결측,Month,1,231,0.07621247113163972,0.07778990355888932,0.9797218873519308
양쪽 시각 결측,Month,(고유값 수),12,,,
양쪽 시각 결측,Airline,Southwest Airlines Co.,557,0.18376773342131308,0.18108016019199336,1.0148418977897422
양쪽 시각 결측,Airline,(결측),332,0.10953480699439129,0.10846538638170532,1.009859556567867
양쪽 시각 결측,Airline,Delta Air Lines Inc.,316,0.10425602111514351,0.0935375073454251,1.114590543129784
양쪽 시각 결측,Airline,United Air Lines Inc.,263,0.08677004289013526,0.08373537704869462,1.0362411438080215
양쪽 시각 결측,Airline,SkyWest Airlines Inc.,241,0.07951171230616957,0.08634269432661587,0.9208852344286806
양쪽 시각 결측,Airline,American Airlines Inc.,227,0.07489277466182778,0.08158236505404752,0.9180020046270054
양쪽 시각 결측,Airline,JetBlue Airways,127,0.041900362916529196,0.03960356925933425,1.0579946126106705
양쪽 시각 결측,Airline,Republic Airlines,93,0.03068294292312768,0.03427535838267319,0.8951895580656702
양쪽 시각 결측,Airline,(고유값 수),26,,,
양쪽 시각 결측,Carrier_Code(IATA),UA,618,0.20389310458594523,0.2044571298769919,0.9972413518110813
양쪽 시각 결측,Carrier_Code(IATA),WN,548,0.18079841636423621,0.18122336511824283,0.9976551105662929
양쪽 시각 결측,Carrier_Code(IATA),DL,542,0.17881887165951832,0.16501651794752775,1.0836422552339848
양쪽 시각 결측,Carrier_Code(IATA),AA,518,0.17090069284064666,0.18062091680781406,0.9461843947037983
양쪽 시각 결측,Carrier_Code(IATA),(결측),328,0.10821511052457934,0.10973447831432988,0.986154143956484
양쪽 시각 결측,Carrier_Code(IATA),AS,135,0.044539755856153086,0.04988469534386466,0.8928541218730937
양쪽 시각 결측,Carrier_Code(IATA),B6,124,0.04091059056417024,0.03927271649868894,1.0417051381086915
양쪽 시각 결측,Carrier_Code(IATA),NK,78,0.025734081161332894,0.025317643340724023,1.0164485222816542
양쪽 시각 결측,Carrier_Code(IATA),(고유값 수),11,,,
양쪽 시각 결측,Origin_Airport,ORD,167,0.05509732761464863,0.048269936347879336,1.141441894962624
양쪽 시각 결측,Origin_Airport,ATL,138,0.04552952820851204,0.04448735105453145,1.0234263701766175
양쪽 시각 결측,Origin_Airport,DEN,128,0.04223028703398218,0.03911469726972401,1.0796526620869373
양쪽 시각 결측,Origin_Airport,DFW,105,0.03464203233256351,0.030107601218723305,1.150607518709273
양쪽 시각 결측,Origin_Airport,LAX,92,0.030353018805674696,0.03178655552647563,0.9549011619202681
양쪽 시각 결측,Origin_Airport,LAS,88,0.02903332233586275,0.023001674016206848,1.2622264934024383
양쪽 시각 결측,Origin_Airport,IAH,83,0.027383701748597822,0.025564548385981718,1.0711592215575236
양쪽 시각 결측,Origin_Airport,SFO,76,0.025074232926426923,0.024137437224392242,1.038810901643195
양쪽 시각 결측,Origin_Airport,(고유값 수),231,,,
양쪽 시각 결측,Destination_Airport,ORD,141,0.046519300560871,0.050398257838000664,0.9230339014971883
양쪽 시각 결측,Destination_Airport,ATL,122,0.04025074232926427,0.04544040452922615,0.8857919014205954
양쪽 시각 결측,Destination_Airport,DEN,113,0.0372814252721874,0.040161574661616635,0.9282859446200483
양쪽 시각 결측,Destination_Airport,DFW,93,0.03068294292312768,0.029460710000148143,1.0414868794056011
양쪽 시각 결측,Destination_Airport,LAX,90,0.029693170570768722,0.03165322680203647,0.9380772063611017
양쪽 시각 결측,Destination_Airport,SEA,89,0.029363246453315738,0.023870779775513933,1.2300916320897002
