group,column,missing_rate,reference_missing_rate,n_missing
양쪽 시각 결측,Month,0.0,0.0,0
양쪽 시각 결측,Day_of_Month,0.0,0.0,0
양쪽 시각 결측,Cancelled,0.0,0.0,0
양쪽 시각 결측,Diverted,0.0,0.0,0
양쪽 시각 결측,Origin_Airport,0.0,0.0,0
양쪽 시각 결측,Origin_Airport_ID,0.0,0.0,0
양쪽 시각 결측,Origin_State,0.10854503464203233,0.10924713259515022,329
양쪽 시각 결측,Destination_Airport,0.0,0.0,0
양쪽 시각 결측,Destination_Airport_ID,0.0,0.0,0
양쪽 시각 결측,Destination_State,0.11250412405146816,0.10849307457236973,341
양쪽 시각 결측,Distance,0.0,0.0,0
양쪽 시각 결측,Airline,0.10953480699439129,0.10798110886216614,332
양쪽 시각 결측,Carrier_Code(IATA),0.10821511052457934,0.10937810056752788,328
양쪽 시각 결측,Carrier_ID(DOT),0.11448366875618608,0.1088343850458388,347
양쪽 시각 결측,Tail_Number,0.0,0.0,0
3시드 공통 FN,Month,0.0,0.0,0
3시드 공통 FN,Day_of_Month,0.0,0.0,0
3시드 공통 FN,Cancelled,0.0,0.0,0
3시드 공통 FN,Diverted,0.0,0.0,0
3시드 공통 FN,Origin_Airport,0.0,0.0,0
3시드 공통 FN,Origin_Airport_ID,0.0,0.0,0
3시드 공통 FN,Origin_State,0.10628640289214701,0.10955820361050994,2646
3시드 공통 FN,Destination_Airport,0.0,0.0,0
3시드 공통 FN,Destination_Airport_ID,0.0,0.0,0
3시드 공통 FN,Destination_State,0.10700943964651537,0.10870642225756826,2664
3시드 공통 FN,Distance,0.0,0.0,0
3시드 공통 FN,Airline,0.11271339626431011,0.10748959175336584,2806
3시드 공통 FN,Carrier_Code(IATA),0.1139586262301667,0.10886721771705214,2837
3시드 공통 FN,Carrier_ID(DOT),0.10966057441253264,0.1088194136615299,2730
3시드 공통 FN,Tail_Number,0.0,0.0,0
3시드 공통 FP,Month,0.0,0.0,0
3시드 공통 FP,Day_of_Month,0.0,0.0,0
3시드 공통 FP,Cancelled,0.0,0.0,0
3시드 공통 FP,Diverted,0.0,0.0,0
3시드 공통 FP,Origin_Airport,0.0,0.0,0
3시드 공통 FP,Origin_Airport_ID,0.0,0.0,0
3시드 공통 FP,Origin_State,0.10938007140538786,0.10922573404045684,2359
3시드 공통 FP,Destination_Airport,0.0,0.0,0
3시드 공통 FP,Destination_Airport_ID,0.0,0.0,0
3시드 공통 FP,Destination_State,0.10831362730096908,0.10856173479441726,2336
3시드 공통 FP,Distance,0.0,0.0,0
3시드 공통 FP,Airline,0.09686094496221079,0.10902867619969671,2089
3시드 공통 FP,Carrier_Code(IATA),0.10353781239857189,0.10990258488480684,2233
3시드 공통 FP,Carrier_ID(DOT),0.10924097000046368,0.1088701731538679,2356
3시드 공통 FP,Tail_Number,0.0,0.0,0
