group,band,n,share,observed_rate
양쪽 시각 결측,"[0.0, 0.1)",34,0.011217419993401518,0.17647058823529413
양쪽 시각 결측,"[0.1, 0.15)",1001,0.3302540415704388,0.12687312687312688
양쪽 시각 결측,"[0.15, 0.2)",1497,0.49389640382711975,0.18370073480293922
양쪽 시각 결측,"[0.2, 0.25)",362,0.11943253051798086,0.2265193370165746
양쪽 시각 결측,"[0.25, 0.3)",99,0.0326624876278456,0.24242424242424243
양쪽 시각 결측,"[0.3, 0.4)",35,0.011547344110854504,0.14285714285714285
양쪽 시각 결측,"[0.4, 0.5)",3,0.0009897723523589574,0.0
양쪽 시각 결측,"[0.5, 1.01)",0,0.0,
양쪽 시각 관측,"[0.0, 0.1)",27000,0.1333287244391552,0.08033333333333334
양쪽 시각 관측,"[0.1, 0.15)",56899,0.28097300340235154,0.12242745918205944
양쪽 시각 관측,"[0.15, 0.2)",55908,0.276079345405344,0.1737855047578164
양쪽 시각 관측,"[0.2, 0.25)",34724,0.1714706158305639,0.2342760050685405
양쪽 시각 관측,"[0.25, 0.3)",16947,0.08368599603964308,0.2853602407505753
양쪽 시각 관측,"[0.3, 0.4)",9643,0.04761810702839902,0.34180234366898266
양쪽 시각 관측,"[0.4, 0.5)",1221,0.006029421205192907,0.42096642096642095
양쪽 시각 관측,"[0.5, 1.01)",165,0.0008147866493503929,0.47878787878787876
