bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,arm,calibrator
0,0.0,0.1,33216,0.08515977745254757,0.07966040462427745,P6_clean,42,shared,none
1,0.1,0.2,143252,0.14947320510713744,0.14794906877390893,P6_clean,42,shared,none
2,0.2,0.3,64868,0.238718335485549,0.2520194857248566,P6_clean,42,shared,none
3,0.3,0.4,11935,0.3349005635559435,0.34285714285714286,P6_clean,42,shared,none
4,0.4,0.5,1532,0.43354430242605163,0.4066579634464752,P6_clean,42,shared,none
5,0.5,0.6,181,0.5285207432767307,0.4972375690607735,P6_clean,42,shared,none
6,0.6,0.7,16,0.6323460708394651,0.4375,P6_clean,42,shared,none
7,0.7,0.8,1,0.7278530651936665,0.0,P6_clean,42,shared,none
8,0.8,0.9,0,,,P6_clean,42,shared,none
9,0.9,1.0,0,,,P6_clean,42,shared,none
0,0.0,0.1,37491,0.08338508069611286,0.08140620415566402,P6_clean,42,shared,platt
1,0.1,0.2,135801,0.14933804857444904,0.1482978770406698,P6_clean,42,shared,platt
2,0.2,0.3,64912,0.24012885729749447,0.24704214937145674,P6_clean,42,shared,platt
3,0.3,0.4,14140,0.3366108769993375,0.33373408769448376,P6_clean,42,shared,platt
4,0.4,0.5,2269,0.4338576998958071,0.3887174966945791,P6_clean,42,shared,platt
5,0.5,0.6,356,0.5319940461042976,0.4438202247191011,P6_clean,42,shared,platt
6,0.6,0.7,27,0.6322474034704788,0.4444444444444444,P6_clean,42,shared,platt
7,0.7,0.8,5,0.7272961749839977,0.4,P6_clean,42,shared,platt
8,0.8,0.9,0,,,P6_clean,42,shared,platt
9,0.9,1.0,0,,,P6_clean,42,shared,platt
0,0.0,0.1,34015,0.07517395330975939,0.08017051300896663,P6_clean,42,shared,isotonic
1,0.1,0.2,135265,0.14608280905721033,0.14510035855542824,P6_clean,42,shared,isotonic
2,0.2,0.3,65432,0.24078028978255955,0.24237376207360312,P6_clean,42,shared,isotonic
3,0.3,0.4,19062,0.3320631849022078,0.3294512642954569,P6_clean,42,shared,isotonic
4,0.4,0.5,1088,0.4277562436719169,0.4016544117647059,P6_clean,42,shared,isotonic
5,0.5,0.6,77,0.5154982485914787,0.4805194805194805,P6_clean,42,shared,isotonic
6,0.6,0.7,61,0.6101434073298825,0.5409836065573771,P6_clean,42,shared,isotonic
7,0.7,0.8,0,,,P6_clean,42,shared,isotonic
8,0.8,0.9,0,,,P6_clean,42,shared,isotonic
9,0.9,1.0,1,0.9556134869445256,0.0,P6_clean,42,shared,isotonic
