bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,overall,all
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,overall,all
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,overall,all
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,overall,all
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,overall,all
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,overall,all
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,overall,all
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,overall,all
8,0.8,0.9,0,,,P6_fixed,42,overall,all
9,0.9,1.0,0,,,P6_fixed,42,overall,all
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Month,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Month,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Month,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Month,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Month,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Month,observed
6,0.6,0.7,18,0.6279194439726967,0.16666666666666666,P6_fixed,42,raw_missing__Month,observed
7,0.7,0.8,2,0.7075405631342995,0.5,P6_fixed,42,raw_missing__Month,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Month,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Month,observed
0,0.0,0.1,33992,0.0851484148292218,0.07972464109202165,P6_fixed,42,raw_missing__Day_of_Month,observed
1,0.1,0.2,141842,0.14920866566143628,0.1478123545917288,P6_fixed,42,raw_missing__Day_of_Month,observed
2,0.2,0.3,65400,0.23812658262669767,0.25209480122324157,P6_fixed,42,raw_missing__Day_of_Month,observed
3,0.3,0.4,11921,0.33518339048326323,0.34200150994044126,P6_fixed,42,raw_missing__Day_of_Month,observed
4,0.4,0.5,1597,0.43393811338981475,0.406386975579211,P6_fixed,42,raw_missing__Day_of_Month,observed
5,0.5,0.6,229,0.5322995804684137,0.4672489082969432,P6_fixed,42,raw_missing__Day_of_Month,observed
