bin,lower,upper,n,mean_probability,observed_rate,phase_key,seed,dimension,group
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,overall,all
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,overall,all
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,overall,all
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,overall,all
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,overall,all
5,0.5,0.6,0,,,P6_fixed,42,overall,all
6,0.6,0.7,0,,,P6_fixed,42,overall,all
7,0.7,0.8,0,,,P6_fixed,42,overall,all
8,0.8,0.9,0,,,P6_fixed,42,overall,all
9,0.9,1.0,0,,,P6_fixed,42,overall,all
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Month,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Month,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Month,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Month,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Month,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Month,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Month,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Month,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Month,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Month,observed
0,0.0,0.1,28,0.06991776641323902,0.10714285714285714,P6_fixed,42,raw_missing__Day_of_Month,observed
1,0.1,0.2,339,0.15517417867668634,0.18584070796460178,P6_fixed,42,raw_missing__Day_of_Month,observed
2,0.2,0.3,123,0.23290206014212317,0.18699186991869918,P6_fixed,42,raw_missing__Day_of_Month,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Day_of_Month,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Day_of_Month,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Day_of_Month,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Day_of_Month,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Day_of_Month,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Day_of_Month,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Day_of_Month,observed
0,0.0,0.1,25,0.06740523090201433,0.08,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
1,0.1,0.2,303,0.15526802630703962,0.19141914191419143,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
2,0.2,0.3,113,0.23362731777396487,0.17699115044247787,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
3,0.3,0.4,10,0.31892920317757845,0.1,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
4,0.4,0.5,1,0.47699456064154044,0.0,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,observed
0,0.0,0.1,3,0.09085556234011134,0.3333333333333333,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
1,0.1,0.2,36,0.15438429445454618,0.1388888888888889,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
2,0.2,0.3,10,0.22470664890231165,0.3,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
3,0.3,0.4,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
4,0.4,0.5,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
5,0.5,0.6,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
6,0.6,0.7,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
7,0.7,0.8,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
8,0.8,0.9,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
9,0.9,1.0,0,,,P6_fixed,42,raw_missing__Estimated_Departure_Time,missing
0,0.0,0.1,26,0.06949615521080862,0.11538461538461539,P6_fixed,42,raw_missing__Estimated_Arrival_Time,observed
1,0.1,0.2,301,0.15491101504623472,0.18604651162790697,P6_fixed,42,raw_missing__Estimated_Arrival_Time,observed
2,0.2,0.3,114,0.23264235308079922,0.18421052631578946,P6_fixed,42,raw_missing__Estimated_Arrival_Time,observed
3,0.3,0.4,7,0.3206174891517519,0.14285714285714285,P6_fixed,42,raw_missing__Estimated_Arrival_Time,observed
