phase_key,seed,dimension,group,n,positives,positive_rate,mean_probability,calibration_bias,macro_f1,log_loss,roc_auc,brier,ece_10,tn,fp,fn,tp,precision,recall,fpr,fnr,error_rate
P6_fixed,42,overall,all,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Month,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Month,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Day_of_Month,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Day_of_Month,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Estimated_Departure_Time,observed,452,81,0.17920353982300885,0.1743307881514574,-0.004872751671551462,0.4939281715614503,0.47293075820792824,0.5367042694086719,0.14822771700419674,0.04498856362232742,257.0,114.0,55.0,26.0,0.18571428571428572,0.32098765432098764,0.30727762803234504,0.6790123456790124,0.37389380530973454
P6_fixed,42,raw_missing__Estimated_Departure_Time,missing,49,9,0.1836734693877551,0.16484628115116556,-0.018827188236589548,0.48484848484848486,0.47229305299667096,0.5944444444444444,0.14842523045341538,0.04159594743510636,30.0,10.0,7.0,2.0,0.16666666666666666,0.2222222222222222,0.25,0.7777777777777778,0.3469387755102041
P6_fixed,42,raw_missing__Estimated_Arrival_Time,observed,449,81,0.18040089086859687,0.17300147171561825,-0.00739941915297862,0.49403986097534486,0.4732583649935258,0.5472188674181429,0.1484949366638099,0.03966019971384686,258.0,110.0,56.0,25.0,0.18518518518518517,0.30864197530864196,0.29891304347826086,0.691358024691358,0.36971046770601335
P6_fixed,42,raw_missing__Estimated_Arrival_Time,missing,52,9,0.17307692307692307,0.17687160039525468,0.0037946773183316074,0.4871794871794872,0.4695010850909107,0.4832041343669251,0.14610649646276233,0.04318579106910019,29.0,14.0,6.0,3.0,0.17647058823529413,0.3333333333333333,0.32558139534883723,0.6666666666666666,0.38461538461538464
P6_fixed,42,raw_missing__Cancelled,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Cancelled,missing,0,0,,,,,,,,,,,,,,,,,
P6_fixed,42,raw_missing__Diverted,observed,501,90,0.17964071856287425,0.1734031617182951,-0.006237556844579162,0.4933340582862114,0.472868387837965,0.5422681805893484,0.1482470346868548,0.03942414363060104,287.0,124.0,62.0,28.0,0.18421052631578946,0.3111111111111111,0.30170316301703165,0.6888888888888889,0.3712574850299401
P6_fixed,42,raw_missing__Diverted,missing,0,0,,,,,,,,,,,,,,,,,
