dimension,value,november_rows,baseline_share,first_share,first_z,second_share,second_z,separates
운항사,19393.0,15041,0.174773,0.162116,-1.61,0.179877,0.66,False
운항사,19790.0,10290,0.119599,0.114334,-0.79,0.118686,-0.14,False
운항사,19805.0,10144,0.1181,0.120307,0.33,0.10308,-2.3,False
운항사,20304.0,8637,0.100111,0.098123,-0.32,0.106776,1.1,False
운항사,19977.0,6737,0.078041,0.084898,1.24,0.076797,-0.23,False
운항사,20452.0,3439,0.039752,0.043089,0.83,0.0423,0.64,False
운항사,20409.0,3335,0.038609,0.041809,0.8,0.039014,0.1,False
운항사,20398.0,3298,0.038449,0.03157,-1.73,0.039014,0.15,False
운항사,20397.0,3187,0.037184,0.03413,-0.78,0.033265,-1.02,False
운항사,19930.0,2757,0.031715,0.040529,2.43,0.033265,0.44,False
운항사,20363.0,2612,0.030155,0.03413,1.13,0.032033,0.54,False
운항사,20378.0,2485,0.028865,0.025171,-1.07,0.031622,0.81,False
운항사,20416.0,2077,0.02374,0.03157,2.49,0.029158,1.76,False
운항사,20366.0,1734,0.019894,0.026451,2.27,0.021766,0.66,False
운항사,20436.0,1531,0.01783,0.019625,0.66,0.013963,-1.44,False
운항사,19687.0,1239,0.014414,0.012799,-0.66,0.014784,0.15,False
운항사,20427.0,1230,0.014574,0.007679,-2.79,0.010678,-1.6,False
운항사,20046.0,1114,0.012915,0.012799,-0.05,0.013552,0.28,False
운항사,20368.0,1058,0.012485,0.013652,0.51,0.004107,-3.72,False
운항사,21167.0,945,0.010899,0.008959,-0.9,0.015195,2.04,False
운항사,20500.0,904,0.010678,0.005119,-2.62,0.009446,-0.59,False
운항사,19690.0,860,0.009855,0.013652,1.86,0.010678,0.41,False
운항사,20237.0,773,0.008933,0.007253,-0.86,0.01191,1.56,False
운항사,20445.0,638,0.00741,0.008106,0.39,0.006571,-0.48,False
노선 거리값,lower,921,0.605722,0.6,-0.06,0.614035,0.13,False
노선 거리값,upper,599,0.394278,0.4,0.06,0.385965,-0.13,False
