month,status,rows
1,complete_checked_no_candidate,6
1,complete_multi_candidate_year,5
1,complete_single_candidate_year,54719
1,missing_key_checked_no_candidate,2
1,missing_key_multi_candidate_year,86
1,missing_key_single_candidate_year,22838
2,complete_multi_candidate_year,10
2,complete_single_candidate_year,42352
2,missing_key_multi_candidate_year,66
2,missing_key_single_candidate_year,17432
3,complete_multi_candidate_year,13
3,complete_single_candidate_year,51181
3,missing_key_multi_candidate_year,83
3,missing_key_single_candidate_year,21061
4,complete_multi_candidate_year,15
4,complete_single_candidate_year,58534
4,missing_key_multi_candidate_year,84
4,missing_key_single_candidate_year,24397
5,complete_multi_candidate_year,17
5,complete_single_candidate_year,52751
5,missing_key_multi_candidate_year,81
5,missing_key_single_candidate_year,21684
6,complete_multi_candidate_year,21
6,complete_single_candidate_year,51021
6,missing_key_multi_candidate_year,101
6,missing_key_single_candidate_year,21164
7,complete_multi_candidate_year,15
7,complete_single_candidate_year,54881
7,missing_key_multi_candidate_year,84
7,missing_key_single_candidate_year,22563
8,complete_checked_no_candidate,411
8,complete_multi_candidate_year,13
8,complete_single_candidate_year,62832
8,missing_key_checked_no_candidate,163
8,missing_key_multi_candidate_year,104
8,missing_key_single_candidate_year,25735
9,complete_multi_candidate_year,5
9,complete_single_candidate_year,67764
9,missing_key_multi_candidate_year,110
9,missing_key_single_candidate_year,27687
10,complete_multi_candidate_year,7
10,complete_single_candidate_year,71743
10,missing_key_multi_candidate_year,153
10,missing_key_single_candidate_year,29606
11,complete_multi_candidate_year,12
11,complete_single_candidate_year,68271
11,missing_key_multi_candidate_year,128
11,missing_key_single_candidate_year,28299
12,complete_multi_candidate_year,8
12,complete_single_candidate_year,70710
12,missing_key_multi_candidate_year,130
12,missing_key_single_candidate_year,28842
