ID,row_position,attributed_year,attributed_date,season,region,origin_timezone,region_timezone_bucket,origin_size_tier,stratum_label,Origin_Airport,Destination_Airport,Estimated_Departure_Time,origin_tier,dest_tier,row_tier,collectible,not_collectible_reason
TRAIN_001367,1367,2018,2018-11-14,fall,Northeast,America/New_York,Northeast:New_York,medium,2018|fall|Northeast:New_York|medium,ELM,DTW,600.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_001945,1945,2018,2018-04-04,spring,West,America/Boise,West:Boise,small,2018|spring|West:Boise|small,PIH,SLC,1820.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_004794,4794,2019,2019-03-30,spring,South,America/New_York,South:New_York,small,2019|spring|South:New_York|small,HTS,CLT,1619.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_006581,6581,2018,2018-07-19,summer,Midwest,America/Detroit,Midwest:Detroit,medium,2018|summer|Midwest:Detroit|medium,MBS,ORD,1656.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_007527,7527,2019,2019-10-02,fall,Alaska,America/Nome,Alaska,small,2019|fall|Alaska|small,OME,ANC,1245.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_007625,7625,2018,2018-11-23,fall,South,America/Denver,South:Denver,large,2018|fall|South:Denver|large,ELP,IAH,600.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_009232,9232,2018,2018-06-27,summer,Midwest,America/New_York,Midwest:New_York,medium,2018|summer|Midwest:New_York|medium,LCK,SFB,1600.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_009363,9363,2018,2018-11-29,fall,Northeast,America/New_York,Northeast:New_York,large,2018|fall|Northeast:New_York|large,PHL,SYR,1151.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_009892,9892,2018,2018-12-02,winter,Northeast,America/New_York,Northeast:New_York,small,2018|winter|Northeast:New_York|small,BGM,DTW,1233.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_013061,13061,2019,2019-10-31,fall,West,America/Los_Angeles,West:Los_Angeles,small,2019|fall|West:Los_Angeles|small,ALW,SEA,515.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_017375,17375,2019,2019-07-22,summer,Hawaii,Pacific/Honolulu,Hawaii,medium,2019|summer|Hawaii|medium,ITO,LAX,2130.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_018048,18048,2018,2018-05-23,spring,Non-contiguous territory,America/Puerto_Rico,Non-contiguous territory,large,2018|spring|Non-contiguous territory|large,SJU,BWI,1015.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_018114,18114,2019,2019-08-25,summer,South,America/Denver,South:Denver,large,2019|summer|South:Denver|large,ELP,DAL,1520.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_025436,25436,2018,2018-06-28,summer,Midwest,America/Detroit,Midwest:Detroit,large,2018|summer|Midwest:Detroit|large,GRR,EWR,1115.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_028986,28986,2018,2018-12-21,winter,South,America/Chicago,South:Chicago,small,2018|winter|South:Chicago|small,SJT,DFW,1448.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_037272,37272,2019,2019-09-02,fall,Non-contiguous territory,Pacific/Saipan,Non-contiguous territory,small,2019|fall|Non-contiguous territory|small,SPN,GUM,915.0,unconfirmed,confirmed_period,unconfirmed,False,"origin=unconfirmed,destination=confirmed_period"
TRAIN_038597,38597,2018,2018-04-13,spring,Midwest,America/Indiana/Indianapolis,Midwest:Indianapolis,medium,2018|spring|Midwest:Indianapolis|medium,SBN,ORD,1835.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_040131,40131,2018,2018-05-10,spring,South,America/Chicago,South:Chicago,large,2018|spring|South:Chicago|large,IAH,ORD,2152.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_045778,45778,2018,2018-01-04,winter,West,America/Boise,West:Boise,small,2018|winter|West:Boise|small,PIH,SLC,1221.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_049225,49225,2018,2018-12-17,winter,Midwest,America/Chicago,Midwest:Chicago,small,2018|winter|Midwest:Chicago|small,BRD,MSP,1555.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_055329,55329,2018,2018-03-10,spring,Midwest,America/Chicago,Midwest:Chicago,medium,2018|spring|Midwest:Chicago|medium,BIS,DEN,1320.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_056070,56070,2019,2019-06-02,summer,Midwest,America/Denver,Midwest:Denver,small,2019|summer|Midwest:Denver|small,BFF,DEN,600.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_060289,60289,2018,2018-01-16,winter,Non-contiguous territory,America/Puerto_Rico,Non-contiguous territory,medium,2018|winter|Non-contiguous territory|medium,BQN,MCO,238.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_060396,60396,2018,2018-11-15,fall,South,America/Chicago,South:Chicago,large,2018|fall|South:Chicago|large,LBB,AUS,1415.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_064793,64793,2018,2018-04-26,spring,Midwest,America/Chicago,Midwest:Chicago,small,2018|spring|Midwest:Chicago|small,EAU,ORD,1330.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_066946,66946,2018,2018-05-30,spring,West,America/Phoenix,West:Phoenix,large,2018|spring|West:Phoenix|large,PHX,AUS,1340.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_069722,69722,2018,2018-03-10,spring,Hawaii,Pacific/Honolulu,Hawaii,large,2018|spring|Hawaii|large,HNL,LAX,33.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_069931,69931,2018,2018-03-24,spring,West,America/Los_Angeles,West:Los_Angeles,medium,2018|spring|West:Los_Angeles|medium,BLI,KOA,822.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_077483,77483,2018,2018-08-24,summer,West,America/Phoenix,West:Phoenix,large,2018|summer|West:Phoenix|large,PHX,SAN,705.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_082679,82679,2018,2018-06-08,summer,Midwest,America/Indiana/Indianapolis,Midwest:Indianapolis,medium,2018|summer|Midwest:Indianapolis|medium,SBN,EWR,610.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_085463,85463,2019,2019-05-15,spring,West,America/Phoenix,West:Phoenix,large,2019|spring|West:Phoenix|large,PHX,SEA,1025.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_097305,97305,2018,2018-06-29,summer,Non-contiguous territory,America/Puerto_Rico,Non-contiguous territory,large,2018|summer|Non-contiguous territory|large,SJU,FLL,2134.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_099980,99980,2019,2019-07-11,summer,Midwest,America/Chicago,Midwest:Chicago,small,2019|summer|Midwest:Chicago|small,ABR,MSP,1320.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_107030,107030,2018,2018-07-03,summer,Alaska,America/Anchorage,Alaska,large,2018|summer|Alaska|large,ANC,PDX,45.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_115098,115098,2019,2019-05-03,spring,South,America/Chicago,South:Chicago,medium,2019|spring|South:Chicago|medium,LFT,DFW,616.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_115611,115611,2019,2019-07-15,summer,South,America/New_York,South:New_York,small,2019|summer|South:New_York|small,PGV,CLT,700.0,confirmed_period,confirmed_period,confirmed_period,True,
TRAIN_117847,117847,2019,2019-10-01,fall,Midwest,America/Chicago,Midwest:Chicago,small,2019|fall|Midwest:Chicago|small,JMS,DEN,614.0,confirmed_period,confirmed_period,confirmed_period,True,
