stratum,non_empty_population_rows,selected_rows
2018|fall|Alaska|large,272,1
2018|fall|Alaska|medium,156,1
2018|fall|Alaska|small,137,1
2018|fall|Hawaii|large,1534,1
2018|fall|Hawaii|medium,156,1
2018|fall|Midwest:Chicago|large,14305,1
2018|fall|Midwest:Chicago|medium,1163,1
2018|fall|Midwest:Chicago|small,266,1
2018|fall|Midwest:Denver|medium,91,1
2018|fall|Midwest:Denver|small,25,1
2018|fall|Midwest:Detroit|large,2948,1
2018|fall|Midwest:Detroit|medium,311,1
2018|fall|Midwest:Detroit|small,100,1
2018|fall|Midwest:Indianapolis|large,837,1
2018|fall|Midwest:Indianapolis|medium,210,1
2018|fall|Midwest:New_York|large,1795,1
2018|fall|Midwest:New_York|medium,154,1
2018|fall|Non-contiguous territory|large,295,1
2018|fall|Non-contiguous territory|medium,65,1
2018|fall|Non-contiguous territory|small,40,1
2018|fall|Northeast:New_York|large,16001,1
2018|fall|Northeast:New_York|medium,655,1
2018|fall|Northeast:New_York|small,107,1
2018|fall|South:Chicago|large,15490,1
2018|fall|South:Chicago|medium,1277,1
2018|fall|South:Chicago|small,260,1
2018|fall|South:Denver|large,261,1
2018|fall|South:Louisville|large,430,1
2018|fall|South:New_York|large,27806,1
2018|fall|South:New_York|medium,1155,1
2018|fall|South:New_York|small,160,1
2018|fall|West:Boise|large,359,1
2018|fall|West:Boise|medium,77,1
2018|fall|West:Boise|small,17,1
2018|fall|West:Denver|large,6684,1
2018|fall|West:Denver|medium,671,1
2018|fall|West:Denver|small,163,1
2018|fall|West:Los_Angeles|large,20828,1
2018|fall|West:Los_Angeles|medium,477,1
2018|fall|West:Los_Angeles|small,81,1
2018|fall|West:Phoenix|large,2905,1
2018|fall|West:Phoenix|medium,96,1
2018|fall|West:Phoenix|small,12,1
2018|spring|Alaska|large,255,1
2018|spring|Alaska|medium,153,1
2018|spring|Alaska|small,169,1
2018|spring|Hawaii|large,1443,1
2018|spring|Hawaii|medium,166,1
2018|spring|Midwest:Chicago|large,8468,1
2018|spring|Midwest:Chicago|medium,575,1
2018|spring|Midwest:Chicago|small,116,1
2018|spring|Midwest:Denver|medium,44,1
2018|spring|Midwest:Denver|small,15,1
2018|spring|Midwest:Detroit|large,1272,1
2018|spring|Midwest:Detroit|medium,144,1
2018|spring|Midwest:Detroit|small,37,1
2018|spring|Midwest:Indianapolis|large,499,1
2018|spring|Midwest:Indianapolis|medium,105,1
2018|spring|Midwest:New_York|large,1034,1
2018|spring|Midwest:New_York|medium,71,1
2018|spring|Non-contiguous territory|large,312,1
2018|spring|Non-contiguous territory|medium,48,1
2018|spring|Non-contiguous territory|small,83,1
2018|spring|Northeast:New_York|large,8619,1
2018|spring|Northeast:New_York|medium,325,1
2018|spring|Northeast:New_York|small,49,1
2018|spring|South:Chicago|large,8850,1
2018|spring|South:Chicago|medium,522,1
2018|spring|South:Chicago|small,25,1
2018|spring|South:Denver|large,157,1
2018|spring|South:Louisville|large,204,1
2018|spring|South:New_York|large,14470,1
2018|spring|South:New_York|medium,372,1
2018|spring|South:New_York|small,49,1
2018|spring|West:Boise|large,333,1
2018|spring|West:Boise|medium,52,1
2018|spring|West:Boise|small,13,1
2018|spring|West:Denver|large,5039,1
2018|spring|West:Denver|medium,463,1
2018|spring|West:Denver|small,88,1
2018|spring|West:Los_Angeles|large,16549,1
2018|spring|West:Los_Angeles|medium,394,1
2018|spring|West:Los_Angeles|small,99,1
2018|spring|West:Phoenix|large,1547,1
2018|spring|West:Phoenix|medium,90,1
2018|summer|Alaska|large,147,1
2018|summer|Alaska|medium,73,1
2018|summer|Alaska|small,68,1
2018|summer|Hawaii|large,1080,1
2018|summer|Hawaii|medium,114,1
2018|summer|Midwest:Chicago|large,9207,1
2018|summer|Midwest:Chicago|medium,520,1
2018|summer|Midwest:Chicago|small,115,1
2018|summer|Midwest:Denver|medium,63,1
2018|summer|Midwest:Denver|small,15,1
2018|summer|Midwest:Detroit|large,807,1
2018|summer|Midwest:Detroit|medium,114,1
2018|summer|Midwest:Detroit|small,22,1
2018|summer|Midwest:Indianapolis|large,488,1
2018|summer|Midwest:Indianapolis|medium,88,1
2018|summer|Midwest:New_York|large,1193,1
2018|summer|Midwest:New_York|medium,111,1
2018|summer|Non-contiguous territory|large,365,1
2018|summer|Non-contiguous territory|medium,61,1
2018|summer|Non-contiguous territory|small,40,1
2018|summer|Northeast:New_York|large,9267,1
2018|summer|Northeast:New_York|medium,443,1
2018|summer|Northeast:New_York|small,72,1
2018|summer|South:Chicago|large,10790,1
2018|summer|South:Chicago|medium,657,1
2018|summer|South:Chicago|small,77,1
2018|summer|South:Denver|large,223,1
2018|summer|South:Louisville|large,247,1
2018|summer|South:New_York|large,14814,1
2018|summer|South:New_York|medium,396,1
2018|summer|South:New_York|small,72,1
2018|summer|West:Boise|large,221,1
2018|summer|West:Boise|medium,38,1
2018|summer|West:Denver|large,5374,1
2018|summer|West:Denver|medium,546,1
2018|summer|West:Denver|small,123,1
2018|summer|West:Los_Angeles|large,14600,1
2018|summer|West:Los_Angeles|medium,311,1
2018|summer|West:Los_Angeles|small,36,1
2018|summer|West:Phoenix|large,1863,1
2018|summer|West:Phoenix|medium,114,1
2018|winter|Alaska|large,184,1
2018|winter|Alaska|medium,101,1
2018|winter|Alaska|small,99,1
2018|winter|Hawaii|large,1499,1
2018|winter|Hawaii|medium,141,1
2018|winter|Midwest:Chicago|large,9794,1
2018|winter|Midwest:Chicago|medium,735,1
