latency_minutes,role,reason,rows
0,origin,matched,269
0,origin,not_collectible_mapping,29
0,origin,no_report_within_max_age,2
0,destination,matched,271
0,destination,not_collectible_mapping,29
10,origin,matched,269
10,origin,not_collectible_mapping,29
10,origin,no_report_within_max_age,2
10,destination,matched,271
10,destination,not_collectible_mapping,29
30,origin,matched,268
30,origin,not_collectible_mapping,29
30,origin,no_report_within_max_age,3
30,destination,matched,271
30,destination,not_collectible_mapping,29
60,origin,matched,154
60,origin,no_report_within_max_age,117
60,origin,not_collectible_mapping,29
60,destination,matched,158
60,destination,no_report_within_max_age,113
60,destination,not_collectible_mapping,29
