latency_minutes,role,reason,rows
0,origin,matched,269
0,origin,not_collectible_mapping,29
0,origin,stale_beyond_max_age,2
0,destination,matched,271
0,destination,not_collectible_mapping,29
10,origin,matched,269
10,origin,not_collectible_mapping,29
10,origin,stale_beyond_max_age,2
10,destination,matched,271
10,destination,not_collectible_mapping,29
30,origin,matched,268
30,origin,not_collectible_mapping,29
30,origin,stale_beyond_max_age,2
30,origin,not_yet_available_under_latency_assumption,1
30,destination,matched,271
30,destination,not_collectible_mapping,29
60,origin,matched,154
60,origin,not_yet_available_under_latency_assumption,115
60,origin,not_collectible_mapping,29
60,origin,stale_beyond_max_age,2
60,destination,matched,158
60,destination,not_yet_available_under_latency_assumption,113
60,destination,not_collectible_mapping,29
