attributed_year,season,region,origin_size_tier,rows
2018,fall,Alaska,large,1
2018,fall,Alaska,medium,1
2018,fall,Alaska,small,1
2018,fall,Hawaii,large,1
2018,fall,Hawaii,medium,1
2018,fall,Midwest,large,4
2018,fall,Midwest,medium,5
2018,fall,Midwest,small,3
2018,fall,Non-contiguous territory,large,1
2018,fall,Non-contiguous territory,medium,1
2018,fall,Non-contiguous territory,small,1
2018,fall,Northeast,large,1
2018,fall,Northeast,medium,1
2018,fall,Northeast,small,1
2018,fall,South,large,4
2018,fall,South,medium,2
2018,fall,South,small,1
2018,fall,West,large,4
2018,fall,West,medium,4
2018,spring,Alaska,large,1
2018,spring,Alaska,medium,1
2018,spring,Alaska,small,1
2018,spring,Hawaii,large,1
2018,spring,Hawaii,medium,1
2018,spring,Midwest,large,4
2018,spring,Midwest,medium,5
2018,spring,Midwest,small,3
2018,spring,Non-contiguous territory,large,1
2018,spring,Non-contiguous territory,medium,1
2018,spring,Non-contiguous territory,small,1
2018,spring,Northeast,large,1
2018,spring,Northeast,medium,1
2018,spring,Northeast,small,1
2018,spring,South,large,4
2018,spring,South,medium,2
2018,spring,South,small,1
2018,spring,West,large,4
2018,spring,West,medium,4
2018,summer,Alaska,large,1
2018,summer,Alaska,medium,1
2018,summer,Alaska,small,1
2018,summer,Hawaii,large,1
2018,summer,Hawaii,medium,1
2018,summer,Midwest,large,4
2018,summer,Midwest,medium,5
2018,summer,Midwest,small,3
2018,summer,Non-contiguous territory,large,1
2018,summer,Non-contiguous territory,medium,1
2018,summer,Non-contiguous territory,small,1
2018,summer,Northeast,large,1
2018,summer,Northeast,medium,1
2018,summer,Northeast,small,1
2018,summer,South,large,4
2018,summer,South,medium,2
2018,summer,West,large,4
2018,summer,West,medium,4
2018,winter,Alaska,large,1
2018,winter,Alaska,medium,1
2018,winter,Alaska,small,1
2018,winter,Hawaii,large,1
2018,winter,Hawaii,medium,1
2018,winter,Midwest,large,4
2018,winter,Midwest,medium,5
2018,winter,Midwest,small,3
2018,winter,Non-contiguous territory,large,1
2018,winter,Non-contiguous territory,medium,1
2018,winter,Non-contiguous territory,small,1
2018,winter,Northeast,large,1
2018,winter,Northeast,medium,1
2018,winter,Northeast,small,1
2018,winter,South,large,4
2018,winter,South,medium,2
2018,winter,West,large,4
2018,winter,West,medium,4
2019,fall,Alaska,large,1
2019,fall,Alaska,medium,1
2019,fall,Alaska,small,1
2019,fall,Hawaii,large,1
2019,fall,Hawaii,medium,1
2019,fall,Midwest,large,4
2019,fall,Midwest,medium,5
2019,fall,Midwest,small,3
2019,fall,Non-contiguous territory,large,1
2019,fall,Non-contiguous territory,medium,1
2019,fall,Non-contiguous territory,small,1
2019,fall,Northeast,large,1
2019,fall,Northeast,medium,1
2019,fall,Northeast,small,1
2019,fall,South,large,4
2019,fall,South,medium,2
2019,fall,South,small,1
2019,fall,West,large,4
2019,fall,West,medium,4
2019,spring,Alaska,large,1
2019,spring,Alaska,medium,1
2019,spring,Alaska,small,1
2019,spring,Hawaii,large,1
2019,spring,Hawaii,medium,1
2019,spring,Midwest,large,4
2019,spring,Midwest,medium,5
2019,spring,Midwest,small,3
2019,spring,Non-contiguous territory,large,1
2019,spring,Non-contiguous territory,medium,1
2019,spring,Non-contiguous territory,small,1
2019,spring,Northeast,large,1
2019,spring,Northeast,medium,1
2019,spring,Northeast,small,1
2019,spring,South,large,4
2019,spring,South,medium,2
2019,spring,South,small,1
2019,spring,West,large,4
2019,spring,West,medium,4
2019,summer,Alaska,large,1
2019,summer,Alaska,medium,1
2019,summer,Alaska,small,1
2019,summer,Hawaii,large,1
2019,summer,Hawaii,medium,1
2019,summer,Midwest,large,4
2019,summer,Midwest,medium,5
2019,summer,Midwest,small,3
2019,summer,Non-contiguous territory,large,1
2019,summer,Non-contiguous territory,medium,1
2019,summer,Non-contiguous territory,small,1
2019,summer,Northeast,large,1
2019,summer,Northeast,medium,1
2019,summer,Northeast,small,1
2019,summer,South,large,4
2019,summer,South,medium,2
2019,summer,West,large,4
2019,summer,West,medium,4
2019,winter,Alaska,large,1
2019,winter,Alaska,medium,1
2019,winter,Alaska,small,1
2019,winter,Hawaii,large,1
2019,winter,Hawaii,medium,1
2019,winter,Midwest,large,4
2019,winter,Midwest,medium,5
2019,winter,Midwest,small,3
2019,winter,Non-contiguous territory,large,1
2019,winter,Non-contiguous territory,medium,1
2019,winter,Non-contiguous territory,small,1
2019,winter,Northeast,large,1
2019,winter,Northeast,medium,1
2019,winter,Northeast,small,1
2019,winter,South,large,4
2019,winter,South,medium,2
2019,winter,West,large,4
2019,winter,West,medium,4
