stratum,picking_order_rank,non_empty_population_rows,selected_rows
2018|fall|Alaska|large,0,272,1
2019|fall|Alaska|large,1,182,1
2018|spring|Alaska|large,2,255,1
2019|spring|Alaska|large,3,207,1
2018|summer|Alaska|large,4,147,1
2019|summer|Alaska|large,5,305,1
2018|winter|Alaska|large,6,184,1
2019|winter|Alaska|large,7,161,1
2018|fall|Hawaii|large,8,1534,1
2019|fall|Hawaii|large,9,1227,1
2018|spring|Hawaii|large,10,1443,1
2019|spring|Hawaii|large,11,1178,1
2018|summer|Hawaii|large,12,1080,1
2019|summer|Hawaii|large,13,1395,1
2018|winter|Hawaii|large,14,1499,1
2019|winter|Hawaii|large,15,1147,1
2018|fall|Midwest:Chicago|large,16,14305,1
2019|fall|Midwest:Chicago|large,17,10120,1
2018|spring|Midwest:Chicago|large,18,8468,1
2019|spring|Midwest:Chicago|large,19,9990,1
2018|summer|Midwest:Chicago|large,20,9207,1
2019|summer|Midwest:Chicago|large,21,11003,1
2018|winter|Midwest:Chicago|large,22,9794,1
2019|winter|Midwest:Chicago|large,23,9227,1
2018|fall|Midwest:Denver|medium,24,91,1
2019|fall|Midwest:Denver|medium,25,86,1
2018|spring|Midwest:Denver|medium,26,44,1
2019|spring|Midwest:Denver|medium,27,71,1
2018|summer|Midwest:Denver|medium,28,63,1
2019|summer|Midwest:Denver|medium,29,107,1
2018|winter|Midwest:Denver|medium,30,38,1
2019|winter|Midwest:Denver|medium,31,42,1
2018|fall|Midwest:Detroit|large,32,2948,1
2019|fall|Midwest:Detroit|large,33,2062,1
2018|spring|Midwest:Detroit|large,34,1272,1
2019|spring|Midwest:Detroit|large,35,2213,1
2018|summer|Midwest:Detroit|large,36,807,1
2019|summer|Midwest:Detroit|large,37,2300,1
2018|winter|Midwest:Detroit|large,38,2047,1
2019|winter|Midwest:Detroit|large,39,1978,1
2018|fall|Midwest:Indianapolis|large,40,837,1
2019|fall|Midwest:Indianapolis|large,41,565,1
