latency_minutes,role,reason,rows
0,origin,matched,266
0,origin,not_collectible_mapping,32
0,origin,stale_beyond_max_age,2
0,destination,matched,268
0,destination,not_collectible_mapping,32
10,origin,matched,266
10,origin,not_collectible_mapping,32
10,origin,stale_beyond_max_age,2
10,destination,matched,268
10,destination,not_collectible_mapping,32
30,origin,matched,265
30,origin,not_collectible_mapping,32
30,origin,stale_beyond_max_age,2
30,origin,not_yet_available_under_latency_assumption,1
30,destination,matched,268
30,destination,not_collectible_mapping,32
60,origin,matched,150
60,origin,not_yet_available_under_latency_assumption,116
60,origin,not_collectible_mapping,32
60,origin,stale_beyond_max_age,2
60,destination,matched,157
60,destination,not_yet_available_under_latency_assumption,111
60,destination,not_collectible_mapping,32
