attributed_year,season,Origin_Airport,rows,collectible,matched_both,latency_minutes
2018,fall,ANC,1,1,1,0
2018,fall,APN,1,1,1,0
2018,fall,BIS,1,1,1,0
2018,fall,BOI,1,1,1,0
2018,fall,BQN,1,1,0,0
2018,fall,BRW,1,1,1,0
2018,fall,CAK,1,1,1,0
2018,fall,CLE,1,1,1,0
2018,fall,DEN,1,1,1,0
2018,fall,DHN,1,1,1,0
2018,fall,DIK,1,1,1,0
2018,fall,DRO,1,1,1,0
2018,fall,DTW,1,1,1,0
2018,fall,ELM,1,1,1,0
2018,fall,ELP,1,1,1,0
2018,fall,FAI,1,1,1,0
2018,fall,HVN,1,1,1,0
2018,fall,IDA,1,1,1,0
2018,fall,IND,1,1,1,0
2018,fall,ITO,1,1,1,0
2018,fall,JLN,1,1,1,0
2018,fall,LBB,1,1,1,0
2018,fall,LIH,1,1,1,0
2018,fall,MCO,1,1,1,0
2018,fall,MLU,1,1,1,0
2018,fall,OAK,1,1,1,0
2018,fall,PHL,1,1,1,0
2018,fall,PHX,1,1,1,0
2018,fall,PPG,1,1,1,0
2018,fall,PSC,1,1,1,0
2018,fall,RAP,1,1,1,0
2018,fall,SBN,1,1,1,0
2018,fall,SDF,1,0,0,0
2018,fall,SJU,1,1,1,0
2018,fall,STL,1,1,1,0
2018,fall,TLH,1,1,1,0
2018,fall,TVC,1,1,1,0
2018,fall,YUM,1,0,0,0
2018,spring,ACY,1,1,1,0
2018,spring,ANC,1,1,1,0
2018,spring,AZA,1,0,0,0
2018,spring,AZO,1,1,1,0
2018,spring,BIS,1,1,1,0
2018,spring,BLI,1,1,1,0
2018,spring,BOI,1,1,1,0
2018,spring,BWI,1,1,1,0
2018,spring,CAK,1,1,1,0
2018,spring,CLE,1,1,1,0
2018,spring,DEN,1,1,1,0
2018,spring,DIK,1,1,1,0
2018,spring,DSM,1,1,1,0
2018,spring,DTW,1,1,1,0
2018,spring,DUT,1,1,1,0
2018,spring,EAU,1,1,1,0
2018,spring,ELP,1,1,1,0
2018,spring,FAI,1,1,1,0
2018,spring,HNL,1,1,1,0
2018,spring,IAH,1,1,1,0
2018,spring,IND,1,1,1,0
2018,spring,ITO,1,1,1,0
2018,spring,LRD,1,1,1,0
2018,spring,MQT,1,0,0,0
2018,spring,PAH,1,1,1,0
2018,spring,PBG,1,1,1,0
2018,spring,PHL,1,1,1,0
2018,spring,PHX,1,1,1,0
2018,spring,RAP,1,1,1,0
2018,spring,SBN,1,1,1,0
2018,spring,SDF,1,0,0,0
2018,spring,SGU,1,1,1,0
2018,spring,SJU,1,1,1,0
2018,spring,SNA,1,1,1,0
2018,spring,SPN,1,0,0,0
2018,spring,SRQ,1,1,1,0
2018,spring,STT,1,0,0,0
2018,spring,TWF,1,1,1,0
2018,summer,ANC,1,1,1,0
2018,summer,AZA,1,0,0,0
2018,summer,BFF,1,1,1,0
2018,summer,BIL,1,1,1,0
2018,summer,BOI,1,1,1,0
2018,summer,BQN,1,1,1,0
2018,summer,BTR,1,1,1,0
2018,summer,CMH,1,1,1,0
2018,summer,COU,1,1,1,0
2018,summer,DAL,1,1,1,0
2018,summer,DEN,1,0,0,0
2018,summer,EAU,1,1,1,0
2018,summer,ELP,1,1,1,0
2018,summer,EWR,1,1,1,0
2018,summer,FAI,1,1,1,0
2018,summer,GRR,1,1,1,0
2018,summer,IDA,1,1,1,0
2018,summer,IND,1,1,1,0
2018,summer,ITO,1,1,1,0
2018,summer,LAX,1,1,1,0
2018,summer,LCK,1,1,1,0
2018,summer,MBS,1,1,1,0
2018,summer,MCO,1,1,1,0
2018,summer,MKG,1,1,1,0
2018,summer,MVY,1,1,1,0
2018,summer,OGG,1,1,1,0
2018,summer,OME,1,1,1,0
2018,summer,ORD,1,1,1,0
2018,summer,PGD,1,1,1,0
2018,summer,PHX,1,1,1,0
