ID,row_position,attributed_year,attributed_date,year,quarter,Origin_Airport,Destination_Airport,origin_timezone,Estimated_Departure_Time,Estimated_Arrival_Time,midnight_distance_minutes,near_midnight,dst_transition_date,selection_reasons
TRAIN_000268,268,2018.0,2018-11-17,2018,4,LAX,ORD,America/Los_Angeles,2320.0,513.0,40.0,True,False,near_midnight_departure
TRAIN_000284,284,2018.0,2018-10-20,2018,4,DEN,ATL,America/Denver,1000.0,1453.0,600.0,False,False,year_quarter_timezone_coverage
TRAIN_000382,382,2019.0,2019-02-23,2019,1,LAS,AUS,America/Los_Angeles,935.0,1415.0,575.0,False,False,year_quarter_timezone_coverage
TRAIN_000599,599,2019.0,2019-04-22,2019,2,LAX,LAS,America/Los_Angeles,1645.0,1759.0,435.0,False,False,year_quarter_timezone_coverage
TRAIN_000815,815,2019.0,2019-10-12,2019,4,PHX,AUS,America/Phoenix,1006.0,1425.0,606.0,False,False,year_quarter_timezone_coverage
TRAIN_001453,1453,2018.0,2018-07-22,2018,3,AUS,DEN,America/Chicago,1642.0,1811.0,438.0,False,False,year_quarter_timezone_coverage
TRAIN_003699,3699,2018.0,2018-06-30,2018,2,ATL,DEN,America/New_York,2123.0,2240.0,157.0,False,False,year_quarter_timezone_coverage
TRAIN_003895,3895,2019.0,2019-09-12,2019,3,ORD,AUS,America/Chicago,1955.0,2247.0,245.0,False,False,year_quarter_timezone_coverage
TRAIN_004325,4325,2019.0,2019-03-18,2019,1,LAX,ORD,America/Los_Angeles,59.0,709.0,59.0,True,False,near_midnight_departure
TRAIN_016522,16522,2018.0,2018-10-30,2018,4,ANC,DEN,America/Anchorage,2340.0,646.0,20.0,True,False,near_midnight_departure
TRAIN_016872,16872,2018.0,2018-10-18,2018,4,PHX,ORD,America/Phoenix,2345.0,500.0,15.0,True,False,near_midnight_departure
TRAIN_018361,18361,2018.0,2018-08-11,2018,3,DEN,ATL,America/Denver,5.0,503.0,5.0,True,False,near_midnight_departure
TRAIN_020371,20371,2019.0,2019-10-11,2019,4,PHX,ORD,America/Phoenix,40.0,559.0,40.0,True,False,near_midnight_departure
TRAIN_037995,37995,2019.0,2019-05-01,2019,2,ANC,DEN,America/Anchorage,2345.0,653.0,15.0,True,False,near_midnight_departure
TRAIN_071161,71161,2018.0,2018-01-06,2018,1,ANC,LAX,America/Anchorage,2335.0,556.0,25.0,True,False,year_quarter_timezone_coverage
TRAIN_108525,108525,2019.0,2019-12-21,2019,4,DEN,ATL,America/Denver,49.0,543.0,49.0,True,False,near_midnight_departure
TRAIN_199346,199346,2019.0,2019-08-08,2019,3,ATL,ORD,America/New_York,2330.0,36.0,30.0,True,False,near_midnight_departure
TRAIN_293136,293136,2019.0,2019-08-04,2019,3,ORD,ANC,America/Chicago,55.0,440.0,55.0,True,False,near_midnight_departure
TRAIN_373218,373218,2018.0,2018-06-14,2018,2,ORD,LAX,America/Chicago,2305.0,124.0,55.0,True,False,near_midnight_departure
TRAIN_432966,432966,2018.0,2018-06-11,2018,2,ATL,DEN,America/New_York,2325.0,40.0,35.0,True,False,near_midnight_departure
TRAIN_920488,920488,2019.0,2019-11-03,2019,4,LAS,AUS,America/Los_Angeles,140.0,517.0,100.0,False,True,dst_transition_date
