year,season,region,origin_timezone,row_tier,rows
2018,fall,Alaska,America/Adak,confirmed_period,2
2018,fall,Alaska,America/Anchorage,confirmed_period,397
2018,fall,Alaska,America/Juneau,confirmed_period,32
2018,fall,Alaska,America/Juneau,tz_conflict_needs_resolution,17
2018,fall,Alaska,America/Nome,confirmed_period,28
2018,fall,Alaska,America/Sitka,tz_conflict_needs_resolution,77
2018,fall,Alaska,America/Yakutat,confirmed_period,12
2018,fall,Hawaii,Pacific/Honolulu,confirmed_period,1690
2018,fall,Midwest,America/Chicago,confirmed_current_only,38
2018,fall,Midwest,America/Chicago,confirmed_period,15491
2018,fall,Midwest,America/Chicago,tz_conflict_needs_resolution,106
2018,fall,Midwest,America/Chicago,unconfirmed,99
2018,fall,Midwest,America/Denver,confirmed_period,112
2018,fall,Midwest,America/Denver,unconfirmed,4
2018,fall,Midwest,America/Detroit,confirmed_period,3275
2018,fall,Midwest,America/Detroit,tz_conflict_needs_resolution,31
2018,fall,Midwest,America/Detroit,unconfirmed,53
2018,fall,Midwest,America/Indiana/Indianapolis,confirmed_period,1045
2018,fall,Midwest,America/Indiana/Indianapolis,unconfirmed,2
2018,fall,Midwest,America/New_York,confirmed_period,1949
2018,fall,Non-contiguous territory,America/Puerto_Rico,confirmed_period,321
2018,fall,Non-contiguous territory,America/Puerto_Rico,tz_conflict_needs_resolution,15
2018,fall,Non-contiguous territory,America/St_Thomas,tz_conflict_needs_resolution,49
2018,fall,Non-contiguous territory,Pacific/Guam,confirmed_period,5
2018,fall,Non-contiguous territory,Pacific/Guam,unconfirmed,4
2018,fall,Non-contiguous territory,Pacific/Pago_Pago,confirmed_period,2
2018,fall,Non-contiguous territory,Pacific/Saipan,unconfirmed,4
2018,fall,Northeast,America/New_York,confirmed_period,16458
2018,fall,Northeast,America/New_York,tz_conflict_needs_resolution,67
2018,fall,Northeast,America/New_York,unconfirmed,238
2018,fall,South,America/Chicago,confirmed_period,16955
2018,fall,South,America/Chicago,tz_conflict_needs_resolution,58
2018,fall,South,America/Chicago,unconfirmed,14
2018,fall,South,America/Denver,confirmed_period,261
2018,fall,South,America/Kentucky/Louisville,tz_conflict_needs_resolution,430
2018,fall,South,America/New_York,confirmed_period,28375
2018,fall,South,America/New_York,tz_conflict_needs_resolution,193
2018,fall,South,America/New_York,unconfirmed,553
2018,fall,West,America/Boise,confirmed_period,449
2018,fall,West,America/Boise,unconfirmed,4
2018,fall,West,America/Denver,confirmed_current_only,15
2018,fall,West,America/Denver,confirmed_period,7383
2018,fall,West,America/Denver,tz_conflict_needs_resolution,16
2018,fall,West,America/Denver,unconfirmed,104
2018,fall,West,America/Los_Angeles,confirmed_period,21314
2018,fall,West,America/Los_Angeles,tz_conflict_needs_resolution,24
2018,fall,West,America/Los_Angeles,unconfirmed,48
2018,fall,West,America/Phoenix,confirmed_current_only,32
2018,fall,West,America/Phoenix,confirmed_period,2908
2018,fall,West,America/Phoenix,tz_conflict_needs_resolution,6
2018,fall,West,America/Phoenix,unconfirmed,67
2018,spring,Alaska,America/Adak,confirmed_period,1
2018,spring,Alaska,America/Anchorage,confirmed_period,387
2018,spring,Alaska,America/Juneau,confirmed_period,39
2018,spring,Alaska,America/Juneau,tz_conflict_needs_resolution,25
2018,spring,Alaska,America/Nome,confirmed_period,37
2018,spring,Alaska,America/Sitka,tz_conflict_needs_resolution,71
2018,spring,Alaska,America/Yakutat,confirmed_period,17
2018,spring,Hawaii,Pacific/Honolulu,confirmed_period,1609
2018,spring,Midwest,America/Chicago,confirmed_current_only,28
2018,spring,Midwest,America/Chicago,confirmed_period,8997
2018,spring,Midwest,America/Chicago,tz_conflict_needs_resolution,58
2018,spring,Midwest,America/Chicago,unconfirmed,76
2018,spring,Midwest,America/Denver,confirmed_period,56
2018,spring,Midwest,America/Denver,unconfirmed,3
2018,spring,Midwest,America/Detroit,confirmed_period,1423
2018,spring,Midwest,America/Detroit,tz_conflict_needs_resolution,9
2018,spring,Midwest,America/Detroit,unconfirmed,21
2018,spring,Midwest,America/Indiana/Indianapolis,confirmed_period,603
2018,spring,Midwest,America/Indiana/Indianapolis,unconfirmed,1
2018,spring,Midwest,America/New_York,confirmed_period,1105
2018,spring,Non-contiguous territory,America/Puerto_Rico,confirmed_period,335
2018,spring,Non-contiguous territory,America/Puerto_Rico,tz_conflict_needs_resolution,19
2018,spring,Non-contiguous territory,America/St_Thomas,tz_conflict_needs_resolution,26
2018,spring,Non-contiguous territory,Pacific/Guam,confirmed_period,6
2018,spring,Non-contiguous territory,Pacific/Guam,unconfirmed,21
2018,spring,Non-contiguous territory,Pacific/Pago_Pago,confirmed_period,1
2018,spring,Non-contiguous territory,Pacific/Saipan,confirmed_period,5
2018,spring,Non-contiguous territory,Pacific/Saipan,unconfirmed,30
2018,spring,Northeast,America/New_York,confirmed_period,8699
2018,spring,Northeast,America/New_York,tz_conflict_needs_resolution,18
2018,spring,Northeast,America/New_York,unconfirmed,276
2018,spring,South,America/Chicago,confirmed_period,9371
2018,spring,South,America/Chicago,tz_conflict_needs_resolution,14
2018,spring,South,America/Chicago,unconfirmed,12
2018,spring,South,America/Denver,confirmed_period,157
2018,spring,South,America/Kentucky/Louisville,tz_conflict_needs_resolution,202
2018,spring,South,America/Kentucky/Louisville,unconfirmed,2
2018,spring,South,America/New_York,confirmed_period,14414
2018,spring,South,America/New_York,tz_conflict_needs_resolution,79
2018,spring,South,America/New_York,unconfirmed,398
2018,spring,West,America/Boise,confirmed_period,392
2018,spring,West,America/Boise,unconfirmed,6
2018,spring,West,America/Denver,confirmed_current_only,10
2018,spring,West,America/Denver,confirmed_period,5470
2018,spring,West,America/Denver,tz_conflict_needs_resolution,15
2018,spring,West,America/Denver,unconfirmed,95
2018,spring,West,America/Los_Angeles,confirmed_period,16975
2018,spring,West,America/Los_Angeles,tz_conflict_needs_resolution,27
2018,spring,West,America/Los_Angeles,unconfirmed,40
2018,spring,West,America/Phoenix,confirmed_period,1540
2018,spring,West,America/Phoenix,tz_conflict_needs_resolution,7
2018,spring,West,America/Phoenix,unconfirmed,90
2018,summer,Alaska,America/Anchorage,confirmed_period,199
2018,summer,Alaska,America/Juneau,confirmed_period,20
2018,summer,Alaska,America/Juneau,tz_conflict_needs_resolution,11
2018,summer,Alaska,America/Nome,confirmed_period,21
2018,summer,Alaska,America/Sitka,tz_conflict_needs_resolution,32
2018,summer,Alaska,America/Yakutat,confirmed_period,5
2018,summer,Hawaii,Pacific/Honolulu,confirmed_period,1194
2018,summer,Midwest,America/Chicago,confirmed_current_only,17
2018,summer,Midwest,America/Chicago,confirmed_period,9683
2018,summer,Midwest,America/Chicago,tz_conflict_needs_resolution,78
2018,summer,Midwest,America/Chicago,unconfirmed,64
2018,summer,Midwest,America/Denver,confirmed_period,76
2018,summer,Midwest,America/Denver,unconfirmed,2
2018,summer,Midwest,America/Detroit,confirmed_period,939
2018,summer,Midwest,America/Detroit,unconfirmed,4
2018,summer,Midwest,America/Indiana/Indianapolis,confirmed_period,572
2018,summer,Midwest,America/Indiana/Indianapolis,unconfirmed,4
2018,summer,Midwest,America/New_York,confirmed_period,1304
2018,summer,Non-contiguous territory,America/Puerto_Rico,confirmed_period,407
2018,summer,Non-contiguous territory,America/Puerto_Rico,tz_conflict_needs_resolution,12
2018,summer,Non-contiguous territory,America/St_Thomas,tz_conflict_needs_resolution,32
2018,summer,Non-contiguous territory,Pacific/Guam,confirmed_period,4
2018,summer,Non-contiguous territory,Pacific/Guam,unconfirmed,8
2018,summer,Non-contiguous territory,Pacific/Pago_Pago,confirmed_period,1
2018,summer,Non-contiguous territory,Pacific/Saipan,unconfirmed,2
2018,summer,Northeast,America/New_York,confirmed_period,9529
2018,summer,Northeast,America/New_York,tz_conflict_needs_resolution,25
2018,summer,Northeast,America/New_York,unconfirmed,228
2018,summer,South,America/Chicago,confirmed_period,11473
2018,summer,South,America/Chicago,tz_conflict_needs_resolution,39
2018,summer,South,America/Chicago,unconfirmed,12
2018,summer,South,America/Denver,confirmed_period,223
2018,summer,South,America/Kentucky/Louisville,tz_conflict_needs_resolution,247
2018,summer,South,America/New_York,confirmed_period,14884
2018,summer,South,America/New_York,tz_conflict_needs_resolution,107
2018,summer,South,America/New_York,unconfirmed,291
2018,summer,West,America/Boise,confirmed_period,255
2018,summer,West,America/Boise,unconfirmed,4
2018,summer,West,America/Denver,confirmed_current_only,25
2018,summer,West,America/Denver,confirmed_period,5900
2018,summer,West,America/Denver,tz_conflict_needs_resolution,23
2018,summer,West,America/Denver,unconfirmed,95
2018,summer,West,America/Los_Angeles,confirmed_period,14892
2018,summer,West,America/Los_Angeles,tz_conflict_needs_resolution,24
2018,summer,West,America/Los_Angeles,unconfirmed,31
2018,summer,West,America/Phoenix,confirmed_current_only,14
2018,summer,West,America/Phoenix,confirmed_period,1854
2018,summer,West,America/Phoenix,tz_conflict_needs_resolution,10
2018,summer,West,America/Phoenix,unconfirmed,99
2018,winter,Alaska,America/Anchorage,confirmed_period,259
2018,winter,Alaska,America/Juneau,confirmed_period,30
2018,winter,Alaska,America/Juneau,tz_conflict_needs_resolution,11
2018,winter,Alaska,America/Nome,confirmed_period,24
2018,winter,Alaska,America/Sitka,tz_conflict_needs_resolution,49
2018,winter,Alaska,America/Yakutat,confirmed_period,11
2018,winter,Hawaii,Pacific/Honolulu,confirmed_period,1640
2018,winter,Midwest,America/Chicago,confirmed_current_only,25
2018,winter,Midwest,America/Chicago,confirmed_period,10505
2018,winter,Midwest,America/Chicago,tz_conflict_needs_resolution,67
2018,winter,Midwest,America/Chicago,unconfirmed,85
2018,winter,Midwest,America/Denver,confirmed_period,57
2018,winter,Midwest,America/Denver,unconfirmed,2
2018,winter,Midwest,America/Detroit,confirmed_period,2250
2018,winter,Midwest,America/Detroit,tz_conflict_needs_resolution,22
2018,winter,Midwest,America/Detroit,unconfirmed,41
2018,winter,Midwest,America/Indiana/Indianapolis,confirmed_period,687
2018,winter,Midwest,America/Indiana/Indianapolis,unconfirmed,3
2018,winter,Midwest,America/New_York,confirmed_period,1375
2018,winter,Non-contiguous territory,America/Puerto_Rico,confirmed_period,336
2018,winter,Non-contiguous territory,America/Puerto_Rico,tz_conflict_needs_resolution,17
2018,winter,Non-contiguous territory,America/St_Thomas,tz_conflict_needs_resolution,39
2018,winter,Non-contiguous territory,Pacific/Guam,confirmed_period,9
2018,winter,Non-contiguous territory,Pacific/Guam,unconfirmed,13
2018,winter,Non-contiguous territory,Pacific/Pago_Pago,confirmed_period,1
2018,winter,Non-contiguous territory,Pacific/Saipan,confirmed_period,2
2018,winter,Non-contiguous territory,Pacific/Saipan,unconfirmed,17
