iata,icao,state,country,verification_tier,iem_tzname,mwgg_tz,tz_matches_mwgg,utc_offset_equivalent_2018_2019,archive_begin,archive_end,valid_subperiod_start,valid_subperiod_end,location_distance_km,note,historical_identity_confirmed
AZA,KIWA,Arizona,US,unconfirmed,,America/Phoenix,,,,,,,,candidate sid AZA not found in AZ_ASOS,
BKG,KBBG,Missouri,US,unconfirmed,,America/Chicago,,,,,,,,candidate sid BKG not found in MO_ASOS,
FCA,KGPI,Montana,US,unconfirmed,,America/Denver,,,,,,,,candidate sid FCA not found in MT_ASOS,
HHH,KHXD,South Carolina,US,unconfirmed,,America/New_York,,,,,,,,candidate sid HHH not found in SC_ASOS,
IMT,KIMT,Michigan,US,tz_conflict_needs_resolution,America/Menominee,America/Chicago,False,True,1972-12-31,,2018-01-01,2019-12-31,0.007599669165107767,,
ISN,KISN,North Dakota,US,confirmed_current_only,America/Chicago,America/Chicago,True,,1950-04-01,2019-10-18,2018-01-01,2019-10-18,0.6065559819683396,,
KTN,PAKT,Alaska,US,tz_conflict_needs_resolution,America/Juneau,America/Sitka,False,True,1948-07-01,,2018-01-01,2019-12-31,0.19032350705100287,,
MQT,KSAW,Michigan,US,unconfirmed,,America/Detroit,,,,,,,,candidate sid MQT not found in MI_ASOS,
PBI,KDJT,Florida,US,unconfirmed,,America/New_York,,,,,,,,candidate sid PBI not found in FL_ASOS,
PSG,PAPG,Alaska,US,tz_conflict_needs_resolution,America/Juneau,America/Sitka,False,True,1948-07-01,,2018-01-01,2019-12-31,0.36909304058906595,,
SCE,KUNV,Pennsylvania,US,unconfirmed,,America/New_York,,,,,,,,candidate sid SCE not found in PA_ASOS,
SDF,KSDF,Kentucky,US,tz_conflict_needs_resolution,America/New_York,America/Kentucky/Louisville,False,True,1929-12-31,,2018-01-01,2019-12-31,0.5637995141683649,,
SIT,PASI,Alaska,US,tz_conflict_needs_resolution,America/Juneau,America/Sitka,False,True,1930-08-01,,2018-01-01,2019-12-31,0.02416426639033764,,
SPN,PGSN,Saipan,MP,unconfirmed,,Pacific/Saipan,,,,,,,,candidate sid PGSN not found in GU_ASOS,
STT,TIST,Saint-Thomas-Island,VI,tz_conflict_needs_resolution,Atlantic/Bermuda,America/St_Thomas,False,False,1952-12-31,,2018-01-01,2019-12-31,0.00039709008055329495,,
STX,TISX,Saint-Croix-Island,VI,tz_conflict_needs_resolution,Atlantic/Bermuda,America/St_Thomas,False,False,1941-09-01,,2018-01-01,2019-12-31,0.6799313906917641,,
USA,KJQF,North Carolina,US,unconfirmed,,America/New_York,,,,,,,,candidate sid USA not found in NC_ASOS,
WRG,PAWG,Alaska,US,tz_conflict_needs_resolution,America/Juneau,America/Sitka,False,True,1972-12-31,,2018-01-01,2019-12-31,0.0119796249961082,,
XWA,KXWA,North Dakota,US,confirmed_current_only,America/Chicago,America/Chicago,True,,2019-10-12,,2019-10-12,2019-12-31,0.004813564604778663,,
YUM,KNYL,Arizona,US,confirmed_current_only,America/Phoenix,America/Phoenix,True,,1940-04-01,2007-01-05,,,0.00028261314823396885,,
