iata,icao,state,country,candidate_networks,candidate_sid,mwgg_tz,lat,lon,matched_network,evidence_basis,location_distance_km,valid_subperiod_start,valid_subperiod_end,utc_offset_equivalent_2018_2019,found_in_iem_network,verification_tier,iem_tzname,archive_begin,archive_end,period_covers_2018_2019,tz_matches_mwgg,note
ABE,KABE,Pennsylvania,US,PA_ASOS,ABE,America/New_York,40.6520996094,-75.4408035278,PA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.7229355998140874,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1929-12-31,,True,True,
ABI,KABI,Texas,US,TX_ASOS,ABI,America/Chicago,32.4113006592,-99.6819000244,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.08013957003128866,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1930-08-11,,True,True,
ABQ,KABQ,New Mexico,US,NM_ASOS,ABQ,America/Denver,35.0401992798,-106.6090011597,NM_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.6211424024024452,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1941-07-01,,True,True,
ABR,KABR,South Dakota,US,SD_ASOS,ABR,America/Chicago,45.4491004944,-98.4217987061,SD_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.17231285074147284,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1934-08-08,,True,True,
ABY,KABY,Georgia,US,GA_ASOS,ABY,America/New_York,31.5354995728,-84.1945037842,GA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0003617736161877305,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1948-01-01,,True,True,
ACK,KACK,Massachusetts,US,MA_ASOS,ACK,America/New_York,41.25310135,-70.06020355,MA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00806432019363195,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1947-12-31,,True,True,
ACT,KACT,Texas,US,TX_ASOS,ACT,America/Chicago,31.6112995148,-97.2304992676,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.7736188173565367,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1929-03-11,,True,True,
ACV,KACV,California,US,CA_ASOS,ACV,America/Los_Angeles,40.978099823,-124.1090011597,CA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.03367650808881589,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1949-12-01,,True,True,
ACY,KACY,New Jersey,US,NJ_ASOS,ACY,America/New_York,39.4575996399,-74.5772018433,NJ_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0001632402264092047,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1947-01-01,,True,True,
ADK,PADK,Alaska,US,AK_ASOS,PADK,America/Adak,51.8779983521,-176.6459960938,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00032477044573720853,2018-01-01,2019-12-31,,True,confirmed_period,America/Adak,1942-10-30,,True,True,
