station,rows_needing_station,original_padded_hours,merged_union_hours,already_cache_covered_hours,newly_needed_hours,has_real_sample_for_rate_estimate
SFO,35454,283632.0,17511.266666666666,56.0,17455.266666666666,True
RDU,11802,94416.0,16462.15,8.0,16454.15,True
DAL,15118,120944.0,16720.883333333335,32.0,16688.883333333335,True
TWF,184,1472.0,1409.6666666666667,16.0,1393.6666666666667,True
LAX,45063,360504.0,17524.516666666666,182.58333333333334,17341.933333333334,True
MGM,647,5176.0,4206.8,8.0,4198.8,True
RNO,4280,34240.0,14118.916666666666,0.0,14118.916666666666,False
MSP,24911,199288.0,16927.866666666665,88.0,16839.866666666665,True
LAS,32861,262888.0,17506.333333333332,48.0,17458.333333333332,True
CAE,1716,13728.0,8649.75,0.0,8649.75,False
MFE,914,7312.0,5732.2,0.0,5732.2,False
DTW,26939,215512.0,17138.233333333334,97.26666666666667,17040.966666666667,True
BDL,5228,41824.0,14801.266666666666,8.0,14793.266666666666,True
LGA,26573,212584.0,16627.183333333334,40.0,16587.183333333334,True
FAT,2160,17280.0,10087.15,0.0,10087.15,False
IAH,35735,285880.0,17382.75,48.0,17334.75,True
CAK,1277,10216.0,7346.416666666667,40.0,7306.416666666667,True
ATL,60881,487048.0,17450.1,165.03333333333333,17285.066666666666,True
CVG,8760,70080.0,15570.35,16.0,15554.35,True
PADQ,123,984.0,977.8333333333334,0.0,977.8333333333334,False
ALB,3209,25672.0,12458.3,0.0,12458.3,False
LGB,3256,26048.0,12019.966666666667,8.0,12011.966666666667,True
RSW,6381,51048.0,14619.25,8.0,14611.25,True
CLE,9376,75008.0,16380.066666666668,24.0,16356.066666666668,True
FLL,19614,156912.0,17336.65,16.0,17320.65,True
SEA,32842,262736.0,17406.716666666667,144.0,17262.716666666667,True
CLT,35577,284616.0,16279.916666666666,72.0,16207.916666666666,True
SGF,1704,13632.0,8621.75,0.0,8621.75,False
HSV,1698,13584.0,8466.9,0.0,8466.9,False
PHL,23226,185808.0,16973.516666666666,56.0,16917.516666666666,True
BNA,14954,119632.0,16795.2,0.0,16795.2,False
PHX,30170,241360.0,17455.183333333334,112.0,17343.183333333334,True
SLC,19163,153304.0,16909.883333333335,104.0,16805.883333333335,True
SNA,8261,66088.0,14930.866666666667,8.0,14922.866666666667,True
BWI,20798,166384.0,17293.183333333334,24.0,17269.183333333334,True
MKE,6472,51776.0,15214.633333333333,16.0,15198.633333333333,True
LEX,2017,16136.0,9670.9,0.0,9670.9,False
TUS,3407,27256.0,12433.55,0.0,12433.55,False
BMI,431,3448.0,2978.633333333333,0.0,2978.633333333333,False
MIA,12763,102104.0,15316.483333333334,0.0,15316.483333333334,False
MCO,27233,217864.0,17402.433333333334,64.0,17338.433333333334,True
SAV,3072,24576.0,11604.283333333333,0.0,11604.283333333333,False
EWR,32508,260064.0,17419.466666666667,64.0,17355.466666666667,True
SAN,18627,149016.0,17090.083333333332,16.0,17074.083333333332,True
MEM,4464,35712.0,13365.683333333332,0.0,13365.683333333332,False
JFK,21712,173696.0,17402.55,40.0,17362.55,True
DEN,55510,444080.0,17496.316666666666,354.76666666666665,17141.55,True
TPA,14342,114736.0,16712.933333333334,8.0,16704.933333333334,True
MDW,17600,140800.0,17072.183333333334,8.0,17064.183333333334,True
ICT,2064,16512.0,9757.15,0.0,9757.15,False
ORD,69898,559184.0,17510.15,296.0,17214.15,True
AVL,1581,12648.0,8329.966666666667,0.0,8329.966666666667,False
OKC,4664,37312.0,13973.983333333334,0.0,13973.983333333334,False
XNA,2412,19296.0,10241.083333333334,0.0,10241.083333333334,False
RIC,4847,38776.0,14008.45,0.0,14008.45,False
DCA,22508,180064.0,16828.216666666667,16.0,16812.216666666667,True
PHNL,10457,83656.0,16613.45,88.0,16525.45,True
MCI,10677,85416.0,16166.95,0.0,16166.95,False
BTR,1195,9560.0,6873.883333333333,16.0,6857.883333333333,True
AUS,12416,99328.0,16609.816666666666,56.0,16553.816666666666,True
CMH,8692,69536.0,16130.866666666667,32.0,16098.866666666667,True
HOU,12263,98104.0,16705.966666666667,8.0,16697.966666666667,True
MBS,477,3816.0,3432.883333333333,16.0,3416.883333333333,True
GEG,3948,31584.0,13321.083333333334,0.0,13321.083333333334,False
OAK,11063,88504.0,16561.7,16.0,16545.7,True
MAF,1755,14040.0,9059.95,0.0,9059.95,False
MSY,10801,86408.0,16203.716666666667,8.0,16195.716666666667,True
SMF,10479,83832.0,16452.383333333335,0.0,16452.383333333335,False
PASC,160,1280.0,1253.8666666666666,0.0,1253.8666666666666,False
DFW,42663,341304.0,16955.666666666668,82.6,16873.066666666666,True
