phase_key,seed,macro_f1_nested,log_loss,roc_auc,selected_n_estimators,per_fold_thresholds,elapsed_sec
P4,42,0.575675,0.447748,0.642545,"[50, 50, 50, 50, 50]","[0.22, 0.22, 0.23, 0.22, 0.22]",55.5
P6_fixed,42,0.576536,0.447334,0.643916,"[50, 50, 50, 50, 50]","[0.22, 0.23, 0.22, 0.23, 0.23]",63.6
P4_clean,42,0.574639,0.448166,0.640939,"[75, 75, 75, 75, 50]","[0.23, 0.22, 0.22, 0.22, 0.22]",69.7
P6_clean,42,0.576926,0.447225,0.644317,"[50, 50, 50, 50, 50]","[0.22, 0.23, 0.23, 0.23, 0.23]",66.1
P4_impute,42,0.574634,0.447879,0.642026,"[50, 50, 50, 50, 50]","[0.23, 0.22, 0.22, 0.22, 0.22]",68.7
P4_ratio,42,0.574098,0.447991,0.641504,"[75, 50, 50, 75, 75]","[0.23, 0.22, 0.23, 0.24, 0.23]",67.5
P4_missing,42,0.574855,0.447725,0.642624,"[50, 50, 50, 50, 50]","[0.22, 0.23, 0.22, 0.22, 0.22]",66.3
P6_fixed_impute,42,0.576139,0.447502,0.643445,"[50, 50, 50, 50, 50]","[0.22, 0.23, 0.22, 0.23, 0.22]",65.3
P6_fixed_ratio,42,0.574855,0.447761,0.642306,"[75, 50, 75, 50, 75]","[0.23, 0.23, 0.24, 0.22, 0.23]",68.8
P6_fixed_missing,42,0.576257,0.447174,0.644427,"[50, 50, 50, 50, 50]","[0.23, 0.23, 0.23, 0.23, 0.22]",66.5
P4,1,0.573831,0.448282,0.640036,"[50, 50, 50, 75, 100]","[0.22, 0.22, 0.22, 0.23, 0.22]",63.3
P6_fixed,1,0.574391,0.448081,0.641034,"[50, 50, 50, 50, 75]","[0.22, 0.23, 0.23, 0.23, 0.22]",70.2
P4_clean,1,0.573771,0.448367,0.639872,"[50, 75, 50, 75, 75]","[0.22, 0.23, 0.22, 0.23, 0.22]",72.0
P6_clean,1,0.575069,0.447751,0.642251,"[50, 50, 50, 50, 75]","[0.22, 0.23, 0.23, 0.23, 0.22]",72.7
P4_impute,1,0.573426,0.448388,0.639747,"[50, 50, 50, 50, 100]","[0.22, 0.22, 0.23, 0.22, 0.23]",68.4
P4_ratio,1,0.574607,0.44821,0.640653,"[50, 50, 50, 50, 75]","[0.22, 0.23, 0.22, 0.23, 0.22]",70.7
P4_missing,1,0.572296,0.448545,0.639253,"[50, 50, 50, 50, 50]","[0.22, 0.22, 0.22, 0.22, 0.22]",68.6
P6_fixed_impute,1,0.574572,0.448096,0.640992,"[50, 50, 50, 50, 75]","[0.22, 0.23, 0.23, 0.23, 0.22]",65.0
P6_fixed_ratio,1,0.573894,0.44769,0.64217,"[50, 50, 50, 75, 75]","[0.22, 0.22, 0.23, 0.22, 0.22]",65.6
P6_fixed_missing,1,0.574701,0.447901,0.641575,"[75, 75, 50, 75, 75]","[0.23, 0.23, 0.23, 0.23, 0.23]",66.4
P4,7,0.575241,0.448018,0.641002,"[50, 50, 50, 50, 50]","[0.23, 0.22, 0.23, 0.22, 0.22]",64.0
P6_fixed,7,0.577258,0.447375,0.643322,"[50, 50, 50, 50, 50]","[0.23, 0.23, 0.23, 0.22, 0.22]",68.3
P4_clean,7,0.575213,0.448115,0.640978,"[50, 50, 75, 50, 75]","[0.22, 0.22, 0.23, 0.22, 0.23]",72.2
P6_clean,7,0.57506,0.447755,0.641844,"[75, 75, 75, 75, 50]","[0.23, 0.23, 0.23, 0.23, 0.24]",69.3
P4_impute,7,0.574946,0.44814,0.640688,"[50, 50, 50, 50, 50]","[0.22, 0.22, 0.22, 0.22, 0.22]",62.2
P4_ratio,7,0.574192,0.448272,0.64011,"[50, 50, 50, 50, 50]","[0.23, 0.23, 0.23, 0.22, 0.23]",70.4
P4_missing,7,0.575624,0.447895,0.641653,"[50, 50, 50, 50, 50]","[0.22, 0.22, 0.22, 0.22, 0.23]",66.1
P6_fixed_impute,7,0.576953,0.447443,0.643022,"[50, 50, 50, 50, 50]","[0.23, 0.23, 0.23, 0.22, 0.22]",64.9
P6_fixed_ratio,7,0.576426,0.447542,0.642756,"[50, 50, 75, 50, 75]","[0.22, 0.23, 0.23, 0.23, 0.23]",68.8
P6_fixed_missing,7,0.575696,0.447624,0.642292,"[75, 75, 50, 50, 75]","[0.23, 0.22, 0.23, 0.22, 0.23]",70.9
