phase,seed,thresholds,trees,threshold_at_boundary
P4,42,"[0.22, 0.22, 0.23, 0.22, 0.22]","[50, 50, 50, 50, 50]",False
P6_fixed,42,"[0.22, 0.23, 0.22, 0.23, 0.23]","[50, 50, 50, 50, 50]",False
P4_clean,42,"[0.23, 0.22, 0.22, 0.22, 0.22]","[75, 75, 75, 75, 50]",False
P6_clean,42,"[0.22, 0.23, 0.23, 0.23, 0.23]","[50, 50, 50, 50, 50]",False
P4_impute,42,"[0.23, 0.22, 0.22, 0.22, 0.22]","[50, 50, 50, 50, 50]",False
P4_ratio,42,"[0.23, 0.22, 0.23, 0.24, 0.23]","[75, 50, 50, 75, 75]",False
P4_missing,42,"[0.22, 0.23, 0.22, 0.22, 0.22]","[50, 50, 50, 50, 50]",False
P6_fixed_impute,42,"[0.22, 0.23, 0.22, 0.23, 0.22]","[50, 50, 50, 50, 50]",False
P6_fixed_ratio,42,"[0.23, 0.23, 0.24, 0.22, 0.23]","[75, 50, 75, 50, 75]",False
P6_fixed_missing,42,"[0.23, 0.23, 0.23, 0.23, 0.22]","[50, 50, 50, 50, 50]",False
P4,1,"[0.22, 0.22, 0.22, 0.23, 0.22]","[50, 50, 50, 75, 100]",False
P6_fixed,1,"[0.22, 0.23, 0.23, 0.23, 0.22]","[50, 50, 50, 50, 75]",False
P4_clean,1,"[0.22, 0.23, 0.22, 0.23, 0.22]","[50, 75, 50, 75, 75]",False
P6_clean,1,"[0.22, 0.23, 0.23, 0.23, 0.22]","[50, 50, 50, 50, 75]",False
P4_impute,1,"[0.22, 0.22, 0.23, 0.22, 0.23]","[50, 50, 50, 50, 100]",False
P4_ratio,1,"[0.22, 0.23, 0.22, 0.23, 0.22]","[50, 50, 50, 50, 75]",False
P4_missing,1,"[0.22, 0.22, 0.22, 0.22, 0.22]","[50, 50, 50, 50, 50]",False
P6_fixed_impute,1,"[0.22, 0.23, 0.23, 0.23, 0.22]","[50, 50, 50, 50, 75]",False
P6_fixed_ratio,1,"[0.22, 0.22, 0.23, 0.22, 0.22]","[50, 50, 50, 75, 75]",False
P6_fixed_missing,1,"[0.23, 0.23, 0.23, 0.23, 0.23]","[75, 75, 50, 75, 75]",False
P4,7,"[0.23, 0.22, 0.23, 0.22, 0.22]","[50, 50, 50, 50, 50]",False
P6_fixed,7,"[0.23, 0.23, 0.23, 0.22, 0.22]","[50, 50, 50, 50, 50]",False
P4_clean,7,"[0.22, 0.22, 0.23, 0.22, 0.23]","[50, 50, 75, 50, 75]",False
P6_clean,7,"[0.23, 0.23, 0.23, 0.23, 0.24]","[75, 75, 75, 75, 50]",False
P4_impute,7,"[0.22, 0.22, 0.22, 0.22, 0.22]","[50, 50, 50, 50, 50]",False
P4_ratio,7,"[0.23, 0.23, 0.23, 0.22, 0.23]","[50, 50, 50, 50, 50]",False
P4_missing,7,"[0.22, 0.22, 0.22, 0.22, 0.23]","[50, 50, 50, 50, 50]",False
P6_fixed_impute,7,"[0.23, 0.23, 0.23, 0.22, 0.22]","[50, 50, 50, 50, 50]",False
P6_fixed_ratio,7,"[0.22, 0.23, 0.23, 0.23, 0.23]","[50, 50, 75, 50, 75]",False
P6_fixed_missing,7,"[0.23, 0.22, 0.23, 0.22, 0.23]","[75, 75, 50, 50, 75]",False
